Starting Experiment now at 3/8/2024 11:23:30 AM

Time: 3/8/2024 11:23:52 AM   |     Distance: 4.612302    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (104.0, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.163193 5.356949
Time: 3/8/2024 11:23:53 AM   |     Distance: 20.75287    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (87.2, 0.7, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.190765 5.741104
Time: 3/8/2024 11:23:53 AM   |     Distance: 6.363721    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (96.8, 0.1, -6.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.177292 5.640717
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.50515    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (89.1, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.606552 5.992004
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.7797    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (88.7, 0.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.391266 5.699295
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.77765    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (82.9, 2.0, 6.9)   |  Item: w2  |   Pupil Size (Left, right): 5.24968 5.901794
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.74464    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (82.8, 1.8, 6.9)   |  Item: w2  |   Pupil Size (Left, right): 5.387177 6.039856
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.58364    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (82.8, 1.6, 6.7)   |  Item: w2  |   Pupil Size (Left, right): 5.259125 6.012466
Time: 3/8/2024 11:23:53 AM   |     Distance: 9.223455    |   Participant Coords: (101.5, 1.7, -10.8)   |   Item Coord: (94.0, 0.1, -5.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.503342 6.314819
Time: 3/8/2024 11:23:53 AM   |     Distance: 18.91921    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (87.9, 0.0, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.621292 6.352234
Time: 3/8/2024 11:23:53 AM   |     Distance: 20.1732    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (87.2, 0.0, 3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.426514 6.442764
Time: 3/8/2024 11:23:53 AM   |     Distance: 18.85805    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (88.8, 0.0, 3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.646378 6.400055
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.53943    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (89.0, 2.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.67363 6.654999
Time: 3/8/2024 11:23:53 AM   |     Distance: 17.9639    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (88.4, 0.1, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.638138 6.434021
Time: 3/8/2024 11:23:53 AM   |     Distance: 18.76351    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (87.9, 0.0, 1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.591248 6.504791
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.31531    |   Participant Coords: (101.5, 1.7, -10.9)   |   Item Coord: (82.9, 0.2, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 5.623001 6.405594
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.45723    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (89.2, 1.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.673782 6.416412
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.65039    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.9, 0.6, 8.1)   |  Item: w2  |   Pupil Size (Left, right): 5.691528 6.452118
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.86317    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.7, 8.4)   |  Item: w2  |   Pupil Size (Left, right): 5.734146 6.00798
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.07375    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 1.4, 7.3)   |  Item: w2  |   Pupil Size (Left, right): 5.896317 5.937302
Time: 3/8/2024 11:23:53 AM   |     Distance: 26.02464    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.6, 7.2)   |  Item: w2  |   Pupil Size (Left, right): 5.934372 5.270081
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.84174    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.9, 6.9)   |  Item: w2  |   Pupil Size (Left, right): 5.989532 5.7798
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.01427    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (82.8, 0.5, 5.7)   |  Item: w2  |   Pupil Size (Left, right): 5.801773 6.069305
Time: 3/8/2024 11:23:53 AM   |     Distance: 19.96136    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (86.6, 0.1, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.823715 6.288391
Time: 3/8/2024 11:23:53 AM   |     Distance: 20.69918    |   Participant Coords: (101.6, 1.7, -10.8)   |   Item Coord: (86.6, 0.0, 3.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 6.123062 6.164215
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.21521    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (82.9, 0.4, 6.0)   |  Item: w2  |   Pupil Size (Left, right): 6.061111 6.264053
Time: 3/8/2024 11:23:53 AM   |     Distance: 25.1922    |   Participant Coords: (101.6, 1.7, -10.9)   |   Item Coord: (82.8, 0.4, 5.9)   |  Item: w2  |   Pupil Size (Left, right): 5.986755 6.211258
