Starting Experiment now at 3/8/2024 4:11:28 PM

Time: 3/8/2024 4:11:42 PM   |     Distance: 11.41169    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (97.1, 0.1, 1.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.091049 5.702972
Time: 3/8/2024 4:11:42 PM   |     Distance: 5.120391    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (99.2, 0.1, -5.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.957397 5.592041
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.848665    |   Participant Coords: (100.0, 1.7, -10.0)   |   Item Coord: (99.5, 0.1, -6.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.182541 5.620972
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.809816    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.6, 0.1, -6.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.100006 5.619995
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.610737    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.7, 0.1, -6.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.142715 5.582504
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.586699    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.7, 0.1, -6.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.14447 5.590042
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.639932    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.7, 0.1, -6.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.116516 5.582428
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.738126    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.7, 0.1, -6.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.074951 5.727188
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.792423    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.7, 0.1, -6.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.021927 5.631165
Time: 3/8/2024 4:11:42 PM   |     Distance: 3.074005    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (99.9, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 5.088943
Time: 3/8/2024 4:11:42 PM   |     Distance: 8.751124    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.9, 0.1, -1.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.896667 5.702164
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.61277    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.6, 0.1, 0.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.21286 5.690964
Time: 3/8/2024 4:11:42 PM   |     Distance: 10.06233    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.2, 0.1, -0.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.263016 5.657089
Time: 3/8/2024 4:11:42 PM   |     Distance: 11.42739    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.3, 0.1, 1.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.333618 5.868622
Time: 3/8/2024 4:11:42 PM   |     Distance: 11.81008    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, 1.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.291489 5.82988
Time: 3/8/2024 4:11:42 PM   |     Distance: 12.08324    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.5, 0.1, 1.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.271362 5.784149
Time: 3/8/2024 4:11:42 PM   |     Distance: 12.14657    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.4, 0.1, 2.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.274002 5.776993
Time: 3/8/2024 4:11:42 PM   |     Distance: 12.34326    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (98.4, 0.1, 2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.28038 5.786713
