Starting Experiment now at 3/8/2024 4:48:13 PM

Time: 3/8/2024 4:48:19 PM   |     Distance: 16.49993    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (117.7, 0.1, -5.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.449814 -1
Time: 3/8/2024 4:48:19 PM   |     Distance: 8.31769    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (109.5, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.257645 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 8.560375    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (109.9, 0.1, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.475708 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 8.738565    |   Participant Coords: (101.9, 1.6, -9.8)   |   Item Coord: (110.1, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.2164 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 9.185347    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (110.6, 0.1, -7.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.589859 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 12.00161    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (113.4, 0.1, -6.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.71582 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 14.36664    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (115.8, 0.1, -6.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.559814 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 14.9592    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (116.2, 0.1, -5.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.453659 -1
Time: 3/8/2024 4:48:20 PM   |     Distance: 15.09386    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (116.6, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 6.420807
Time: 3/8/2024 4:48:20 PM   |     Distance: 9.872366    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (111.3, 0.1, -7.3)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 6.327759
Time: 3/8/2024 4:48:20 PM   |     Distance: 11.44555    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (112.8, 0.1, -7.1)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 6.450958
Time: 3/8/2024 4:48:20 PM   |     Distance: 10.80648    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (112.1, 0.1, -6.8)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 6.510742
Time: 3/8/2024 4:48:20 PM   |     Distance: 10.25157    |   Participant Coords: (101.9, 1.6, -9.9)   |   Item Coord: (111.6, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): -1 6.3405
Time: 3/8/2024 4:48:20 PM   |     Distance: 24.83631    |   Participant Coords: (101.9, 1.6, -10.0)   |   Item Coord: (125.6, 0.1, -2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.530533 5.746353
Time: 3/8/2024 4:48:20 PM   |     Distance: 7.309874    |   Participant Coords: (101.9, 1.6, -10.0)   |   Item Coord: (108.5, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.690643 6.554474
Time: 3/8/2024 4:48:20 PM   |     Distance: 20.23823    |   Participant Coords: (101.9, 1.6, -10.0)   |   Item Coord: (120.7, 0.1, -2.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.755737 5.892624
Time: 3/8/2024 4:48:21 PM   |     Distance: 24.40434    |   Participant Coords: (101.9, 1.6, -10.0)   |   Item Coord: (124.9, 0.1, -2.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.427002 6.274979
Time: 3/8/2024 4:48:21 PM   |     Distance: 25.12249    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (125.8, 0.1, -2.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.551285 6.411072
Time: 3/8/2024 4:48:21 PM   |     Distance: 22.80109    |   Participant Coords: (101.8, 1.7, -9.9)   |   Item Coord: (124.0, 0.1, -4.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.606552 6.132431
