Starting Experiment now at 3/8/2024 5:03:18 PM

Time: 3/8/2024 5:03:31 PM   |     Distance: 9.82875    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (108.8, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.145981 5.09111
Time: 3/8/2024 5:03:31 PM   |     Distance: 21.12973    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (120.1, 0.1, -5.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.283646 5.314606
Time: 3/8/2024 5:03:31 PM   |     Distance: 20.53593    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (119.8, 0.1, -6.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.17337 5.349045
Time: 3/8/2024 5:03:31 PM   |     Distance: 16.88762    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (116.0, 0.1, -6.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.263931 5.342438
Time: 3/8/2024 5:03:31 PM   |     Distance: 17.27167    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (116.3, 0.1, -5.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.264313 5.34343
Time: 3/8/2024 5:03:31 PM   |     Distance: 14.44498    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (113.6, 0.1, -6.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.28833 5.39238
Time: 3/8/2024 5:03:32 PM   |     Distance: 12.42558    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (111.6, 0.0, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.201126 5.399109
Time: 3/8/2024 5:03:32 PM   |     Distance: 14.83863    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (114.0, 0.1, -6.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.235947 5.362106
Time: 3/8/2024 5:03:32 PM   |     Distance: 14.22594    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (113.4, 0.1, -7.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.225922 5.374115
Time: 3/8/2024 5:03:32 PM   |     Distance: 15.63891    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (114.8, 0.1, -6.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.280624 5.355347
Time: 3/8/2024 5:03:32 PM   |     Distance: 16.19799    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (115.3, 0.1, -6.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.299133 5.369049
Time: 3/8/2024 5:03:32 PM   |     Distance: 15.02771    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (114.3, 0.1, -7.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.363205 5.379608
Time: 3/8/2024 5:03:32 PM   |     Distance: 15.98384    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (115.2, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.356888 5.420074
Time: 3/8/2024 5:03:32 PM   |     Distance: 19.67717    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (119.0, 0.1, -7.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.314957 5.344208
Time: 3/8/2024 5:03:32 PM   |     Distance: 24.42206    |   Participant Coords: (99.6, 1.8, -10.0)   |   Item Coord: (123.8, 0.1, -7.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.22879 5.41452
Time: 3/8/2024 5:03:32 PM   |     Distance: 23.446    |   Participant Coords: (99.5, 1.8, -10.1)   |   Item Coord: (122.1, 0.1, -3.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.824768 4.923584
Time: 3/8/2024 5:03:32 PM   |     Distance: 20.456    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (118.5, 0.1, -2.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.794632 4.861038
Time: 3/8/2024 5:03:33 PM   |     Distance: 15.81953    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (113.2, 0.1, -2.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.916122 4.955704
Time: 3/8/2024 5:03:33 PM   |     Distance: 14.98057    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (112.7, 0.1, -3.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.953171 4.953751
Time: 3/8/2024 5:03:33 PM   |     Distance: 29.17476    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (126.5, 0.1, 1.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.931091 5.076736
Time: 3/8/2024 5:03:33 PM   |     Distance: 18.88764    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (116.5, 0.1, -2.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.012177 5.02887
Time: 3/8/2024 5:03:33 PM   |     Distance: 19.25845    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (117.1, 0.1, -2.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.021591 4.979034
Time: 3/8/2024 5:03:33 PM   |     Distance: 22.78049    |   Participant Coords: (99.5, 1.8, -10.0)   |   Item Coord: (120.5, 0.1, -1.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 4.962982 5.073837
