Starting Experiment now at 3/8/2024 12:14:24 PM

Time: 3/8/2024 12:14:36 PM   |     Distance: 14.38048    |   Participant Coords: (100.0, 0.1, -10.0)   |   Item Coord: (99.4, 2.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.612076 5.911469
Time: 3/8/2024 12:14:37 PM   |     Distance: 27.37385    |   Participant Coords: (99.9, 1.7, -10.0)   |   Item Coord: (126.9, 0.1, -6.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.202255 6.049744
Time: 3/8/2024 12:14:41 PM   |     Distance: 12.01495    |   Participant Coords: (99.7, 1.7, -10.1)   |   Item Coord: (103.8, 0.0, 1.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.822327 5.754578
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.44901    |   Participant Coords: (99.7, 1.7, -10.1)   |   Item Coord: (107.4, 0.9, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.861481 5.807327
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.43208    |   Participant Coords: (99.7, 1.7, -10.1)   |   Item Coord: (101.9, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.745819 5.881104
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.42135    |   Participant Coords: (99.7, 1.7, -10.1)   |   Item Coord: (101.8, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.849243 5.861252
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.77654    |   Participant Coords: (99.7, 1.7, -10.1)   |   Item Coord: (107.2, 2.3, 16.6)   |  Item: w1  |   Pupil Size (Left, right): 5.842163 5.774689
Time: 3/8/2024 12:14:41 PM   |     Distance: 28.08056    |   Participant Coords: (99.6, 1.7, -10.1)   |   Item Coord: (107.2, 2.3, 16.9)   |  Item: w1  |   Pupil Size (Left, right): 5.842163 5.774689
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.01513    |   Participant Coords: (99.6, 1.8, -10.1)   |   Item Coord: (107.2, 1.2, 15.8)   |  Item: w1  |   Pupil Size (Left, right): 5.811234 5.78894
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.82713    |   Participant Coords: (99.6, 1.8, -10.1)   |   Item Coord: (107.2, 1.1, 14.6)   |  Item: w1  |   Pupil Size (Left, right): 5.801453 5.812943
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.49157    |   Participant Coords: (99.6, 1.8, -10.1)   |   Item Coord: (107.2, 0.2, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.769806 5.83577
Time: 3/8/2024 12:14:41 PM   |     Distance: 30.37053    |   Participant Coords: (99.6, 1.8, -10.1)   |   Item Coord: (108.7, 0.1, 18.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.591599 5.808243
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.63086    |   Participant Coords: (99.6, 1.8, -10.1)   |   Item Coord: (107.6, 0.1, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.942703 5.791809
Time: 3/8/2024 12:14:41 PM   |     Distance: 21.48733    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (106.6, 0.1, 10.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.691864 5.70517
Time: 3/8/2024 12:14:41 PM   |     Distance: 19.43427    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (105.9, 0.0, 8.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 5.838409 5.722946
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.64199    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (107.6, 0.1, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.717194 5.8172
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.53541    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (102.2, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.667984 5.845947
Time: 3/8/2024 12:14:41 PM   |     Distance: 35.17295    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (107.3, 1.0, 24.2)   |  Item: w4  |   Pupil Size (Left, right): 5.805237 5.84581
Time: 3/8/2024 12:14:41 PM   |     Distance: 14.68539    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (102.8, 1.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.877686 5.843414
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.51986    |   Participant Coords: (99.6, 1.8, -10.2)   |   Item Coord: (107.4, 2.1, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.897385 5.800934
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.55469    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.8, 14.3)   |  Item: w1  |   Pupil Size (Left, right): 5.77034 5.872314
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.9372    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.7, 14.7)   |  Item: w1  |   Pupil Size (Left, right): 5.905823 5.888748
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.50635    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.3, 1.8, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.901718 5.894028
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.57625    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.6, 15.3)   |  Item: w1  |   Pupil Size (Left, right): 5.890793 5.808746
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.61681    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.7, 2.0, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.562424 5.806808
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.59039    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.6, 2.0, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.91069 5.770187
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.56275    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.5, 2.0, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.654388 5.797607
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.01044    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.5, 14.7)   |  Item: w1  |   Pupil Size (Left, right): 5.726074 5.926926
Time: 3/8/2024 12:14:41 PM   |     Distance: 25.51233    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.3, 1.6, 14.2)   |  Item: w4  |   Pupil Size (Left, right): 5.672577 5.825851
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.25519    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.7, 15.0)   |  Item: w1  |   Pupil Size (Left, right): 5.67691 5.856934
Time: 3/8/2024 12:14:41 PM   |     Distance: 27.45432    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.8, 16.2)   |  Item: w1  |   Pupil Size (Left, right): 5.934494 5.800735
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.27025    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.3, 15.0)   |  Item: w1  |   Pupil Size (Left, right): 5.772598 5.716049
Time: 3/8/2024 12:14:41 PM   |     Distance: 26.39314    |   Participant Coords: (99.7, 1.8, -10.2)   |   Item Coord: (107.2, 1.1, 15.1)   |  Item: w1  |   Pupil Size (Left, right): 5.713181 5.890778
