Starting Experiment now at 3/12/2024 10:47:29 AM

Time: 3/12/2024 10:47:31 AM   |     Distance: 4.474413    |   Participant Coords: (100.0, 1.6, 0.0)   |   Item Coord: (101.0, 0.5, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 4.437408 4.885269
Time: 3/12/2024 10:47:31 AM   |     Distance: 4.28164    |   Participant Coords: (100.0, 1.6, 0.0)   |   Item Coord: (99.5, 0.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.250031 5.618805
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.33333    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.1, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.503464 5.744095
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.393549    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (101.0, 2.4, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 6.191757 5.799881
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.255342    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 1.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 6.443848
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.220554    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.5, 1.8, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.816315
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.322974    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.2, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 6.010056
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.311069    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.4, 2.3, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.821777
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.251443    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.7, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.984879
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.218978    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.0, 2.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.86441
Time: 3/12/2024 10:47:33 AM   |     Distance: 4.236755    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.6, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.438278
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.274305    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (99.1, 1.6, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.506393 5.844452
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.219069    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.1, 2.0, 4.2)   |  Item: w4  |   Pupil Size (Left, right): -1 5.97879
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.251108    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 2.2, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.600769 6.135803
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.241174    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.226395 5.935638
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.243872    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.2, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.587112 6.332855
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.224865    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.3, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.625748 6.118317
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.231646    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.576035 6.224564
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.252151    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 2.1, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.467651 6.338654
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.230002    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.4, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.38678 6.303268
Time: 3/12/2024 10:47:34 AM   |     Distance: 4.265825    |   Participant Coords: (100.0, 1.5, 0.0)   |   Item Coord: (100.7, 1.9, 4.2)   |  Item: w4  |   Pupil Size (Left, right): 5.574356 6.238434
