Starting Experiment now at 3/8/2024 10:29:11 AM

Time: 3/8/2024 10:30:06 AM   |     Distance: 26.67561    |   Participant Coords: (150.5, 7.2, 79.7)   |   Item Coord: (126.8, 0.1, 89.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 29.88625    |   Participant Coords: (145.4, 8.0, 82.2)   |   Item Coord: (118.2, 0.0, 91.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.37601    |   Participant Coords: (143.6, 8.2, 82.9)   |   Item Coord: (115.9, 0.0, 92.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.41344    |   Participant Coords: (141.4, 8.4, 83.9)   |   Item Coord: (113.5, 0.0, 92.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 34.01153    |   Participant Coords: (139.5, 9.4, 84.6)   |   Item Coord: (108.1, 0.0, 93.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 34.28352    |   Participant Coords: (137.9, 9.5, 85.2)   |   Item Coord: (106.1, 0.0, 93.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 33.94396    |   Participant Coords: (136.7, 9.6, 85.6)   |   Item Coord: (105.1, 0.0, 93.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 34.09994    |   Participant Coords: (135.0, 9.9, 86.1)   |   Item Coord: (103.3, 0.0, 93.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 34.78091    |   Participant Coords: (133.4, 10.2, 86.7)   |   Item Coord: (101.0, 0.0, 94.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 35.22924    |   Participant Coords: (131.5, 10.7, 87.2)   |   Item Coord: (98.6, 0.2, 94.1)   |  Item: w4  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 35.87424    |   Participant Coords: (129.4, 11.1, 87.8)   |   Item Coord: (95.9, 0.1, 94.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 35.74762    |   Participant Coords: (127.0, 11.4, 88.4)   |   Item Coord: (93.6, 0.0, 94.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 36.97401    |   Participant Coords: (124.4, 12.0, 88.9)   |   Item Coord: (89.8, 0.0, 93.9)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 38.31673    |   Participant Coords: (122.3, 12.7, 89.3)   |   Item Coord: (86.5, 0.0, 93.8)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 36.89717    |   Participant Coords: (120.5, 12.6, 89.6)   |   Item Coord: (86.1, 0.0, 93.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 35.22272    |   Participant Coords: (119.0, 12.4, 89.9)   |   Item Coord: (86.1, 0.0, 93.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 33.38222    |   Participant Coords: (117.4, 12.0, 90.2)   |   Item Coord: (86.3, 0.0, 92.6)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 32.09549    |   Participant Coords: (115.7, 12.0, 90.5)   |   Item Coord: (86.0, 0.0, 92.3)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 31.04856    |   Participant Coords: (114.1, 11.9, 90.7)   |   Item Coord: (85.4, 0.0, 92.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.73922    |   Participant Coords: (112.6, 12.2, 90.8)   |   Item Coord: (84.4, 0.0, 91.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.35045    |   Participant Coords: (111.3, 12.3, 90.9)   |   Item Coord: (83.5, 0.0, 91.5)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.21709    |   Participant Coords: (109.9, 12.5, 91.0)   |   Item Coord: (82.4, 0.0, 91.2)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.08807    |   Participant Coords: (108.5, 12.7, 91.1)   |   Item Coord: (81.2, 0.0, 91.0)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.15237    |   Participant Coords: (107.0, 13.1, 91.1)   |   Item Coord: (79.8, 0.0, 90.7)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 30.15487    |   Participant Coords: (105.3, 13.4, 91.2)   |   Item Coord: (78.3, 0.0, 90.4)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 29.39509    |   Participant Coords: (104.1, 13.4, 91.2)   |   Item Coord: (78.0, 0.0, 90.1)   |  Item: Main_floor  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 27.91351    |   Participant Coords: (102.5, 13.5, 91.2)   |   Item Coord: (77.9, 0.4, 89.9)   |  Item: w3  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 22.83157    |   Participant Coords: (101.0, 13.3, 91.2)   |   Item Coord: (81.0, 2.3, 89.8)   |  Item: w3  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 25.58957    |   Participant Coords: (99.4, 13.2, 91.2)   |   Item Coord: (77.3, 0.5, 89.3)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 23.7533    |   Participant Coords: (97.6, 13.2, 91.1)   |   Item Coord: (77.2, 1.0, 89.1)   |  Item: w1  |   Pupil Size (Left, right): 0 0
Time: 3/8/2024 10:30:06 AM   |     Distance: 21.70609    |   Participant Coords: (95.6, 13.1, 91.0)   |   Item Coord: (77.2, 1.8, 88.8)   |  Item: w1  |   Pupil Size (Left, right): 0 0
