Starting Experiment now at 3/8/2024 1:38:27 PM

Time: 3/8/2024 1:39:53 PM   |     Distance: 2.827075    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.8, 7.7)   |  Item: w2  |   Pupil Size (Left, right): 3.162704 3.003235
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.861069    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.8, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 3.246078 2.984955
Time: 3/8/2024 1:39:53 PM   |     Distance: 3.147877    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.8, 7.2)   |  Item: w2  |   Pupil Size (Left, right): 3.132492 2.87616
Time: 3/8/2024 1:39:53 PM   |     Distance: 3.18447    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.8, 7.2)   |  Item: w2  |   Pupil Size (Left, right): 3.235626 2.999939
Time: 3/8/2024 1:39:53 PM   |     Distance: 3.169693    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.8, 7.2)   |  Item: w2  |   Pupil Size (Left, right): 3.301727 2.972595
Time: 3/8/2024 1:39:53 PM   |     Distance: 3.17724    |   Participant Coords: (20.5, 1.3, 9.4)   |   Item Coord: (22.8, 1.8, 7.2)   |  Item: w2  |   Pupil Size (Left, right): 3.284378 2.975403
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.955219    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.344574 2.975739
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.962278    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.327728 2.986084
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.960228    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.304077 2.97583
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.969031    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.29216 2.975311
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.985322    |   Participant Coords: (20.5, 1.3, 9.5)   |   Item Coord: (22.8, 1.8, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.269897 2.974594
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.984838    |   Participant Coords: (20.5, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.270599 2.946426
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.933811    |   Participant Coords: (20.6, 1.3, 9.5)   |   Item Coord: (22.8, 1.7, 7.6)   |  Item: w2  |   Pupil Size (Left, right): 3.307312 2.946106
Time: 3/8/2024 1:39:53 PM   |     Distance: 2.999227    |   Participant Coords: (20.5, 1.3, 9.5)   |   Item Coord: (22.8, 1.8, 7.5)   |  Item: w2  |   Pupil Size (Left, right): 3.339264 3.001709
Time: 3/8/2024 1:39:53 PM   |     Distance: 3.065688    |   Participant Coords: (20.5, 1.3, 9.5)   |   Item Coord: (22.8, 1.8, 7.4)   |  Item: w2  |   Pupil Size (Left, right): 3.204788 2.92009
