Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/22/2024 12:46:22 PM,Room_121, 4.557674, (100.1  1.5  -7.9), (97.4  0.1  -4.5), Main_floor, 3.918335  3.823059
3/22/2024 12:46:22 PM,Room_121, 4.140167, (100.1  1.5  -7.9), (97.6  0.1  -4.9), Main_floor, 3.993668  3.880814
3/22/2024 12:46:22 PM,Room_121, 3.924602, (100.1  1.5  -7.9), (97.8  0.1  -5.1), Main_floor, 4.132874  3.883774
3/22/2024 12:46:22 PM,Room_121, 3.917311, (100.1  1.5  -7.9), (97.8  0.1  -5.1), Main_floor, 4.070694  3.738739
3/22/2024 12:46:22 PM,Room_121, 4.062999, (100.1  1.5  -7.9), (97.7  0.1  -5.0), Main_floor, 4.034088  3.847595
3/22/2024 12:46:22 PM,Room_121, 4.128958, (100.1  1.5  -7.9), (97.6  0.1  -5.0), Main_floor, 4.044479  3.839523
3/22/2024 12:46:22 PM,Room_121, 4.210066, (100.1  1.5  -7.9), (97.6  0.1  -4.9), Main_floor, 4.121628  3.866394
3/22/2024 12:46:22 PM,Room_121, 3.966768, (100.1  1.5  -8.0), (97.8  0.1  -5.1), Main_floor, 4.080536  3.904083
3/22/2024 12:46:22 PM,Room_121, 3.875253, (100.1  1.6  -8.0), (97.8  0.1  -5.2), Main_floor, 3.979568  3.942581
3/22/2024 12:46:22 PM,Room_121, 3.663894, (100.1  1.6  -8.0), (98.0  0.1  -5.4), Main_floor, 4.074585  3.990173
3/22/2024 12:46:22 PM,Room_121, 3.355766, (100.1  1.6  -8.0), (98.1  0.1  -5.8), Main_floor, 4.115433  3.961838
3/22/2024 12:46:22 PM,Room_121, 2.756554, (100.1  1.6  -8.0), (98.4  0.1  -6.5), Main_floor, 4.00882  3.912262
3/22/2024 12:46:22 PM,Room_121, 2.540106, (100.1  1.6  -8.0), (98.5  0.1  -6.7), Main_floor, 3.990494  4.034714
3/22/2024 12:46:22 PM,Room_121, 2.600257, (100.1  1.6  -8.0), (98.5  0.1  -6.7), Main_floor, 4.126617  4.041107
3/22/2024 12:46:22 PM,Room_121, 2.577992, (100.1  1.6  -8.0), (98.6  0.1  -6.7), Main_floor, 4.14772  3.858231
3/22/2024 12:46:22 PM,Room_121, 2.55727, (100.1  1.6  -8.1), (98.7  0.1  -6.6), Main_floor, 3.969376  3.893387
3/22/2024 12:46:22 PM,Room_121, 2.655432, (100.1  1.6  -8.1), (98.6  0.1  -6.6), Main_floor, 3.912979  3.819504
3/22/2024 12:46:22 PM,Room_121, 2.701546, (100.1  1.6  -8.1), (98.6  0.1  -6.5), Main_floor, 3.994385  3.821457
3/22/2024 12:46:22 PM,Room_121, 2.779456, (100.2  1.6  -8.1), (98.6  0.1  -6.4), Main_floor, 3.941986  3.87149
3/22/2024 12:46:22 PM,Room_121, 2.892986, (100.2  1.6  -8.1), (98.5  0.1  -6.3), Main_floor, 3.892227  3.725296
3/22/2024 12:46:22 PM,Room_121, 2.933312, (100.2  1.6  -8.2), (98.5  0.1  -6.3), Main_floor, 3.857178  3.801468
3/22/2024 12:46:22 PM,Room_121, 2.969676, (100.2  1.6  -8.2), (98.5  0.1  -6.3), Main_floor, 3.864746  3.778854
3/22/2024 12:46:22 PM,Room_121, 2.964915, (100.2  1.6  -8.2), (98.5  0.1  -6.3), Main_floor, 3.802399  3.704971
3/22/2024 12:46:23 PM,Room_121, 1.49362, (32.4  1.6  134.8), (31.6  0.9  135.8), w3, 3.839401  3.692444
3/22/2024 12:46:23 PM,Room_121, 1.539635, (32.4  1.7  134.8), (31.6  0.9  135.8), w3, 3.68158  3.705643
3/22/2024 12:46:23 PM,Room_121, 1.590927, (32.4  1.7  134.8), (31.5  0.8  135.8), w3, 3.743942  3.602631
3/22/2024 12:46:23 PM,Room_121, 1.601762, (32.4  1.7  134.8), (31.5  0.8  135.8), w3, 3.678589  3.634186
3/22/2024 12:46:23 PM,Room_121, 1.621489, (32.5  1.7  134.7), (31.5  0.9  135.8), w3, 3.618454  3.619293
3/22/2024 12:46:23 PM,Room_121, 1.652215, (32.5  1.7  134.7), (31.5  0.9  135.8), w3, 3.700623  3.612823
3/22/2024 12:46:23 PM,Room_121, 1.721319, (32.5  1.7  134.7), (31.5  0.8  135.8), w3, 3.669769  3.542007
3/22/2024 12:46:23 PM,Room_121, 1.837745, (32.5  1.7  134.7), (31.3  0.8  135.8), w3, 3.577179  3.49176
3/22/2024 12:46:23 PM,Room_121, 2.377184, (32.5  1.7  134.6), (30.8  0.4  135.8), w3, 3.71106  3.549347
3/22/2024 12:46:23 PM,Room_121, 2.470676, (32.4  1.7  134.5), (31.1  0.1  133.2), Floor 1, 3.696747  3.618454
3/22/2024 12:46:23 PM,Room_121, 2.3743, (32.4  1.7  134.5), (31.3  0.1  133.1), Floor 1, 3.583298  3.701477
3/22/2024 12:46:23 PM,Room_121, 2.32262, (32.4  1.7  134.4), (31.6  0.1  133.0), Floor 1, 3.666763  3.745728
3/22/2024 12:46:23 PM,Room_121, 2.246612, (32.4  1.7  134.4), (31.9  0.1  133.0), Floor 1, 3.641129  3.783417
3/22/2024 12:46:23 PM,Room_121, 2.214553, (32.4  1.7  134.4), (32.0  0.1  132.9), Floor 1, 3.744461  3.824203
3/22/2024 12:46:23 PM,Room_121, 2.234971, (32.4  1.6  134.4), (31.9  0.1  132.9), Floor 1, 3.664642  3.777191
3/22/2024 12:46:23 PM,Room_121, 2.221257, (32.4  1.6  134.4), (31.9  0.1  132.9), Floor 1, 3.628052  3.674347
3/22/2024 12:46:23 PM,Room_121, 2.221082, (32.4  1.6  134.4), (31.8  0.1  132.9), Main_floor, 3.635391  3.655121
3/22/2024 12:46:23 PM,Room_121, 2.166592, (32.4  1.6  134.3), (31.9  0.1  133.0), Main_floor, 3.603806  3.651001
3/22/2024 12:46:23 PM,Room_121, 2.207073, (32.4  1.6  134.3), (31.8  0.1  132.9), Main_floor, 3.571655  3.732117
3/22/2024 12:46:23 PM,Room_121, 2.195941, (32.4  1.6  134.3), (31.8  0.1  132.9), Main_floor, 3.569931  3.707764
3/22/2024 12:46:23 PM,Room_121, 2.206049, (32.4  1.6  134.3), (31.8  0.1  132.9), Main_floor, 3.610657  3.637085
3/22/2024 12:46:23 PM,Room_121, 2.184039, (32.4  1.6  134.3), (31.8  0.1  132.9), Main_floor, 3.653702  3.726227
3/22/2024 12:46:23 PM,Room_121, 2.094414, (32.4  1.6  134.2), (32.2  0.1  132.9), Main_floor, 3.722229  3.607224
3/22/2024 12:46:23 PM,Room_121, 2.05379, (32.4  1.6  134.2), (32.4  0.1  132.9), Main_floor, 3.744827  3.771774
3/22/2024 12:46:23 PM,Room_121, 2.026855, (32.4  1.6  134.2), (32.4  0.1  132.9), Main_floor, 3.809525  3.744873
3/22/2024 12:46:23 PM,Room_121, 2.010942, (32.4  1.6  134.2), (32.4  0.1  132.9), Main_floor, 3.766083  3.61525
3/22/2024 12:46:23 PM,Room_121, 2.020596, (32.4  1.6  134.1), (32.4  0.1  132.8), Main_floor, 3.667236  3.622208
3/22/2024 12:46:23 PM,Room_121, 2.014108, (32.4  1.6  134.1), (32.4  0.1  132.8), Main_floor, 3.730011  3.687607
3/22/2024 12:46:23 PM,Room_121, 2.020266, (32.4  1.6  134.1), (32.4  0.1  132.8), Main_floor, 3.684769  3.704651
3/22/2024 12:46:23 PM,Room_121, 1.934347, (32.4  1.6  134.0), (32.4  0.1  132.9), Main_floor, 3.641586  3.798203
3/22/2024 12:46:23 PM,Room_121, 1.892593, (32.4  1.6  134.0), (32.3  0.1  132.9), Main_floor, 3.672195  3.764191
3/22/2024 12:46:23 PM,Room_121, 1.879475, (32.4  1.6  134.0), (32.2  0.1  132.9), Main_floor, 3.762131  3.756805
3/22/2024 12:46:23 PM,Room_121, 1.860518, (32.4  1.6  133.9), (32.2  0.1  132.9), Main_floor, 3.7957  3.707367
3/22/2024 12:46:23 PM,Room_121, 1.802765, (32.4  1.6  133.9), (32.2  0.1  133.0), Main_floor, 3.846481  3.818298
3/22/2024 12:46:23 PM,Room_121, 1.749017, (32.4  1.6  133.8), (32.2  0.1  133.1), Main_floor, 3.846329  3.815063
3/22/2024 12:46:23 PM,Room_121, 1.747304, (32.4  1.6  133.8), (32.2  0.1  133.0), Main_floor, 3.907883  3.725128
3/22/2024 12:46:24 PM,Room_121, 1.727994, (32.3  1.6  133.8), (32.1  0.1  133.0), Main_floor, 3.860672  3.699173
3/22/2024 12:46:24 PM,Room_121, 1.726659, (32.3  1.6  133.8), (32.1  0.1  133.0), Main_floor, 3.794937  3.853256
3/22/2024 12:46:24 PM,Room_121, 1.756604, (32.3  1.6  133.7), (32.0  0.1  132.9), Main_floor, 3.836243  3.730133
3/22/2024 12:46:24 PM,Room_121, 1.790542, (32.3  1.6  133.7), (32.1  0.1  132.8), Main_floor, 3.912048  3.717026
3/22/2024 12:46:24 PM,Room_121, 1.800414, (32.3  1.6  133.6), (32.1  0.1  132.7), Main_floor, 3.768143  3.665405
3/22/2024 12:46:24 PM,Room_121, 1.814504, (32.3  1.6  133.6), (32.0  0.1  132.7), Main_floor, 3.775223  3.470856
3/22/2024 12:46:24 PM,Room_121, 1.762457, (32.3  1.6  133.6), (32.1  0.1  132.7), Main_floor, 3.788055  3.85788
3/22/2024 12:46:24 PM,Room_121, 1.714329, (32.3  1.6  133.5), (32.1  0.1  132.8), Main_floor, 3.790298  3.779343
3/22/2024 12:46:24 PM,Room_121, 1.638728, (32.3  1.6  133.5), (32.0  0.1  133.0), Main_floor, 3.816605  3.682892
3/22/2024 12:46:24 PM,Room_121, 1.62957, (32.3  1.6  133.5), (32.0  0.1  133.0), Main_floor, 3.802628  3.758896
3/22/2024 12:46:24 PM,Room_121, 1.606809, (32.3  1.6  133.4), (32.0  0.1  133.1), Main_floor, 3.762009  3.714386
3/22/2024 12:46:24 PM,Room_121, 1.609826, (32.2  1.6  133.4), (31.9  0.1  133.0), Main_floor, 3.780365  3.776031
3/22/2024 12:46:24 PM,Room_121, 1.598594, (32.2  1.6  133.4), (31.9  0.1  133.1), Main_floor, 3.703659  3.710892
3/22/2024 12:46:24 PM,Room_121, 1.582268, (32.2  1.6  133.4), (32.0  0.1  133.1), Main_floor, 3.693481  3.73822
3/22/2024 12:46:24 PM,Room_121, 1.57891, (32.2  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.662354  3.72731
3/22/2024 12:46:24 PM,Room_121, 1.563853, (32.2  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.664276  3.817169
3/22/2024 12:46:24 PM,Room_121, 1.559108, (32.2  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.753387  3.730804
3/22/2024 12:46:24 PM,Room_121, 1.552723, (32.2  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.646851  3.679443
3/22/2024 12:46:24 PM,Room_121, 1.55032, (32.2  1.6  133.3), (32.0  0.1  133.0), Main_floor, 3.685333  3.695892
3/22/2024 12:46:24 PM,Room_121, 1.544924, (32.2  1.6  133.3), (32.0  0.1  133.0), Main_floor, 3.742645  3.696106
3/22/2024 12:46:24 PM,Room_121, 1.535844, (32.2  1.6  133.3), (32.1  0.1  133.0), Main_floor, 3.683029  3.742493
3/22/2024 12:46:24 PM,Room_121, 1.531363, (32.2  1.6  133.2), (32.1  0.1  133.0), Main_floor, 3.77562  3.676559
3/22/2024 12:46:24 PM,Room_121, 1.52371, (32.2  1.6  133.2), (32.1  0.1  133.0), Main_floor, 3.77562  3.676559
3/22/2024 12:46:24 PM,Room_121, 1.518362, (32.2  1.6  133.2), (32.1  0.1  133.0), Main_floor, 3.738876  3.672028
3/22/2024 12:46:24 PM,Room_121, 1.514963, (32.2  1.6  133.2), (32.1  0.1  133.1), Main_floor, 3.759094  3.735489
3/22/2024 12:46:24 PM,Room_121, 1.517243, (32.2  1.6  133.2), (32.1  0.1  133.0), Main_floor, 3.614639  3.715652
3/22/2024 12:46:24 PM,Room_121, 1.530095, (32.2  1.6  133.2), (32.0  0.1  133.0), Main_floor, 3.778549  3.767563
3/22/2024 12:46:24 PM,Room_121, 1.540537, (32.2  1.6  133.2), (31.9  0.1  133.0), Main_floor, 3.798752  3.707977
3/22/2024 12:46:24 PM,Room_121, 1.549349, (32.2  1.6  133.2), (31.9  0.1  133.1), Floor 1, 3.714493  3.754623
3/22/2024 12:46:24 PM,Room_121, 1.551402, (32.1  1.6  133.2), (31.9  0.1  133.1), Floor 1, 3.690811  3.731918
3/22/2024 12:46:24 PM,Room_121, 1.552203, (32.1  1.6  133.2), (31.9  0.1  133.1), Floor 1, 3.633301  3.617004
3/22/2024 12:46:24 PM,Room_121, 1.554621, (32.1  1.6  133.2), (31.9  0.1  133.1), Floor 1, 3.625366  3.6763
3/22/2024 12:46:24 PM,Room_121, 1.552848, (32.1  1.6  133.2), (31.9  0.1  133.1), Floor 1, 3.590744  3.683334
3/22/2024 12:46:24 PM,Room_121, 1.552904, (32.1  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.557831  3.637024
3/22/2024 12:46:24 PM,Room_121, 1.55632, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.431732  3.581757
3/22/2024 12:46:24 PM,Room_121, 1.548013, (32.1  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.434937  3.50177
3/22/2024 12:46:25 PM,Room_121, 1.548081, (32.1  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.37355  3.479996
3/22/2024 12:46:25 PM,Room_121, 1.545348, (32.1  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.447006  3.523544
3/22/2024 12:46:25 PM,Room_121, 1.566231, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.516693  3.507736
3/22/2024 12:46:25 PM,Room_121, 1.572191, (32.1  1.6  133.1), (31.8  0.1  133.2), Floor 1, 3.41391  3.373428
3/22/2024 12:46:25 PM,Room_121, 1.578906, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.379776  3.307663
3/22/2024 12:46:25 PM,Room_121, 1.581622, (32.1  1.6  133.1), (31.8  0.1  133.2), Floor 1, 3.452454  3.396912
3/22/2024 12:46:25 PM,Room_121, 1.586237, (32.1  1.6  133.1), (31.7  0.1  133.2), Floor 1, 3.403595  3.301498
3/22/2024 12:46:25 PM,Room_121, 1.581027, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.469269  3.402618
3/22/2024 12:46:25 PM,Room_121, 1.587003, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.514938  3.427536
3/22/2024 12:46:25 PM,Room_121, 1.585963, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.476929  3.340958
3/22/2024 12:46:25 PM,Room_121, 1.591689, (32.1  1.6  133.1), (31.7  0.1  133.2), Floor 1, 3.408081  3.383591
3/22/2024 12:46:25 PM,Room_121, 1.592785, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.492218  3.346893
3/22/2024 12:46:25 PM,Room_121, 1.598802, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.480881  3.358231
3/22/2024 12:46:25 PM,Room_121, 1.601799, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.469406  3.462708
3/22/2024 12:46:25 PM,Room_121, 1.600111, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.402893  3.388306
3/22/2024 12:46:25 PM,Room_121, 1.601157, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.48111  3.487747
3/22/2024 12:46:25 PM,Room_121, 1.59728, (32.1  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.483612  3.378647
3/22/2024 12:46:25 PM,Room_121, 1.605461, (32.1  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.453735  3.345154
3/22/2024 12:46:25 PM,Room_121, 1.704284, (32.2  1.6  133.1), (31.5  0.1  133.2), Floor 1, 3.385315  3.493866
3/22/2024 12:46:25 PM,Room_121, 1.911538, (32.2  1.6  133.1), (31.1  0.1  133.2), Floor 1, 3.5914  3.436768
3/22/2024 12:46:25 PM,Room_121, 2.423158, (32.2  1.6  133.1), (30.3  0.1  133.4), Floor 1, 3.546524  3.418991
3/22/2024 12:46:25 PM,Room_121, 1.882045, (32.2  1.6  133.1), (31.1  0.1  133.2), Floor 1, 3.603226  3.58168
3/22/2024 12:46:25 PM,Room_121, 2.613399, (32.2  1.6  133.1), (30.1  0.1  133.5), Floor 1, 3.569885  3.47583
3/22/2024 12:46:25 PM,Room_121, 1.997702, (32.2  1.6  133.1), (31.0  0.1  133.3), Floor 1, 3.551575  3.431061
3/22/2024 12:46:25 PM,Room_121, 2.028288, (32.2  1.6  133.1), (30.9  0.1  133.3), Floor 1, 3.523956  3.46608
3/22/2024 12:46:25 PM,Room_121, 2.560071, (32.2  1.6  133.1), (30.2  0.1  133.4), Floor 1, 3.639023  3.343582
