Time, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/15/2024 4:10:13 PM,6.056226, (100.1  1.6  -8.3), (94.4  0.0  -7.4), Main_floor, 4.112518  4.140823
3/15/2024 4:10:13 PM,6.120945, (100.1  1.6  -8.2), (94.3  0.1  -7.2), Main_floor, 4.161194  4.135818
3/15/2024 4:10:13 PM,5.932412, (100.1  1.6  -8.2), (94.5  0.1  -7.1), Main_floor, 4.14534  3.998032
3/15/2024 4:10:13 PM,5.631897, (100.1  1.6  -8.2), (94.8  0.1  -7.2), Main_floor, 4.142609  4.075165
3/15/2024 4:10:13 PM,6.01062, (100.1  1.6  -8.2), (94.4  0.1  -7.1), Main_floor, 4.137421  3.94455
3/15/2024 4:10:13 PM,5.445232, (100.1  1.6  -8.2), (95.0  0.1  -7.1), Main_floor, 3.964218  4.006653
3/15/2024 4:10:13 PM,5.520196, (100.1  1.6  -8.2), (94.9  0.1  -7.0), Main_floor, 3.908066  4.052155
3/15/2024 4:10:13 PM,5.342577, (100.1  1.6  -8.3), (95.1  0.1  -7.0), Main_floor, 3.887894  4.065903
3/15/2024 4:10:13 PM,5.450504, (100.1  1.6  -8.3), (95.0  0.1  -7.0), Main_floor, 3.86026  4.011261
3/15/2024 4:10:13 PM,5.572995, (100.1  1.6  -8.3), (94.9  0.1  -7.1), Main_floor, 3.874268  4.085068
3/15/2024 4:10:13 PM,4.909335, (100.1  1.6  -8.3), (95.5  0.1  -7.2), Main_floor, 3.884293  3.848526
3/15/2024 4:10:13 PM,5.279817, (100.1  1.6  -8.3), (95.2  0.1  -7.1), Main_floor, 3.970688  3.961273
3/15/2024 4:10:13 PM,5.615087, (100.1  1.6  -8.3), (94.8  0.1  -7.1), Main_floor, 3.799255  4.235428
3/15/2024 4:10:13 PM,5.403157, (100.1  1.6  -8.2), (95.1  0.1  -6.9), Main_floor, 3.796524  4.263962
3/15/2024 4:10:13 PM,5.198636, (100.1  1.6  -8.3), (95.7  0.1  -5.9), Main_floor, 3.800079  4.116928
3/15/2024 4:10:13 PM,4.706994, (100.0  1.6  -8.3), (96.5  0.1  -5.6), Main_floor, 3.598892  4.000916
3/15/2024 4:10:13 PM,4.554523, (100.0  1.6  -8.3), (97.2  0.1  -5.1), Main_floor, 3.852341  3.869095
3/15/2024 4:10:13 PM,4.293042, (100.0  1.6  -8.3), (98.0  0.1  -4.8), Main_floor, 3.892746  3.821609
3/15/2024 4:10:13 PM,4.25809, (100.0  1.6  -8.3), (98.2  0.1  -4.8), Main_floor, 3.826309  3.990295
3/15/2024 4:10:13 PM,4.269481, (100.0  1.6  -8.3), (98.2  0.1  -4.8), Main_floor, 3.707581  3.911835
3/15/2024 4:10:13 PM,4.272135, (100.0  1.6  -8.3), (98.1  0.1  -4.9), Main_floor, 3.687378  3.921478
3/15/2024 4:10:13 PM,4.260645, (100.0  1.6  -8.3), (98.1  0.1  -4.8), Main_floor, 3.791794  3.929016
3/15/2024 4:10:13 PM,4.366756, (100.1  1.6  -8.3), (98.3  0.1  -4.7), Main_floor, 3.7211  4.22229
3/15/2024 4:10:13 PM,4.848467, (100.0  1.6  -8.3), (98.2  0.1  -4.1), Main_floor, 3.992218  4.096313
3/15/2024 4:10:13 PM,4.977828, (100.0  1.6  -8.3), (98.0  0.1  -4.1), Main_floor, 3.894958  4.247284
3/15/2024 4:10:13 PM,4.460286, (100.0  1.6  -8.4), (98.7  0.1  -4.4), Main_floor, 3.849289  4.221573
3/15/2024 4:10:13 PM,4.05865, (100.0  1.6  -8.4), (98.8  0.1  -4.8), Main_floor, 3.780685  4.156067
3/15/2024 4:10:14 PM,4.224163, (100.0  1.6  -8.4), (98.7  0.1  -4.7), Main_floor, 3.798355  4.17308
3/15/2024 4:10:14 PM,4.250562, (100.0  1.6  -8.4), (98.7  0.1  -4.6), Main_floor, 3.894012  4.191895
3/15/2024 4:10:14 PM,4.157915, (100.0  1.6  -8.4), (98.8  0.1  -4.7), Main_floor, 3.825363  4.197372
3/15/2024 4:10:14 PM,4.051566, (100.0  1.6  -8.4), (98.8  0.1  -4.9), Main_floor, 3.906204  4.204895
3/15/2024 4:10:14 PM,4.339428, (100.0  1.6  -8.4), (98.8  0.1  -4.5), Main_floor, 3.864944  3.987442
3/15/2024 4:10:14 PM,4.238989, (100.0  1.6  -8.4), (99.0  0.1  -4.6), Main_floor, 3.910736  4.111725
3/15/2024 4:10:14 PM,4.223543, (100.0  1.6  -8.4), (99.1  0.1  -4.6), Main_floor, 3.929672  4.224289
3/15/2024 4:10:14 PM,4.162777, (100.0  1.6  -8.4), (99.0  0.1  -4.7), Main_floor, 3.917755  4.108215
3/15/2024 4:10:14 PM,4.377468, (100.0  1.6  -8.4), (99.0  0.1  -4.5), Main_floor, 3.942932  4.242203
3/15/2024 4:10:14 PM,4.520741, (100.0  1.6  -8.4), (98.9  0.1  -4.3), Main_floor, 3.953369  4.362091
3/15/2024 4:10:14 PM,4.603158, (100.0  1.6  -8.4), (98.9  0.1  -4.2), Main_floor, 4.005493  4.301514
3/15/2024 4:10:14 PM,4.666215, (100.0  1.6  -8.4), (98.9  0.1  -4.2), Main_floor, 4.006088  4.286591
3/15/2024 4:10:14 PM,5.66949, (100.0  1.6  -8.4), (98.7  0.1  -3.1), Main_floor, 3.953094  4.25412
3/15/2024 4:10:14 PM,6.853059, (100.0  1.6  -8.4), (98.3  0.1  -2.0), Main_floor, 4.037979  4.296188
3/15/2024 4:10:14 PM,7.164812, (100.0  1.6  -8.4), (98.4  0.1  -1.6), Main_floor, 4.056808  4.176636
3/15/2024 4:10:14 PM,6.859297, (100.0  1.6  -8.4), (98.4  0.1  -1.9), Main_floor, 3.934265  4.351944
3/15/2024 4:10:14 PM,6.651618, (100.0  1.6  -8.4), (98.4  0.1  -2.2), Main_floor, 4.100647  4.208511
3/15/2024 4:10:14 PM,6.902903, (100.0  1.6  -8.4), (98.2  0.1  -1.9), Main_floor, 3.968887  4.248123
3/15/2024 4:10:14 PM,7.568207, (100.0  1.6  -8.4), (97.9  0.1  -1.3), Main_floor, 3.934509  4.342789
3/15/2024 4:10:14 PM,7.34514, (100.0  1.6  -8.4), (98.0  0.1  -1.5), Main_floor, 3.908066  4.209793
3/15/2024 4:10:14 PM,6.729917, (100.0  1.6  -8.4), (98.2  0.1  -2.1), Main_floor, 3.924164  4.294128
3/15/2024 4:10:14 PM,6.843236, (100.0  1.6  -8.4), (98.1  0.1  -2.0), Main_floor, 4.147415  4.307968
3/15/2024 4:10:14 PM,6.338625, (100.0  1.6  -8.4), (98.2  0.1  -2.5), Main_floor, 4.085464  4.353867
3/15/2024 4:10:14 PM,6.445075, (100.0  1.6  -8.4), (98.0  0.1  -2.4), Main_floor, 4.082184  4.252167
3/15/2024 4:10:14 PM,6.197031, (100.0  1.6  -8.4), (97.9  0.1  -2.7), Main_floor, 4.09288  4.342972
3/15/2024 4:10:14 PM,6.075085, (100.0  1.6  -8.4), (97.9  0.1  -2.8), Main_floor, 4.110672  4.324921
3/15/2024 4:10:14 PM,6.254539, (100.0  1.6  -8.3), (97.9  0.1  -2.7), Main_floor, 4.088104  4.22084
3/15/2024 4:10:14 PM,6.399416, (100.0  1.6  -8.3), (98.2  0.1  -2.4), Main_floor, 4.189972  4.260452
3/15/2024 4:10:14 PM,6.708814, (100.0  1.6  -8.3), (98.0  0.1  -2.1), Main_floor, 4.171432  4.291382
3/15/2024 4:10:14 PM,7.07365, (100.0  1.6  -8.3), (98.0  0.1  -1.7), Main_floor, 4.071289  4.287933
3/15/2024 4:10:14 PM,6.442115, (100.0  1.6  -8.3), (98.1  0.1  -2.3), Main_floor, 4.211548  4.279068
3/15/2024 4:10:14 PM,6.490832, (100.0  1.6  -8.3), (97.9  0.1  -2.3), Main_floor, 4.119278  4.363022
3/15/2024 4:10:14 PM,5.917122, (100.0  1.6  -8.2), (98.3  0.1  -2.8), Main_floor, 4.17691  4.293945
3/15/2024 4:10:14 PM,5.443396, (100.0  1.6  -8.2), (98.4  0.1  -3.2), Main_floor, 4.207397  4.390472
3/15/2024 4:10:14 PM,4.220345, (100.0  1.6  -8.2), (98.8  0.1  -4.5), Main_floor, 4.31813  4.565247
3/15/2024 4:10:14 PM,3.862718, (100.0  1.6  -8.2), (98.9  0.1  -4.8), Main_floor, 4.160294  4.536942
3/15/2024 4:10:14 PM,3.774525, (100.0  1.6  -8.2), (98.9  0.1  -4.9), Main_floor, 4.184357  4.488113
3/15/2024 4:10:14 PM,3.763204, (100.0  1.6  -8.1), (99.0  0.1  -4.9), Main_floor, 4.188232  4.519836
3/15/2024 4:10:14 PM,3.788409, (100.0  1.6  -8.1), (98.9  0.1  -4.9), Main_floor, 4.185287  4.402176
3/15/2024 4:10:14 PM,3.728641, (100.0  1.6  -8.1), (98.9  0.1  -4.9), Main_floor, 4.149994  4.488724
3/15/2024 4:10:14 PM,3.613986, (100.0  1.6  -8.1), (98.9  0.1  -5.1), Main_floor, 4.148285  4.620193
