Starting experiment at 03/28/2024 13:20:23
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
13:20:48, Room_121, 1.90874, (32.0  1.7  133.0), (31.0  0.1  133.1), Floor 1, -1  5.00473
13:20:48, Room_121, 1.918296, (32.1  1.7  133.0), (31.0  0.1  133.1), Floor 1, -1  5.00473
13:20:48, Room_121, 1.928457, (32.1  1.7  133.0), (31.0  0.1  133.1), Floor 1, -1  5.00473
13:20:48, Room_121, 1.939713, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.950843, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.959867, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.9645, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.965089, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.963961, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.960189, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.952311, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.948784, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.948754, (32.1  1.7  133.0), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.950323, (32.1  1.7  133.1), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.953784, (32.1  1.7  133.1), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.956042, (32.1  1.7  133.1), (31.0  0.1  133.0), Floor 1, -1  5.00473
13:20:48, Room_121, 1.95568, (32.1  1.7  133.1), (31.0  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.953261, (32.1  1.7  133.1), (31.0  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.944734, (32.1  1.7  133.1), (31.0  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.941128, (32.1  1.7  133.1), (31.0  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.936378, (32.1  1.7  133.1), (31.1  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.934149, (32.1  1.7  133.1), (31.1  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.930987, (32.1  1.7  133.1), (31.1  0.1  132.9), Floor 1, -1  5.00473
13:20:49, Room_121, 1.929549, (32.1  1.7  133.1), (31.1  0.1  132.8), Floor 1, -1  5.00473
13:20:49, Room_121, 1.927811, (32.1  1.7  133.1), (31.1  0.1  132.8), Floor 1, -1  5.00473
13:20:49, Room_121, 1.926973, (32.1  1.7  133.1), (31.1  0.1  132.8), Floor 1, -1  5.00473
13:20:49, Room_121, 1.926314, (32.1  1.7  133.1), (31.1  0.1  132.8), Floor 1, -1  5.00473
13:20:49, Room_121, 1.927057, (32.2  1.7  133.1), (31.1  0.1  132.8), Floor 1, -1  5.00473
13:20:49, Room_121, 1.931318, (32.2  1.7  133.1), (31.1  0.1  132.7), Floor 1, -1  5.00473
13:20:49, Room_121, 1.933887, (32.2  1.7  133.1), (31.2  0.1  132.7), Floor 1, -1  5.00473
13:20:49, Room_121, 1.937776, (32.2  1.7  133.1), (31.2  0.1  132.7), Floor 1, -1  5.00473
13:20:49, Room_121, 1.939621, (32.2  1.7  133.1), (31.2  0.1  132.7), Floor 1, -1  5.00473
13:20:49, Room_121, 1.945619, (32.2  1.7  133.1), (31.2  0.1  132.7), Floor 1, -1  5.00473
13:20:49, Room_121, 1.950171, (32.2  1.7  133.1), (31.2  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 1.964503, (32.2  1.7  133.1), (31.2  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 1.978582, (32.2  1.7  133.1), (31.1  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 1.990585, (32.2  1.7  133.0), (31.1  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 1.998962, (32.2  1.7  133.0), (31.1  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 2.006835, (32.2  1.7  133.0), (31.1  0.1  132.6), Floor 1, -1  5.00473
13:20:49, Room_121, 2.011756, (32.2  1.7  133.0), (31.1  0.1  132.5), Floor 1, -1  5.00473
13:20:49, Room_121, 2.018254, (32.2  1.7  133.0), (31.1  0.1  132.5), Floor 1, -1  5.00473
