Ending experiment at 3/27/2024 10:35:28 AM
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/27/2024 10:35:31 AM,Room_121, 12.49951, (100.1  1.5  -8.2), (98.2  0.8  4.2), w4, 4.362793  4.299225
3/27/2024 10:35:31 AM,Room_121, 21.19956, (100.0  1.5  -8.2), (93.9  -0.1  12.1), Main_floor, 4.449783  4.312698
3/27/2024 10:35:31 AM,Room_121, 20.63074, (100.0  1.5  -8.2), (94.1  -0.1  11.5), Main_floor, 4.389297  4.324661
3/27/2024 10:35:31 AM,Room_121, 11.41797, (100.1  1.5  -8.2), (97.5  -0.1  2.9), Main_floor, 4.353958  4.421265
3/27/2024 10:35:31 AM,Room_121, 9.470854, (100.0  1.5  -8.1), (97.7  -0.1  0.9), Main_floor, 4.327911  4.336487
3/27/2024 10:35:31 AM,Room_121, 9.021806, (100.0  1.5  -8.1), (97.9  -0.1  0.5), Main_floor, 4.335175  4.329346
3/27/2024 10:35:31 AM,Room_121, 8.720079, (100.0  1.5  -8.1), (98.0  -0.1  0.2), Main_floor, 4.354065  4.32431
3/27/2024 10:35:31 AM,Room_121, 8.693746, (100.0  1.5  -8.1), (98.1  -0.1  0.2), Main_floor, 4.369232  4.32402
3/27/2024 10:35:31 AM,Room_121, 8.612321, (100.0  1.5  -8.1), (98.1  -0.1  0.1), Main_floor, 4.355042  4.318954
3/27/2024 10:35:31 AM,Room_121, 8.700821, (100.0  1.5  -8.1), (98.1  -0.1  0.2), Main_floor, 4.350739  4.302933
3/27/2024 10:35:31 AM,Room_121, 8.88259, (100.0  1.5  -8.1), (98.0  -0.1  0.4), Main_floor, 4.340912  4.297455
3/27/2024 10:35:31 AM,Room_121, 8.909506, (100.0  1.5  -8.1), (98.0  -0.1  0.4), Main_floor, 4.342087  4.220474
3/27/2024 10:35:31 AM,Room_121, 9.09684, (100.0  1.5  -8.1), (97.9  -0.1  0.6), Main_floor, 4.312729  4.377335
3/27/2024 10:35:32 AM,Room_121, 8.140754, (100.0  1.5  -8.1), (98.1  -0.1  -0.3), Main_floor, 4.372162  4.366852
3/27/2024 10:35:32 AM,Room_121, 5.382681, (100.0  1.5  -8.1), (99.0  -0.1  -3.0), Main_floor, 4.285812  4.341873
3/27/2024 10:35:32 AM,Room_121, 5.049248, (100.0  1.5  -8.1), (98.9  -0.1  -3.4), Main_floor, 4.268921  4.390442
