Ending experiment at 3/27/2024 10:28:14 AM
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/27/2024 10:28:34 AM,Room_121, 3.060652, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.458618  4.554108
3/27/2024 10:28:35 AM,Room_121, 3.049469, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.480652  4.544647
3/27/2024 10:28:35 AM,Room_121, 3.057309, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.480942  4.544388
3/27/2024 10:28:35 AM,Room_121, 3.05904, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.512466  4.544678
3/27/2024 10:28:35 AM,Room_121, 3.057005, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.536484  4.547806
3/27/2024 10:28:35 AM,Room_121, 3.057209, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.536346  4.548355
3/27/2024 10:28:35 AM,Room_121, 3.058433, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.559402  4.557617
3/27/2024 10:28:35 AM,Room_121, 3.068798, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.560318  4.557465
3/27/2024 10:28:35 AM,Room_121, 3.067384, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.559418  4.568573
3/27/2024 10:28:35 AM,Room_121, 3.056071, (100.1  1.6  -8.1), (99.4  -0.1  -5.7), Main_floor, 4.493027  4.568298
3/27/2024 10:28:35 AM,Room_121, 2.998355, (100.1  1.6  -8.1), (99.4  -0.1  -5.8), Main_floor, 4.425339  4.570496
3/27/2024 10:28:35 AM,Room_121, 2.898183, (100.1  1.6  -8.1), (99.4  -0.1  -5.9), Main_floor, 4.374359  4.469513
3/27/2024 10:28:35 AM,Room_121, 2.410692, (100.1  1.6  -8.1), (99.6  -0.1  -6.5), Main_floor, 4.409241  4.575958
3/27/2024 10:28:35 AM,Room_121, 2.306346, (100.1  1.6  -8.1), (99.6  -0.1  -6.6), Main_floor, 4.216461  4.392838
3/27/2024 10:28:35 AM,Room_121, 2.317098, (100.1  1.6  -8.1), (99.6  -0.1  -6.6), Main_floor, 4.154587  4.261215
