Starting experiment at 3/27/2024 10:58:04 AM
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/27/2024 10:58:08 AM,Room_121, 12.1248, (100.1  1.6  -7.8), (98.4  0.9  4.2), w4, -1  4.191147
3/27/2024 10:58:08 AM,Room_121, 7.922332, (100.1  1.6  -7.8), (98.3  -0.1  -0.3), Main_floor, -1  4.123123
3/27/2024 10:58:08 AM,Room_121, 10.28846, (100.1  1.6  -7.8), (97.2  -0.1  1.9), Main_floor, -1  4.310394
3/27/2024 10:58:08 AM,Room_121, 8.895943, (100.1  1.6  -7.8), (97.3  -0.1  0.5), Main_floor, 4.07193  4.271606
3/27/2024 10:58:09 AM,Room_121, 8.818369, (100.1  1.6  -7.8), (97.3  -0.1  0.4), Main_floor, 4.240555  4.249802
3/27/2024 10:58:09 AM,Room_121, 8.748302, (100.1  1.6  -7.8), (97.2  -0.1  0.2), Main_floor, 4.315674  4.398651
3/27/2024 10:58:09 AM,Room_121, 8.135409, (100.1  1.6  -7.8), (97.4  -0.1  -0.3), Main_floor, 4.443176  4.440842
3/27/2024 10:58:09 AM,Room_121, 7.839761, (100.1  1.6  -7.8), (97.4  -0.1  -0.7), Main_floor, 4.42804  4.422089
3/27/2024 10:58:09 AM,Room_121, 7.565063, (100.1  1.6  -7.8), (97.5  -0.1  -0.9), Main_floor, 4.358185  4.444077
3/27/2024 10:58:09 AM,Room_121, 7.628472, (100.1  1.6  -7.8), (97.4  -0.1  -0.9), Main_floor, 4.508347  4.393723
3/27/2024 10:58:09 AM,Room_121, 7.709268, (100.1  1.6  -7.8), (97.4  -0.1  -0.8), Main_floor, 4.482269  4.317886
3/27/2024 10:58:09 AM,Room_121, 6.858842, (100.1  1.6  -7.9), (97.7  -0.1  -1.7), Main_floor, 4.538513  4.361557
3/27/2024 10:58:09 AM,Room_121, 6.02803, (100.1  1.7  -7.9), (97.9  -0.1  -2.5), Main_floor, 4.547485  4.485199
3/27/2024 10:58:09 AM,Room_121, 4.050014, (100.2  1.7  -7.9), (98.4  -0.1  -4.6), Main_floor, 4.45726  4.413361
3/27/2024 10:58:09 AM,Room_121, 3.540795, (100.2  1.7  -7.9), (98.6  -0.1  -5.2), Main_floor, 4.408615  4.367142
3/27/2024 10:58:09 AM,Room_121, 3.58835, (100.2  1.7  -7.9), (98.5  -0.1  -5.2), Main_floor, 4.456085  4.39592
3/27/2024 10:58:09 AM,Room_121, 3.657131, (100.2  1.7  -7.9), (98.5  -0.1  -5.1), Main_floor, 4.221832  4.276413
3/27/2024 10:58:09 AM,Room_121, 3.732179, (100.2  1.7  -7.9), (98.4  -0.1  -5.1), Main_floor, 4.278397  4.311005
3/27/2024 10:58:09 AM,Room_121, 3.816361, (100.2  1.7  -7.9), (98.4  -0.1  -5.0), Main_floor, 4.196136  4.127975
3/27/2024 10:58:09 AM,Room_121, 3.782831, (100.2  1.7  -7.9), (98.4  -0.1  -5.0), Main_floor, 4.190201  4.216537
3/27/2024 10:58:09 AM,Room_121, 3.873286, (100.2  1.7  -7.9), (98.4  -0.1  -5.0), Main_floor, 4.238876  4.159805
3/27/2024 10:58:09 AM,Room_121, 4.086535, (100.2  1.7  -7.9), (98.2  -0.1  -4.8), Main_floor, 4.21019  4.251266
3/27/2024 10:58:09 AM,Room_121, 4.237526, (100.2  1.7  -7.9), (98.1  -0.1  -4.7), Main_floor, 4.334091  4.248749
3/27/2024 10:58:09 AM,Room_121, 4.324046, (100.2  1.7  -7.9), (98.1  -0.1  -4.6), Main_floor, 4.279388  4.22229
3/27/2024 10:58:09 AM,Room_121, 4.494387, (100.2  1.7  -7.9), (98.0  -0.1  -4.4), Main_floor, 4.320084  4.102112
3/27/2024 10:58:09 AM,Room_121, 3.901992, (100.2  1.7  -7.9), (98.1  -0.1  -5.2), Main_floor, 4.153488  4.177811
3/27/2024 10:58:09 AM,Room_121, 3.409406, (100.3  1.7  -7.9), (98.2  -0.1  -5.9), Main_floor, 4.092743  4.201416
3/27/2024 10:58:09 AM,Room_121, 3.316086, (100.3  1.7  -7.9), (98.1  -0.1  -6.1), Main_floor, 4.074936  4.204529
3/27/2024 10:58:09 AM,Room_121, 3.37352, (100.3  1.7  -8.0), (98.1  -0.1  -6.0), Main_floor, 4.064499  4.130341
3/27/2024 10:58:09 AM,Room_121, 3.415097, (100.3  1.7  -8.0), (98.0  -0.1  -6.0), Main_floor, 4.083633  4.17923
3/27/2024 10:58:09 AM,Room_121, 3.496337, (100.3  1.7  -8.0), (98.0  -0.1  -6.0), Main_floor, 4.18515  4.177414
3/27/2024 10:58:09 AM,Room_121, 3.531047, (100.3  1.7  -8.0), (98.0  -0.1  -5.9), Main_floor, 4.156815  4.116806
3/27/2024 10:58:09 AM,Room_121, 3.488039, (100.3  1.7  -8.0), (98.0  -0.1  -6.0), Main_floor, 4.070328  4.153534
3/27/2024 10:58:09 AM,Room_121, 3.478706, (100.3  1.7  -8.0), (98.0  -0.1  -6.0), Main_floor, 4.051468  4.187057
3/27/2024 10:58:09 AM,Room_121, 3.481991, (100.3  1.7  -8.0), (98.1  -0.1  -6.0), Main_floor, 4.046921  4.181351
3/27/2024 10:58:09 AM,Room_121, 3.613645, (100.3  1.7  -8.0), (98.0  -0.1  -5.9), Main_floor, 4.107559  4.132889
3/27/2024 10:58:09 AM,Room_121, 3.460764, (100.3  1.7  -8.0), (98.1  -0.1  -6.0), Main_floor, 4.138596  4.127777
3/27/2024 10:58:09 AM,Room_121, 3.319516, (100.3  1.7  -8.0), (98.1  -0.1  -6.3), Main_floor, 4.047104  4.255096
3/27/2024 10:58:09 AM,Room_121, 3.357221, (100.3  1.7  -8.0), (98.0  -0.1  -6.3), Main_floor, 4.07399  4.218414
3/27/2024 10:58:09 AM,Room_121, 3.456642, (100.3  1.7  -8.0), (98.0  -0.1  -6.2), Main_floor, 4.067307  4.081543
3/27/2024 10:58:09 AM,Room_121, 3.477311, (100.3  1.7  -8.1), (98.0  -0.1  -6.2), Main_floor, 4.079651  4.128601
3/27/2024 10:58:09 AM,Room_121, 3.549052, (100.3  1.7  -8.1), (97.9  -0.1  -6.1), Main_floor, 4.098892  4.143188
3/27/2024 10:58:09 AM,Room_121, 3.595242, (100.3  1.7  -8.1), (97.9  -0.1  -6.1), Main_floor, 4.082962  4.15448
3/27/2024 10:58:09 AM,Room_121, 3.588602, (100.3  1.7  -8.1), (97.9  -0.1  -6.1), Main_floor, 4.105835  4.181015
3/27/2024 10:58:09 AM,Room_121, 3.685598, (100.3  1.7  -8.1), (97.8  -0.1  -6.0), Main_floor, 4.19252  4.069519
3/27/2024 10:58:09 AM,Room_121, 3.708142, (100.3  1.7  -8.1), (97.8  -0.1  -6.0), Main_floor, 4.114563  4.038132
3/27/2024 10:58:09 AM,Room_121, 3.779474, (100.3  1.7  -8.1), (97.8  -0.1  -5.9), Main_floor, 4.102921  3.972641
3/27/2024 10:58:09 AM,Room_121, 3.849873, (100.3  1.7  -8.1), (97.7  -0.1  -5.9), Main_floor, 4.167358  4.060883
3/27/2024 10:58:09 AM,Room_121, 3.832006, (100.3  1.7  -8.1), (97.8  -0.1  -5.8), Main_floor, 4.08342  4.167099
3/27/2024 10:58:09 AM,Room_121, 3.865277, (100.3  1.7  -8.1), (97.8  -0.1  -5.8), Main_floor, 4.07753  4.076904
3/27/2024 10:58:09 AM,Room_121, 3.822441, (100.3  1.7  -8.1), (97.8  -0.1  -5.8), Main_floor, 4.086349  4.109772
3/27/2024 10:58:09 AM,Room_121, 3.81669, (100.3  1.7  -8.1), (97.8  -0.1  -5.8), Main_floor, 4.120819  4.040298
3/27/2024 10:58:09 AM,Room_121, 3.72408, (100.3  1.7  -8.1), (97.9  -0.1  -5.8), Main_floor, 4.144836  4.093369
3/27/2024 10:58:09 AM,Room_121, 3.600262, (100.3  1.7  -8.1), (98.0  -0.1  -6.0), Main_floor, 4.189987  4.185547
