Starting experiment at 03/27/2024 11:26:48
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/27/2024 11:27:01 AM,Room_121, 6.542785, (100.2  1.5  -8.0), (100.1  -0.1  -1.6), Main_floor, 4.26947  -1
3/27/2024 11:27:02 AM,Room_121, 5.212042, (100.1  1.5  -8.0), (98.8  -0.1  -3.2), Main_floor, 4.649078  4.710907
3/27/2024 11:27:02 AM,Room_121, 16.16679, (100.4  1.5  -8.3), (92.9  0.0  5.9), w2, 4.727905  4.587433
3/27/2024 11:27:02 AM,Room_121, 4.156228, (100.4  1.5  -8.3), (99.3  -0.1  -4.6), Main_floor, 4.474121  4.869888
3/27/2024 11:27:02 AM,Room_121, 3.827117, (100.4  1.5  -8.3), (99.9  -0.1  -4.8), Main_floor, 4.597519  -1
3/27/2024 11:27:02 AM,Room_121, 4.772175, (100.4  1.5  -8.3), (100.5  -0.1  -3.8), Main_floor, 4.633499  -1
3/27/2024 11:27:02 AM,Room_121, 3.964538, (100.4  1.5  -8.3), (100.3  -0.1  -4.7), Main_floor, 4.825745  -1
3/27/2024 11:27:02 AM,Room_121, 5.773191, (100.4  1.5  -8.3), (99.5  -0.1  -2.8), Main_floor, 4.961105  -1
3/27/2024 11:27:02 AM,Room_121, 5.357023, (100.4  1.5  -8.3), (99.5  -0.1  -3.3), Main_floor, 4.953842  -1
3/27/2024 11:27:02 AM,Room_121, 5.336527, (100.4  1.5  -8.3), (99.7  -0.1  -3.2), Main_floor, 4.955856  3.258972
3/27/2024 11:27:02 AM,Room_121, 4.610833, (100.4  1.5  -8.3), (100.0  -0.1  -4.0), Main_floor, 4.95285  3.793655
3/27/2024 11:27:02 AM,Room_121, 4.677203, (100.4  1.5  -8.3), (99.9  -0.1  -3.9), Main_floor, 4.924332  3.878128
3/27/2024 11:27:03 AM,Room_121, 4.141669, (100.4  1.5  -8.3), (99.9  -0.1  -4.5), Main_floor, 4.723816  3.762238
3/27/2024 11:27:03 AM,Room_121, 4.947975, (100.4  1.5  -8.3), (99.8  -0.1  -3.7), Main_floor, 4.869293  3.515442
3/27/2024 11:27:03 AM,Room_121, 4.739582, (100.4  1.5  -8.3), (99.8  -0.1  -3.9), Main_floor, 4.865799  3.941162
3/27/2024 11:27:03 AM,Room_121, 4.958652, (100.4  1.5  -8.3), (100.0  -0.1  -3.6), Main_floor, 4.753815  4.712036
3/27/2024 11:27:03 AM,Room_121, 6.875693, (100.4  1.5  -8.3), (99.4  -0.1  -1.7), Main_floor, 5.013565  4.982925
3/27/2024 11:27:03 AM,Room_121, 6.901027, (100.4  1.5  -8.3), (99.4  -0.1  -1.7), Main_floor, 4.857391  4.901825
3/27/2024 11:27:03 AM,Room_121, 8.204823, (100.4  1.5  -8.3), (99.1  -0.1  -0.4), Main_floor, 4.873245  4.798264
3/27/2024 11:27:03 AM,Room_121, 6.423213, (100.4  1.5  -8.3), (99.2  -0.1  -2.2), Main_floor, 4.649231  4.83432
3/27/2024 11:27:03 AM,Room_121, 12.52285, (100.4  1.5  -8.3), (99.2  1.8  4.2), w4, 4.962448  5.025131
3/27/2024 11:27:03 AM,Room_121, 12.71678, (100.4  1.5  -8.3), (97.9  2.0  4.2), w4, 4.903976  5.111053
3/27/2024 11:27:03 AM,Room_121, 12.75657, (100.4  1.5  -8.3), (97.8  0.7  4.2), w4, 4.788895  5.144867
3/27/2024 11:27:03 AM,Room_121, 12.73243, (100.4  1.5  -8.3), (98.3  0.0  4.2), w4, 5.436798  3.574844
3/27/2024 11:27:03 AM,Room_121, 12.70208, (100.3  1.5  -8.3), (98.1  0.7  4.2), w4, -1  5.211548
3/27/2024 11:27:03 AM,Room_121, 3.658747, (100.4  1.5  -8.3), (99.6  -0.1  -5.1), Main_floor, 4.839111  -1
3/27/2024 11:27:03 AM,Room_121, 3.099463, (100.4  1.5  -8.3), (99.6  -0.1  -5.8), Main_floor, 4.772202  3.440796
3/27/2024 11:27:03 AM,Room_121, 4.646072, (100.4  1.5  -8.3), (99.0  -0.1  -4.2), Main_floor, 5.167725  4.174438
3/27/2024 11:27:03 AM,Room_121, 7.423652, (100.4  1.5  -8.3), (97.1  -0.1  -1.9), Main_floor, 5.165558  -1
3/27/2024 11:27:03 AM,Room_121, 6.251695, (100.4  1.5  -8.3), (97.7  -0.1  -2.9), Main_floor, 5.068665  3.85022
3/27/2024 11:27:03 AM,Room_121, 6.953404, (100.4  1.5  -8.3), (96.9  -0.1  -2.5), Main_floor, 5.244308  3.436188
3/27/2024 11:27:03 AM,Room_121, 9.842827, (100.4  1.5  -8.3), (95.3  -0.1  -0.1), Main_floor, 5.027756  3.914429
3/27/2024 11:27:03 AM,Room_121, 12.70485, (100.4  1.5  -8.4), (93.6  -0.1  2.3), Main_floor, 4.913788  4.661087
3/27/2024 11:27:03 AM,Room_121, 11.15386, (100.4  1.5  -8.3), (94.7  -0.1  1.1), Main_floor, 4.827866  4.675415
3/27/2024 11:27:03 AM,Room_121, 11.47106, (100.4  1.5  -8.3), (94.7  -0.1  1.5), Main_floor, 4.700302  4.664368
3/27/2024 11:27:03 AM,Room_121, 13.43926, (100.4  1.5  -8.3), (93.7  -0.1  3.2), Main_floor, 4.73642  4.687927
3/27/2024 11:27:03 AM,Room_121, 12.15859, (100.4  1.5  -8.3), (94.2  -0.1  2.0), Main_floor, 4.65094  4.695114
3/27/2024 11:27:03 AM,Room_121, 12.18756, (100.4  1.5  -8.3), (94.2  -0.1  2.1), Main_floor, 4.746124  4.674225
3/27/2024 11:27:03 AM,Room_121, 11.50475, (100.4  1.5  -8.3), (94.5  -0.1  1.4), Main_floor, 4.681015  4.741119
3/27/2024 11:27:03 AM,Room_121, 9.919127, (100.4  1.5  -8.3), (95.4  -0.1  0.1), Main_floor, 4.679535  4.904877
3/27/2024 11:27:03 AM,Room_121, 9.107934, (100.4  1.5  -8.3), (96.0  -0.1  -0.5), Main_floor, 4.707779  4.590179
3/27/2024 11:27:03 AM,Room_121, 8.510529, (100.4  1.5  -8.3), (96.3  -0.1  -1.0), Main_floor, 4.758469  4.81192
3/27/2024 11:27:03 AM,Room_121, 12.84688, (100.3  1.5  -8.3), (92.0  -0.1  1.3), Main_floor, 4.484329  4.687317
3/27/2024 11:27:03 AM,Room_121, 14.4095, (100.4  1.5  -8.3), (91.5  -0.1  3.0), Main_floor, 4.625885  4.641174
3/27/2024 11:27:03 AM,Room_121, 15.05285, (100.3  1.5  -8.3), (90.7  -0.1  3.2), Main_floor, 4.696198  4.59346
3/27/2024 11:27:03 AM,Room_121, 16.06319, (100.3  1.5  -8.3), (90.3  0.0  4.2), w4, 4.838547  4.641083
3/27/2024 11:27:03 AM,Room_121, 14.28345, (100.3  1.5  -8.3), (91.6  -0.1  2.9), Main_floor, 4.735229  4.643066
3/27/2024 11:27:03 AM,Room_121, 15.81879, (100.3  1.5  -8.3), (90.7  0.1  4.2), w4, 4.579163  4.719315
3/27/2024 11:27:03 AM,Room_121, 15.6118, (100.3  1.5  -8.3), (90.9  0.3  4.2), w4, 4.621155  4.726074
3/27/2024 11:27:04 AM,Room_121, 15.55667, (100.3  1.5  -8.3), (91.0  0.2  4.2), w4, 4.630798  4.773468
3/27/2024 11:27:04 AM,Room_121, 5.563395, (100.3  1.5  -8.3), (97.1  -0.1  -4.0), Main_floor, 4.801254  4.648376
3/27/2024 11:27:04 AM,Room_121, 5.037919, (100.3  1.5  -8.3), (97.5  -0.1  -4.3), Main_floor, 4.751968  4.62735
3/27/2024 11:27:04 AM,Room_121, 4.944065, (100.3  1.5  -8.3), (97.6  -0.1  -4.4), Main_floor, 4.694244  4.872757
3/27/2024 11:27:04 AM,Room_121, 3.24191, (100.3  1.5  -8.3), (98.0  -0.1  -6.5), Main_floor, 4.755371  3.943817
3/27/2024 11:27:04 AM,Room_121, 3.870126, (100.3  1.5  -8.3), (97.8  -0.1  -5.7), Main_floor, 4.660645  3.937729
3/27/2024 11:27:04 AM,Room_121, 4.551771, (100.3  1.5  -8.2), (97.8  -0.1  -4.7), Main_floor, 4.909286  4.616653
3/27/2024 11:27:04 AM,Room_121, 4.669384, (100.2  1.5  -8.2), (97.8  -0.1  -4.6), Main_floor, 4.742096  4.73317
3/27/2024 11:27:04 AM,Room_121, 4.869123, (100.3  1.5  -8.2), (97.8  -0.1  -4.3), Main_floor, 4.695389  4.806198
3/27/2024 11:27:04 AM,Room_121, 4.373009, (100.2  1.5  -8.2), (98.0  -0.1  -4.8), Main_floor, 4.814728  4.815628
3/27/2024 11:27:04 AM,Room_121, 4.473361, (100.3  1.5  -8.2), (98.0  -0.1  -4.7), Main_floor, 4.718964  4.71106
3/27/2024 11:27:04 AM,Room_121, 4.319848, (100.2  1.5  -8.2), (98.0  -0.1  -4.9), Main_floor, 4.73555  4.740112
3/27/2024 11:27:04 AM,Room_121, 4.278528, (100.2  1.5  -8.2), (98.0  -0.1  -4.9), Main_floor, 4.745911  4.513565
