Starting experiment at 3/27/2024 10:49:09 AM
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/27/2024 10:49:12 AM,Room_121, 3.820512, (100.5  1.7  -7.9), (98.4  -0.1  -5.3), Main_floor, 5.091965  4.605377
3/27/2024 10:49:12 AM,Room_121, 6.180598, (100.4  1.7  -8.0), (97.3  -0.1  -2.9), Main_floor, 5.155029  4.492996
3/27/2024 10:49:12 AM,Room_121, 6.188879, (100.4  1.7  -8.0), (97.4  -0.1  -2.8), Main_floor, 5.109879  4.535431
3/27/2024 10:49:12 AM,Room_121, 6.164129, (100.4  1.7  -8.0), (97.3  -0.1  -2.9), Main_floor, 5.204773  4.549652
3/27/2024 10:49:12 AM,Room_121, 6.69958, (100.4  1.7  -8.0), (96.9  -0.1  -2.5), Main_floor, 5.117706  4.549835
3/27/2024 10:49:12 AM,Room_121, 6.621489, (100.4  1.7  -8.0), (97.0  -0.1  -2.6), Main_floor, 5.105118  4.596313
3/27/2024 10:49:12 AM,Room_121, 6.400192, (100.4  1.7  -8.0), (97.1  -0.1  -2.8), Main_floor, 5.137344  4.51506
3/27/2024 10:49:12 AM,Room_121, 6.544935, (100.4  1.7  -8.0), (97.0  -0.1  -2.7), Main_floor, 5.117828  4.509079
3/27/2024 10:49:12 AM,Room_121, 6.720629, (100.4  1.7  -8.0), (97.2  -0.1  -2.3), Main_floor, 5.114639  4.662506
3/27/2024 10:49:12 AM,Room_121, 6.589064, (100.4  1.7  -8.0), (97.3  -0.1  -2.5), Main_floor, 5.170242  4.391296
3/27/2024 10:49:12 AM,Room_121, 6.705828, (100.4  1.7  -8.0), (97.2  -0.1  -2.4), Main_floor, 5.138428  4.550888
3/27/2024 10:49:12 AM,Room_121, 6.839972, (100.4  1.7  -8.0), (97.2  -0.1  -2.2), Main_floor, 5.198532  4.596512
3/27/2024 10:49:12 AM,Room_121, 6.871152, (100.4  1.7  -8.0), (97.2  -0.1  -2.2), Main_floor, 5.198151  4.516663
3/27/2024 10:49:12 AM,Room_121, 6.939669, (100.4  1.7  -8.0), (97.2  -0.1  -2.1), Main_floor, 5.199158  4.498596
3/27/2024 10:49:12 AM,Room_121, 6.937609, (100.4  1.7  -8.0), (97.3  -0.1  -2.1), Main_floor, 5.207169  4.551712
3/27/2024 10:49:12 AM,Room_121, 6.758279, (100.4  1.7  -8.0), (97.4  -0.1  -2.2), Main_floor, 5.154663  4.495239
3/27/2024 10:49:12 AM,Room_121, 5.769843, (100.4  1.7  -8.0), (97.6  -0.1  -3.3), Main_floor, 5.197693  4.503784
3/27/2024 10:49:12 AM,Room_121, 3.947007, (100.4  1.7  -8.0), (97.9  -0.1  -5.5), Main_floor, 5.067642  4.541168
3/27/2024 10:49:12 AM,Room_121, 3.675966, (100.4  1.7  -8.0), (97.9  -0.1  -5.9), Main_floor, 4.946686  4.58548
3/27/2024 10:49:12 AM,Room_121, 3.518966, (100.4  1.7  -8.0), (97.9  -0.1  -6.2), Main_floor, 4.953064  4.620712
3/27/2024 10:49:12 AM,Room_121, 3.446205, (100.3  1.7  -8.0), (98.0  -0.1  -6.3), Main_floor, 4.870148  4.51503
3/27/2024 10:49:12 AM,Room_121, 3.474871, (100.3  1.7  -8.0), (98.0  -0.1  -6.2), Main_floor, 4.846039  4.43811
3/27/2024 10:49:12 AM,Room_121, 3.493497, (100.3  1.7  -8.0), (97.9  -0.1  -6.2), Main_floor, 4.864609  4.511871
3/27/2024 10:49:12 AM,Room_121, 3.452825, (100.3  1.7  -8.0), (98.0  -0.1  -6.2), Main_floor, 4.740891  4.501648
3/27/2024 10:49:13 AM,Room_121, 3.465922, (100.3  1.7  -8.0), (98.0  -0.1  -6.2), Main_floor, 4.748413  4.262939
3/27/2024 10:49:13 AM,Room_121, 3.491601, (100.3  1.7  -8.1), (98.0  -0.1  -6.2), Main_floor, 4.779053  4.317001
3/27/2024 10:49:13 AM,Room_121, 3.491081, (100.3  1.7  -8.1), (97.9  -0.1  -6.2), Main_floor, 4.680374  4.246399
3/27/2024 10:49:13 AM,Room_121, 3.485521, (100.3  1.7  -8.1), (98.0  -0.1  -6.2), Main_floor, 4.675003  4.29126
3/27/2024 10:49:13 AM,Room_121, 3.462219, (100.3  1.7  -8.1), (98.0  -0.1  -6.2), Main_floor, 4.617279  4.142075
3/27/2024 10:49:13 AM,Room_121, 3.460701, (100.3  1.7  -8.1), (98.1  -0.1  -6.1), Main_floor, 4.56897  4.240189
3/27/2024 10:49:13 AM,Room_121, 3.464519, (100.3  1.7  -8.1), (98.1  -0.1  -6.1), Main_floor, 4.528122  4.149078
3/27/2024 10:49:13 AM,Room_121, 3.478328, (100.3  1.7  -8.1), (98.0  -0.1  -6.1), Main_floor, 4.526535  4.133423
3/27/2024 10:49:13 AM,Room_121, 3.521147, (100.3  1.7  -8.1), (98.0  -0.1  -6.1), Main_floor, 4.442322  4.1259
3/27/2024 10:49:13 AM,Room_121, 3.538695, (100.3  1.7  -8.1), (98.0  -0.1  -6.0), Main_floor, 4.563797  4.083389
3/27/2024 10:49:13 AM,Room_121, 3.54681, (100.3  1.7  -8.1), (98.0  -0.1  -6.0), Main_floor, 4.569916  4.089264
