Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 12:27:41 PM,Room_121, 3.819861, (100.0  1.7  -10.5), (98.8  -0.1  -7.4), Main_floor, 5.34996  5.368332
3/26/2024 12:27:41 PM,Room_121, 4.908023, (100.0  1.7  -10.5), (98.3  -0.1  -6.3), Main_floor, 5.214523  5.276642
3/26/2024 12:27:41 PM,Room_121, 5.954441, (100.0  1.7  -10.5), (97.8  -0.1  -5.3), Main_floor, 5.187698  5.245438
3/26/2024 12:27:41 PM,Room_121, 5.741588, (100.0  1.7  -10.5), (97.9  -0.1  -5.5), Main_floor, 5.213776  5.231033
3/26/2024 12:27:41 PM,Room_121, 5.776456, (100.0  1.7  -10.5), (97.9  -0.1  -5.4), Main_floor, 5.105423  5.281586
3/26/2024 12:27:41 PM,Room_121, 5.752912, (100.0  1.7  -10.5), (97.9  -0.1  -5.5), Main_floor, 5.115341  5.110855
3/26/2024 12:27:41 PM,Room_121, 5.811088, (100.0  1.7  -10.5), (97.9  -0.1  -5.4), Main_floor, 5.11499  5.221436
3/26/2024 12:27:41 PM,Room_121, 5.844517, (100.0  1.7  -10.5), (97.8  -0.1  -5.4), Main_floor, 5.1073  5.210129
3/26/2024 12:27:41 PM,Room_121, 5.844063, (100.0  1.7  -10.5), (97.8  -0.1  -5.4), Main_floor, 5.050766  5.206131
3/26/2024 12:27:41 PM,Room_121, 5.811061, (100.0  1.7  -10.5), (97.8  -0.1  -5.4), Main_floor, 5.045212  5.080917
3/26/2024 12:27:41 PM,Room_121, 5.827276, (100.0  1.7  -10.5), (97.8  -0.1  -5.4), Main_floor, 4.944595  4.940674
3/26/2024 12:27:41 PM,Room_121, 4.796007, (100.0  1.7  -10.5), (98.0  -0.1  -6.6), Main_floor, 4.812408  4.923584
3/26/2024 12:27:41 PM,Room_121, 4.015291, (100.0  1.7  -10.5), (98.2  -0.1  -7.4), Main_floor, 4.828766  4.774979
3/26/2024 12:27:43 PM,Room_121, 18.47025, (100.2  1.8  -10.8), (89.3  1.3  4.2), w4, 4.052063  4.176575
3/26/2024 12:27:43 PM,Room_121, 18.52508, (100.2  1.8  -10.8), (89.3  0.5  4.2), w4, 4.011505  3.947586
3/26/2024 12:27:43 PM,Room_121, 18.72456, (100.2  1.8  -10.8), (89.0  0.1  4.2), w4, 3.997177  4.063278
3/26/2024 12:27:43 PM,Room_121, 16.5952, (100.2  1.8  -10.8), (90.2  -0.1  2.3), Main_floor, 3.931656  4.076248
3/26/2024 12:27:43 PM,Room_121, 15.89438, (100.2  1.8  -10.8), (90.7  -0.1  1.8), Main_floor, 3.883789  4.111954
3/26/2024 12:27:43 PM,Room_121, 15.10185, (100.2  1.8  -10.8), (91.2  -0.1  1.2), Main_floor, 3.937881  4.003021
3/26/2024 12:27:43 PM,Room_121, 19.53177, (100.2  1.8  -10.8), (87.7  0.5  4.2), w4, 3.95253  4.03688
3/26/2024 12:27:43 PM,Room_121, 25.82699, (100.2  1.8  -10.8), (82.9  1.1  8.3), w2, 3.917114  4.087494
3/26/2024 12:27:44 PM,Room_121, 17.38755, (100.1  1.8  -10.9), (91.4  2.4  4.2), w4, 3.805649  3.865112
3/26/2024 12:27:44 PM,Room_121, 19.11911, (100.1  1.8  -10.9), (88.3  2.3  4.2), w4, 3.752884  3.928879
3/26/2024 12:27:44 PM,Room_121, 19.64884, (100.1  1.8  -10.9), (87.5  2.2  4.2), w4, 3.805252  3.946457
3/26/2024 12:27:44 PM,Room_121, 19.68134, (100.1  1.8  -10.9), (87.4  2.0  4.2), w4, 3.689713  3.920395
3/26/2024 12:27:44 PM,Room_121, 19.63903, (100.1  1.8  -10.9), (87.5  1.6  4.2), w4, 3.833694  3.993042
3/26/2024 12:27:44 PM,Room_121, 19.78767, (100.1  1.8  -10.9), (87.3  2.4  4.2), w4, 3.788315  3.916504
