Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 12:11:34 PM,Room_121, 3.798452, (100.3  1.6  -8.1), (98.1  -0.1  -5.5), Main_floor, 4.36998  4.147964
3/26/2024 12:11:34 PM,Room_121, 3.692024, (100.3  1.6  -8.1), (98.1  -0.1  -5.7), Main_floor, 4.315628  4.27243
3/26/2024 12:11:34 PM,Room_121, 3.670939, (100.3  1.6  -8.1), (98.1  -0.1  -5.7), Main_floor, 4.302643  4.04631
3/26/2024 12:11:34 PM,Room_121, 3.610848, (100.3  1.6  -8.1), (98.1  -0.1  -5.8), Main_floor, 4.290634  4.027115
3/26/2024 12:11:34 PM,Room_121, 3.574944, (100.3  1.6  -8.1), (98.1  -0.1  -5.8), Main_floor, 4.354309  4.09201
3/26/2024 12:11:34 PM,Room_121, 3.543126, (100.3  1.6  -8.1), (98.1  -0.1  -5.8), Main_floor, 4.426392  4.135071
3/26/2024 12:11:34 PM,Room_121, 3.488564, (100.3  1.6  -8.1), (98.2  -0.1  -5.9), Main_floor, 4.425537  4.144745
3/26/2024 12:11:34 PM,Room_121, 3.442933, (100.3  1.6  -8.1), (98.2  -0.1  -5.9), Main_floor, 4.417236  4.212845
3/26/2024 12:11:34 PM,Room_121, 3.440916, (100.3  1.6  -8.1), (98.2  -0.1  -5.9), Main_floor, 4.423233  4.122009
3/26/2024 12:11:34 PM,Room_121, 3.408294, (100.3  1.6  -8.1), (98.2  -0.1  -5.9), Main_floor, 4.426193  4.129074
3/26/2024 12:11:34 PM,Room_121, 3.034494, (100.3  1.6  -8.1), (98.5  -0.1  -6.3), Main_floor, 4.508575  4.363342
3/26/2024 12:11:34 PM,Room_121, 2.497726, (100.3  1.6  -8.0), (99.0  -0.1  -6.8), Main_floor, 4.173676  4.377274
3/26/2024 12:11:34 PM,Room_121, 2.307225, (100.3  1.6  -8.0), (99.2  -0.1  -6.9), Main_floor, 4.397842  4.403732
3/26/2024 12:11:34 PM,Room_121, 2.238412, (100.3  1.6  -8.0), (99.2  -0.1  -7.0), Main_floor, 4.335159  4.354355
3/26/2024 12:11:34 PM,Room_121, 2.212495, (100.3  1.6  -8.0), (99.1  -0.1  -7.2), Main_floor, 4.297531  4.329102
3/26/2024 12:11:34 PM,Room_121, 2.217495, (100.3  1.6  -8.0), (99.1  -0.1  -7.3), Main_floor, 4.187134  4.484848
3/26/2024 12:11:34 PM,Room_121, 2.229725, (100.3  1.6  -8.0), (99.0  -0.1  -7.3), Main_floor, 4.202713  4.411636
