Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 10:40:01 AM,Room_124, 3.739989, (100.1  1.6  -7.9), (97.4  -0.1  -5.9), Main_floor, 4.647034  4.692215
3/26/2024 10:40:01 AM,Room_124, 3.733419, (100.1  1.6  -7.9), (97.4  -0.1  -5.9), Main_floor, 4.624588  4.544754
3/26/2024 10:40:01 AM,Room_124, 3.848964, (100.1  1.6  -7.9), (97.3  -0.1  -5.8), Main_floor, 4.696121  4.677673
3/26/2024 10:40:01 AM,Room_124, 3.851501, (100.1  1.6  -7.9), (97.3  -0.1  -5.7), Main_floor, 4.686172  4.649475
3/26/2024 10:40:01 AM,Room_124, 3.778583, (100.1  1.6  -7.9), (97.4  -0.1  -5.9), Main_floor, 4.676392  4.759995
3/26/2024 10:40:01 AM,Room_124, 3.810738, (100.1  1.6  -7.9), (97.3  -0.1  -5.9), Main_floor, 4.772202  4.609741
3/26/2024 10:40:01 AM,Room_124, 3.808882, (100.1  1.6  -7.9), (97.3  -0.1  -5.9), Main_floor, 4.749954  4.596558
3/26/2024 10:40:01 AM,Room_124, 3.798411, (100.1  1.6  -7.9), (97.2  -0.1  -6.0), Main_floor, 4.712387  4.625809
3/26/2024 10:40:01 AM,Room_124, 3.772874, (100.1  1.6  -7.9), (97.3  -0.1  -6.1), Main_floor, 4.681732  4.665344
3/26/2024 10:40:01 AM,Room_124, 3.76531, (100.1  1.6  -7.9), (97.2  -0.1  -6.1), Main_floor, 4.643799  4.70546
3/26/2024 10:40:01 AM,Room_124, 3.714776, (100.1  1.6  -7.9), (97.2  -0.1  -6.2), Main_floor, 4.53981  4.646027
3/26/2024 10:40:01 AM,Room_124, 3.665967, (100.1  1.6  -7.9), (97.3  -0.1  -6.3), Main_floor, 4.67717  4.710724
3/26/2024 10:40:01 AM,Room_124, 3.481747, (100.2  1.6  -7.9), (97.4  -0.1  -6.4), Main_floor, 4.748764  4.817307
3/26/2024 10:40:01 AM,Room_124, 3.053883, (100.2  1.6  -7.9), (97.9  -0.1  -6.7), Main_floor, 4.638077  4.757919
3/26/2024 10:40:01 AM,Room_124, 3.082557, (100.2  1.6  -7.9), (97.9  -0.1  -6.7), Main_floor, 4.601059  4.650864
3/26/2024 10:40:01 AM,Room_124, 3.087688, (100.2  1.6  -7.9), (97.7  -0.1  -6.9), Main_floor, 4.646194  4.631104
3/26/2024 10:40:01 AM,Room_124, 3.264714, (100.2  1.6  -7.9), (97.6  -0.1  -6.9), Main_floor, 4.585815  4.674973
3/26/2024 10:40:01 AM,Room_124, 3.41206, (100.2  1.6  -7.9), (97.5  -0.1  -6.7), Main_floor, 4.565338  4.514435
3/26/2024 10:40:01 AM,Room_124, 3.656243, (100.2  1.6  -7.9), (97.3  -0.1  -6.4), Main_floor, 4.504181  4.577942
3/26/2024 10:40:01 AM,Room_124, 3.716629, (100.3  1.6  -7.9), (97.2  -0.1  -6.5), Main_floor, 4.529236  4.590759
3/26/2024 10:40:01 AM,Room_124, 3.547601, (100.3  1.6  -7.9), (97.3  -0.1  -6.8), Main_floor, 4.535751  4.554428
3/26/2024 10:40:01 AM,Room_124, 3.812533, (100.2  1.6  -7.9), (97.0  -0.1  -6.7), Main_floor, 4.414856  4.46283
3/26/2024 10:40:01 AM,Room_124, 4.108525, (100.2  1.6  -7.8), (96.8  -0.1  -6.2), Main_floor, 4.315506  4.538864
3/26/2024 10:40:01 AM,Room_124, 4.192653, (100.2  1.6  -7.8), (96.8  -0.1  -6.2), Main_floor, 4.299088  4.472336
3/26/2024 10:40:01 AM,Room_124, 3.826153, (100.2  1.6  -7.8), (97.1  -0.1  -6.4), Main_floor, 4.313232  4.50061
3/26/2024 10:40:01 AM,Room_124, 3.66708, (100.3  1.6  -7.8), (97.3  -0.1  -6.5), Main_floor, 4.272949  4.406128
3/26/2024 10:40:01 AM,Room_124, 3.829017, (100.3  1.6  -7.8), (97.1  -0.1  -6.4), Main_floor, 4.274734  4.545258
3/26/2024 10:40:01 AM,Room_124, 3.715852, (100.3  1.6  -7.9), (97.2  -0.1  -6.7), Main_floor, 4.230667  4.420685
3/26/2024 10:40:02 AM,Room_124, 3.929467, (100.3  1.6  -7.8), (97.0  -0.1  -6.4), Main_floor, 4.236557  4.350372
3/26/2024 10:40:02 AM,Room_124, 3.938337, (100.3  1.6  -7.8), (97.0  -0.1  -6.4), Main_floor, 4.248047  4.308762
3/26/2024 10:40:02 AM,Room_124, 3.945132, (100.3  1.6  -7.9), (97.0  -0.1  -6.5), Main_floor, 4.208298  4.230225
3/26/2024 10:40:02 AM,Room_124, 3.84887, (100.3  1.6  -7.9), (97.0  -0.1  -6.7), Main_floor, 4.180206  4.220444
3/26/2024 10:40:02 AM,Room_124, 3.78217, (100.3  1.6  -7.9), (97.1  -0.1  -6.8), Main_floor, 4.146362  4.184097
3/26/2024 10:40:02 AM,Room_124, 4.033169, (100.3  1.6  -7.9), (96.9  -0.1  -6.4), Main_floor, 4.207642  4.239075
3/26/2024 10:40:02 AM,Room_124, 3.926757, (100.3  1.6  -7.9), (97.0  -0.1  -6.5), Main_floor, 4.194031  4.250015
3/26/2024 10:40:02 AM,Room_124, 3.929005, (100.3  1.6  -7.9), (97.0  -0.1  -6.5), Main_floor, 4.139114  4.115631
3/26/2024 10:40:02 AM,Room_124, 3.740698, (100.3  1.6  -7.9), (97.2  -0.1  -6.6), Main_floor, 4.154175  4.189148
3/26/2024 10:40:02 AM,Room_124, 3.375473, (100.3  1.6  -7.9), (97.7  -0.1  -6.6), Main_floor, 4.194855  4.212997
3/26/2024 10:40:02 AM,Room_124, 3.337162, (100.3  1.6  -7.9), (97.7  -0.1  -6.7), Main_floor, 4.160309  4.232925
3/26/2024 10:40:02 AM,Room_124, 3.33588, (100.3  1.6  -7.9), (97.7  -0.1  -6.7), Main_floor, 4.177795  4.241959
3/26/2024 10:40:02 AM,Room_124, 3.276153, (100.3  1.6  -7.9), (97.7  -0.1  -7.0), Main_floor, 4.13562  4.157944
3/26/2024 10:40:02 AM,Room_124, 3.296942, (100.3  1.6  -7.9), (97.6  -0.1  -7.0), Main_floor, 4.153122  4.044067
3/26/2024 10:40:02 AM,Room_124, 3.281946, (100.3  1.6  -7.9), (97.7  -0.1  -7.0), Main_floor, 4.131912  4.10994
3/26/2024 10:40:02 AM,Room_124, 3.297704, (100.3  1.6  -7.9), (97.6  -0.1  -7.0), Main_floor, 4.102036  4.051651
3/26/2024 10:40:02 AM,Room_124, 3.333976, (100.3  1.6  -7.9), (97.6  -0.1  -7.0), Main_floor, 4.116867  4.087891
3/26/2024 10:40:02 AM,Room_124, 3.37564, (100.3  1.6  -7.9), (97.6  -0.1  -6.9), Main_floor, 4.113953  3.991745
3/26/2024 10:40:02 AM,Room_124, 3.403791, (100.3  1.6  -7.9), (97.6  -0.1  -6.9), Main_floor, 4.167038  4.025269
3/26/2024 10:40:02 AM,Room_124, 3.420232, (100.3  1.6  -7.9), (97.6  -0.1  -6.8), Main_floor, 4.158936  4.156097
3/26/2024 10:40:02 AM,Room_124, 3.45309, (100.3  1.6  -7.9), (97.5  -0.1  -6.8), Main_floor, 4.113785  4.072998
3/26/2024 10:40:02 AM,Room_124, 3.505296, (100.3  1.6  -7.9), (97.5  -0.1  -6.8), Main_floor, 4.116547  4.067841
3/26/2024 10:40:02 AM,Room_124, 3.471148, (100.3  1.6  -7.9), (97.5  -0.1  -6.8), Main_floor, 4.206528  4.136612
3/26/2024 10:40:02 AM,Room_124, 3.500366, (100.3  1.6  -7.9), (97.5  -0.1  -6.8), Main_floor, 4.060196  4.202301
3/26/2024 10:40:02 AM,Room_124, 3.52403, (100.3  1.6  -7.9), (97.5  -0.1  -6.8), Main_floor, 4.136078  4.207199
3/26/2024 10:40:02 AM,Room_124, 3.506397, (112.5  1.6  135.9), (109.6  -0.1  137.1), Main_floor, 4.093613  4.313507
3/26/2024 10:40:02 AM,Room_124, 3.520031, (112.5  1.6  135.9), (109.6  -0.1  137.1), Main_floor, 4.114868  4.257614
3/26/2024 10:40:02 AM,Room_124, 3.526161, (112.5  1.6  135.9), (109.6  -0.1  137.1), Main_floor, 4.126373  4.254059
3/26/2024 10:40:02 AM,Room_124, 3.51758, (112.5  1.6  135.9), (109.6  -0.1  137.1), Main_floor, 4.126205  4.216492
3/26/2024 10:40:02 AM,Room_124, 3.532612, (112.5  1.6  135.9), (109.6  -0.1  137.1), Main_floor, 4.126602  4.233505
3/26/2024 10:40:02 AM,Room_124, 3.489766, (112.5  1.6  135.9), (109.7  -0.1  137.1), Main_floor, 4.124069  4.262589
3/26/2024 10:40:02 AM,Room_124, 3.463166, (112.5  1.6  135.8), (109.7  -0.1  137.0), Main_floor, 4.167389  4.195145
3/26/2024 10:40:02 AM,Room_124, 3.473705, (112.5  1.6  135.8), (109.7  -0.1  137.1), Main_floor, 4.111343  4.283524
3/26/2024 10:40:02 AM,Room_124, 3.505617, (112.5  1.6  135.8), (109.7  -0.1  137.1), Main_floor, 4.160873  4.261246
3/26/2024 10:40:02 AM,Room_124, 3.481972, (112.5  1.6  135.8), (109.7  -0.1  137.1), Main_floor, 4.189774  4.290573
3/26/2024 10:40:02 AM,Room_124, 3.686783, (112.5  1.6  135.8), (109.6  -0.1  137.5), Main_floor, 4.263824  4.178879
3/26/2024 10:40:03 AM,Room_124, 0.4041613, (112.5  1.6  135.7), (112.2  1.4  135.8), w3, 4.104446  4.125443
3/26/2024 10:40:03 AM,Room_124, 0.4842329, (112.5  1.6  135.7), (112.1  1.4  135.8), w3, 4.078384  4.181061
3/26/2024 10:40:03 AM,Room_124, 0.9455454, (112.5  1.6  135.6), (111.7  1.1  135.8), w3, 3.899231  4.204437
