Starting experiment at 03/27/2024 11:45:57
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
03/27/2024 11:46:09,Room_121, 4.206939, (99.9  1.6  -10.5), (102.2  -0.1  -7.4), Main_floor, 5.24028  5.360245
03/27/2024 11:46:10,Room_121, 14.72532, (99.9  1.6  -10.6), (100.5  1.0  4.2), w4, 5.478149  5.857803
03/27/2024 11:46:10,Room_121, 14.72685, (99.9  1.6  -10.5), (99.2  1.0  4.2), w4, 5.470215  5.828308
03/27/2024 11:46:10,Room_121, 14.72531, (99.9  1.6  -10.5), (99.1  1.2  4.2), w4, 5.521484  5.783066
03/27/2024 11:46:11,Room_121, 3.847243, (99.9  1.6  -10.6), (101.2  -0.1  -7.4), Main_floor, 5.423859  5.524551
03/27/2024 11:46:11,Room_121, 13.47722, (99.9  1.6  -10.6), (105.1  -0.1  1.8), Main_floor, 5.395554  5.691345
03/27/2024 11:46:11,Room_121, 15.78678, (99.9  1.6  -10.5), (106.1  -0.1  3.9), Main_floor, 5.556686  5.733643
03/27/2024 11:46:11,Room_121, 16.37242, (99.9  1.6  -10.5), (106.3  -0.1  4.4), Main_floor, 5.51239  5.77388
03/27/2024 11:46:11,Room_121, 19.31553, (99.9  1.6  -10.5), (107.2  0.0  7.3), w1, 5.410995  5.777069
03/27/2024 11:46:11,Room_121, 19.39932, (99.9  1.6  -10.5), (106.4  -0.1  7.7), Main_floor, 5.330139  5.649628
03/27/2024 11:46:11,Room_121, 20.77197, (99.9  1.6  -10.5), (107.1  -0.1  8.9), Main_floor, 5.319046  5.682327
03/27/2024 11:46:11,Room_121, 19.51001, (99.9  1.6  -10.5), (106.5  -0.1  7.7), Main_floor, 5.288788  5.634384
03/27/2024 11:46:12,Room_121, 18.56372, (99.9  1.6  -10.5), (106.2  -0.1  6.8), Main_floor, 5.217361  5.607697
03/27/2024 11:46:12,Room_121, 18.05061, (99.9  1.6  -10.5), (106.0  -0.1  6.3), Main_floor, 5.241089  5.556732
03/27/2024 11:46:12,Room_121, 18.10225, (99.9  1.6  -10.5), (106.1  -0.1  6.4), Main_floor, 5.115677  5.535217
03/27/2024 11:46:12,Room_121, 26.21692, (99.9  1.6  -10.5), (108.7  2.0  14.2), w4, 4.979034  5.461121
03/27/2024 11:46:12,Room_121, 26.16347, (99.9  1.6  -10.5), (108.5  2.2  14.2), w4, 4.973648  5.348404
03/27/2024 11:46:12,Room_121, 21.53135, (99.9  1.6  -10.5), (107.2  1.7  9.7), w1, 5.017899  5.305511
03/27/2024 11:46:12,Room_121, 21.45623, (99.9  1.6  -10.5), (107.2  2.0  9.6), w1, 4.826645  5.186401
03/27/2024 11:46:12,Room_121, 21.33947, (99.9  1.6  -10.5), (107.2  1.8  9.5), w1, 4.806335  5.183075
