Starting experiment at 05/27/2024 14:20:33
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
14:21:31, Room_108, 5.824276, (89.1  1.6  104.9), (92.0  0.1  109.8), w3, 3.517502  3.331451
14:21:31, Room_108, 5.834749, (89.1  1.6  104.9), (92.0  0.1  109.8), w3, 3.433731  3.428131
14:21:31, Room_108, 5.273377, (89.2  1.6  104.9), (91.5  0.1  109.3), Floor 1, 3.498444  3.265747
14:21:31, Room_108, 5.072686, (89.2  1.6  104.9), (91.4  0.1  109.2), Floor 1, 3.344406  3.281464
14:21:31, Room_108, 5.151373, (89.2  1.6  104.9), (91.4  0.1  109.2), Floor 1, 3.322006  3.268188
14:21:31, Room_108, 5.209531, (89.1  1.6  104.9), (91.6  0.1  109.2), Floor 1, 3.466263  3.197357
14:21:31, Room_108, 5.124368, (89.1  1.6  104.9), (91.5  0.1  109.1), Floor 1, 3.392029  3.113403
14:21:31, Room_108, 3.801678, (89.1  1.6  104.9), (90.9  0.4  108.0), Table, 3.373688  3.0896
14:21:31, Room_108, 3.714403, (89.1  1.6  104.9), (90.8  0.4  107.9), Table, 3.448914  3.13205
14:21:31, Room_108, 3.646802, (89.2  1.6  104.9), (90.8  0.4  107.9), Table, 3.411407  3.214371
14:21:32, Room_108, 3.548839, (89.2  1.6  104.9), (90.6  0.4  107.8), Table, 3.408524  3.169342
14:21:32, Room_108, 3.509054, (89.2  1.6  104.9), (90.6  0.4  107.8), Table, 3.378769  3.256653
14:21:32, Room_108, 3.486773, (89.2  1.6  104.9), (90.5  0.4  107.8), Table, 3.389053  3.26825
14:21:32, Room_108, 3.077137, (89.1  1.6  104.9), (89.9  0.4  107.6), Table, 3.601395  3.436325
14:21:32, Room_108, 2.780283, (89.2  1.6  104.9), (89.5  0.4  107.3), Table, 3.636353  3.468948
14:21:32, Room_108, 2.802101, (89.1  1.6  104.9), (89.5  0.4  107.4), Table, 3.582993  3.391541
14:21:32, Room_108, 2.687318, (89.1  1.6  104.9), (89.4  0.4  107.2), Table, 3.467316  3.434616
14:21:32, Room_108, 2.587805, (89.1  1.6  104.9), (89.4  0.4  107.1), Table, 3.592972  3.316544
14:21:32, Room_108, 2.508211, (89.1  1.6  104.9), (89.5  0.4  107.0), Table, 3.60202  3.407104
14:21:32, Room_108, 2.445407, (89.1  1.6  104.9), (89.4  0.4  107.0), Table, 3.475906  3.393219
14:21:32, Room_108, 2.382602, (89.1  1.6  104.9), (89.5  0.4  106.9), Table, 3.460159  3.200424
14:21:32, Room_108, 1.95047, (89.2  1.6  104.9), (89.3  0.4  106.4), Table, 3.414108  3.299438
14:21:32, Room_108, 1.796395, (89.1  1.6  104.9), (89.3  0.4  106.2), Table, 3.574829  3.261032
14:21:32, Room_108, 1.744335, (89.1  1.6  104.9), (89.3  0.4  106.1), Table, 3.397446  3.225128
14:21:32, Room_108, 1.723871, (89.1  1.6  104.9), (89.3  0.4  106.1), Table, 3.357956  3.112183
