Time, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/18/2024 9:41:09 AM,4.550712, (100.0  1.7  -10.8), (99.7  0.1  -6.6), Main_floor, 5.090958  5.821915
3/18/2024 9:41:09 AM,15.00454, (100.0  1.7  -10.8), (99.2  0.3  4.2), w4, 5.322662  5.795227
3/18/2024 9:41:09 AM,14.90746, (100.0  1.7  -10.7), (99.5  1.3  4.2), w4, 5.389175  5.767197
3/18/2024 9:41:09 AM,14.91487, (100.0  1.7  -10.7), (99.3  1.1  4.2), w4, 5.246109  5.938156
3/18/2024 9:41:09 AM,14.90135, (100.0  1.7  -10.7), (99.5  1.0  4.2), w4, 5.258926  5.836029
3/18/2024 9:41:09 AM,14.89554, (100.0  1.7  -10.7), (100.2  0.9  4.2), w4, 5.259766  5.668427
3/18/2024 9:41:09 AM,14.87424, (100.0  1.7  -10.7), (100.1  1.1  4.2), w4, 5.283264  5.787888
3/18/2024 9:41:09 AM,14.85877, (100.0  1.8  -10.6), (98.7  2.3  4.2), w4, 4.769623  5.230453
3/18/2024 9:41:09 AM,14.83283, (100.0  1.8  -10.6), (98.8  1.5  4.2), w4, 4.737152  5.385483
3/18/2024 9:41:09 AM,14.83715, (100.0  1.8  -10.6), (98.7  1.2  4.2), w4, 4.653809  5.226486
3/18/2024 9:41:09 AM,14.85222, (99.9  1.8  -10.6), (98.7  0.6  4.2), w4, 4.791412  5.254333
3/18/2024 9:41:09 AM,14.85746, (99.9  1.8  -10.6), (98.9  0.2  4.2), w4, 4.778839  5.148163
3/18/2024 9:41:09 AM,14.83049, (99.9  1.8  -10.6), (99.5  0.1  4.2), w4, 4.681396  5.138535
3/18/2024 9:41:09 AM,13.49175, (99.9  1.8  -10.6), (99.0  0.1  2.8), Main_floor, 4.67627  5.215286
3/18/2024 9:41:09 AM,14.83409, (99.9  1.7  -10.5), (98.7  0.1  4.2), w4, 4.790985  5.262604
3/18/2024 9:41:09 AM,10.17042, (99.9  1.7  -10.5), (98.8  0.1  -0.6), Main_floor, 4.277771  4.981171
3/18/2024 9:41:09 AM,13.44058, (99.7  1.8  -10.5), (100.0  0.1  2.9), Main_floor, 4.630936  5.679474
