Starting experiment at 05/27/2024 11:03:27
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
11:03:46, Room_108, 1.196386, (89.1  1.6  104.8), (89.5  1.1  105.9), Table, 5.336029  5.710754
11:03:46, Room_108, 1.241298, (89.1  1.6  104.8), (89.3  1.0  105.9), Table, 5.296432  5.654099
11:03:46, Room_108, 1.232317, (89.1  1.6  104.8), (89.3  1.0  105.9), Table, 5.79599  5.816559
11:03:46, Room_108, 1.218599, (89.2  1.6  104.8), (89.5  0.9  105.8), Table, 6.05806  5.762497
11:03:46, Room_108, 1.258596, (89.1  1.6  104.8), (89.3  1.0  105.9), Table, 5.629257  5.733978
11:03:46, Room_108, 1.250526, (89.1  1.6  104.8), (89.4  1.0  105.9), Table, 5.693985  5.5728
11:03:46, Room_108, 1.265427, (89.1  1.6  104.8), (89.3  1.0  105.9), Table, 5.318695  5.530426
11:03:46, Room_108, 1.267538, (89.1  1.6  104.8), (89.3  1.0  105.9), Table, 5.572952  5.496765
11:03:46, Room_108, 1.260742, (89.2  1.6  104.8), (89.3  1.0  105.9), Table, 5.667313  5.527069
11:03:46, Room_108, 1.286218, (89.2  1.6  104.8), (89.3  1.0  105.9), Table, 5.474014  5.88681
11:03:46, Room_108, 1.290453, (89.2  1.6  104.8), (89.3  1.0  105.9), Table, 5.46637  5.591263
11:03:46, Room_108, 1.284145, (89.2  1.6  104.8), (89.3  1.0  105.9), Table, 5.466431  5.650772
11:03:46, Room_108, 1.282037, (89.1  1.6  104.8), (89.3  0.9  105.9), Table, 5.2892  5.618622
11:03:46, Room_108, 1.387489, (89.2  1.6  104.8), (89.4  0.6  105.7), Table, 5.502914  5.390488
11:03:46, Room_108, 1.359836, (89.2  1.6  104.8), (89.3  0.6  105.7), Table, 5.219589  5.650833
11:03:46, Room_108, 1.340696, (89.2  1.6  104.8), (89.3  0.7  105.7), Table, 5.293503  5.604324
11:03:46, Room_108, 1.358232, (89.2  1.6  104.8), (89.3  0.6  105.7), Table, 5.364365  5.511108
11:03:47, Room_108, 1.352659, (89.2  1.6  104.8), (89.3  0.6  105.7), Table, 5.287399  5.591644
11:03:47, Room_108, 1.364051, (89.1  1.6  104.8), (89.3  0.6  105.7), Table, 5.427032  5.542038
11:03:47, Room_108, 1.369052, (89.1  1.6  104.8), (89.3  0.6  105.7), Table, 5.344727  5.465683
11:03:47, Room_108, 1.392642, (89.1  1.6  104.8), (89.3  0.6  105.7), Table, 5.339508  5.606339
11:03:47, Room_108, 1.362241, (89.1  1.6  104.8), (89.3  0.6  105.7), Table, 5.323914  5.435486
11:03:47, Room_108, 1.405637, (89.1  1.6  104.8), (89.2  0.6  105.7), Table, 5.464417  5.560562
11:03:47, Room_108, 1.510064, (89.1  1.6  104.8), (89.3  0.4  105.7), Table, 5.319031  5.286621
11:03:47, Room_108, 1.447122, (89.1  1.6  104.8), (89.2  0.5  105.7), Table, 5.616699  5.155884
11:03:47, Room_108, 1.450032, (89.1  1.6  104.8), (89.3  0.5  105.7), Table, 5.320068  5.015396
11:03:47, Room_108, 1.425657, (89.1  1.6  104.8), (89.3  0.5  105.7), Table, 5.256104  5.161316
11:03:47, Room_108, 1.478569, (89.1  1.6  104.8), (89.2  0.5  105.7), Table, 5.160797  5.236435
11:03:47, Room_108, 1.674073, (89.1  1.6  104.8), (89.2  0.2  105.7), Table, 5.31369  5.13504
11:03:47, Room_108, 1.334055, (89.1  1.6  104.8), (89.6  1.3  106.0), Table, 5.138092  5.131149
11:03:47, Room_108, 1.321491, (89.1  1.6  104.8), (89.6  1.3  106.0), Table, 4.934692  5.001465
11:03:47, Room_108, 1.324714, (89.1  1.6  104.8), (89.6  1.3  106.0), Table, 4.968735  5.031464
11:03:47, Room_108, 1.320512, (89.2  1.6  104.8), (89.6  1.2  106.0), Table, 4.896072  4.960159
11:03:47, Room_108, 1.311746, (89.2  1.6  104.8), (89.6  1.2  105.9), Table, 4.798157  4.951965
11:03:47, Room_108, 1.314272, (89.2  1.6  104.8), (89.6  1.2  106.0), Table, 4.899811  4.870789
11:03:47, Room_108, 1.321476, (89.1  1.6  104.8), (89.6  1.2  106.0), Table, 4.871521  4.753815
11:03:47, Room_108, 1.420788, (89.1  1.6  104.8), (89.5  1.4  106.1), Table, 4.87413  4.896072
11:03:47, Room_108, 1.430331, (89.1  1.6  104.8), (89.5  1.4  106.1), Table, 4.803711  5.082092
11:03:47, Room_108, 1.422303, (89.2  1.6  104.8), (89.5  1.3  106.1), Table, 4.902679  4.962158
