Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 10:44:04 AM,Room_121, 3.012471, (100.0  1.6  -8.3), (98.2  -0.1  -6.7), Main_floor, 4.463989  4.754013
3/26/2024 10:44:04 AM,Room_121, 2.961527, (100.0  1.6  -8.4), (98.3  -0.1  -6.7), Main_floor, 4.447952  4.719711
3/26/2024 10:44:04 AM,Room_121, 2.943384, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.458176  4.683136
3/26/2024 10:44:04 AM,Room_121, 2.974015, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.450851  4.6763
3/26/2024 10:44:04 AM,Room_121, 2.977421, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.405884  4.676178
3/26/2024 10:44:04 AM,Room_121, 3.004305, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.40596  4.673401
3/26/2024 10:44:04 AM,Room_121, 2.997475, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.405579  4.542816
3/26/2024 10:44:04 AM,Room_121, 3.010043, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.405396  4.606903
3/26/2024 10:44:04 AM,Room_121, 3.024648, (100.0  1.6  -8.4), (98.3  -0.1  -6.5), Main_floor, 4.392654  4.651001
3/26/2024 10:44:04 AM,Room_121, 3.029022, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.399353  4.659225
3/26/2024 10:44:04 AM,Room_121, 2.995356, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.424622  4.65773
3/26/2024 10:44:04 AM,Room_121, 2.969539, (100.0  1.6  -8.4), (98.3  -0.1  -6.6), Main_floor, 4.422409  4.660019
3/26/2024 10:44:04 AM,Room_121, 2.916518, (100.0  1.6  -8.4), (98.3  -0.1  -6.7), Main_floor, 4.416885  4.587769
3/26/2024 10:44:04 AM,Room_121, 2.662574, (100.0  1.6  -8.4), (98.6  -0.1  -6.9), Main_floor, 4.437027  4.740173
3/26/2024 10:44:04 AM,Room_121, 2.574875, (100.0  1.6  -8.4), (98.7  -0.1  -7.0), Main_floor, 4.218948  4.700226
3/26/2024 10:44:04 AM,Room_121, 2.574442, (100.0  1.6  -8.4), (98.7  -0.1  -6.9), Main_floor, 4.176544  4.631714
3/26/2024 10:44:04 AM,Room_121, 2.583004, (100.0  1.6  -8.4), (98.7  -0.1  -6.9), Main_floor, 4.229736  4.728607
3/26/2024 10:44:04 AM,Room_121, 2.612453, (100.0  1.6  -8.4), (98.7  -0.1  -6.9), Main_floor, 4.264954  4.75618
