Starting experiment at 05/30/2024 16:58:33
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
16:58:43, Room_121, NO_ITEMS, , , , 4.330475  4.857651
16:58:43, Room_121, NO_ITEMS, , , , 4.242935  4.832733
16:58:44, Room_121, NO_ITEMS, , , , 4.299057  4.738678
16:58:44, Room_121, NO_ITEMS, , , , 4.401077  4.722366
16:58:44, Room_121, NO_ITEMS, , , , 4.338837  4.648193
16:58:44, Room_121, NO_ITEMS, , , , 4.369476  4.750183
16:58:44, Room_121, NO_ITEMS, , , , 4.302505  4.46225
16:58:44, Room_121, NO_ITEMS, , , , 4.25499  4.525345
16:58:44, Room_121, NO_ITEMS, , , , 4.374771  4.57515
16:58:44, Room_121, NO_ITEMS, , , , 4.298019  4.368652
16:58:44, Room_121, NO_ITEMS, , , , 4.421814  4.513062
16:58:44, Room_121, NO_ITEMS, , , , 3.738205  -1
16:58:44, Room_121, NO_ITEMS, , , , 4.138916  4.51416
16:58:44, Room_121, NO_ITEMS, , , , 4.268875  4.440948
16:58:44, Room_121, NO_ITEMS, , , , 4.34259  4.629044
16:58:44, Room_121, NO_ITEMS, , , , 4.667313  4.907364
16:58:44, Room_121, NO_ITEMS, , , , 4.709106  4.956207
16:58:44, Room_121, NO_ITEMS, , , , 4.638794  4.924133
16:58:44, Room_121, NO_ITEMS, , , , 4.493042  5.050766
16:58:44, Room_121, NO_ITEMS, , , , 4.70488  4.673859
16:58:44, Room_121, NO_ITEMS, , , , 4.64888  4.723236
16:58:44, Room_121, NO_ITEMS, , , , 4.614899  5.055847
16:58:44, Room_121, NO_ITEMS, , , , 4.366867  4.813293
16:58:44, Room_121, NO_ITEMS, , , , 4.3022  4.726624
16:58:44, Room_121, NO_ITEMS, , , , 4.35643  4.782028
16:58:44, Room_121, NO_ITEMS, , , , 4.316208  4.698029
16:58:44, Room_121, NO_ITEMS, , , , 4.53978  4.717056
16:58:44, Room_121, NO_ITEMS, , , , 4.716415  4.777512
16:58:44, Room_121, NO_ITEMS, , , , 4.564178  4.659317
16:58:44, Room_121, NO_ITEMS, , , , 5.18222  5.663605
16:58:44, Room_121, NO_ITEMS, , , , 4.587448  4.827011
16:58:44, Room_121, NO_ITEMS, , , , 4.643021  5.308487
16:58:45, Room_121, NO_ITEMS, , , , 4.531769  5.39682
16:58:45, Room_121, NO_ITEMS, , , , 4.535385  5.091095
16:58:45, Room_121, NO_ITEMS, , , , 4.627548  5.324692
16:58:45, Room_121, NO_ITEMS, , , , 4.043335  4.181412
16:58:45, Room_121, NO_ITEMS, , , , 4.065338  4.35408
16:58:45, Room_121, NO_ITEMS, , , , 3.840103  4.306595
16:58:45, Room_121, NO_ITEMS, , , , 4.773453  4.516541
16:58:45, Room_121, NO_ITEMS, , , , 4.375122  4.10527
16:58:45, Room_121, NO_ITEMS, , , , 4.134933  4.313934
16:58:45, Room_121, NO_ITEMS, , , , 4.09317  5.020172
16:58:45, Room_121, NO_ITEMS, , , , 4.301468  4.900513
16:58:45, Room_121, NO_ITEMS, , , , 4.259811  4.942566
16:58:45, Room_121, NO_ITEMS, , , , 4.585388  4.643387
16:58:45, Room_121, NO_ITEMS, , , , 4.477463  4.561005
16:58:45, Room_121, NO_ITEMS, , , , 3.978973  4.607086
16:58:45, Room_121, NO_ITEMS, , , , 4.150177  4.651428
16:58:45, Room_121, NO_ITEMS, , , , 4.499481  5.178207
16:58:45, Room_121, NO_ITEMS, , , , 3.910568  4.807632
16:58:45, Room_121, NO_ITEMS, , , , 3.87822  4.993332
16:58:45, Room_121, NO_ITEMS, , , , 4.128906  5.027756
16:58:45, Room_121, NO_ITEMS, , , , 4.327637  4.92366
16:58:45, Room_121, NO_ITEMS, , , , 4.398819  4.626617
16:58:45, Room_121, NO_ITEMS, , , , 4.54422  4.541367
16:58:45, Room_121, NO_ITEMS, , , , 4.329559  4.691086
16:58:45, Room_121, NO_ITEMS, , , , 4.622894  4.550262
16:58:45, Room_121, NO_ITEMS, , , , 4.37822  4.719986
16:58:45, Room_121, NO_ITEMS, , , , 4.10318  4.519791
16:58:45, Room_121, NO_ITEMS, , , , 4.480988  4.428101
16:58:45, Room_121, NO_ITEMS, , , , 4.513062  4.361252
16:58:45, Room_121, NO_ITEMS, , , , 4.42247  4.448654
16:58:46, Room_121, NO_ITEMS, , , , 4.411667  4.481476
16:58:46, Room_121, NO_ITEMS, , , , 4.594208  4.52713
16:58:46, Room_121, NO_ITEMS, , , , 4.566666  4.592789
16:58:46, Room_121, NO_ITEMS, , , , 4.286591  4.590515
16:58:46, Room_121, NO_ITEMS, , , , 4.138351  4.738144
16:58:46, Room_121, NO_ITEMS, , , , 4.2798  4.871628
16:58:46, Room_121, NO_ITEMS, , , , 4.063095  4.596939
16:58:46, Room_121, NO_ITEMS, , , , 4.186676  4.486694
16:58:46, Room_121, NO_ITEMS, , , , 4.195908  4.569321
16:58:46, Room_121, NO_ITEMS, , , , 3.811432  4.545303
16:58:46, Room_121, NO_ITEMS, , , , 4.063248  4.546341
16:58:46, Room_121, NO_ITEMS, , , , 4.106674  4.69281
16:58:46, Room_121, NO_ITEMS, , , , 4.213272  4.492233
16:58:46, Room_121, NO_ITEMS, , , , 4.393692  4.388916
16:58:46, Room_121, NO_ITEMS, , , , 4.125931  4.287872
16:58:46, Room_121, NO_ITEMS, , , , 3.731857  4.41124
16:58:46, Room_121, NO_ITEMS, , , , 4.066254  4.602692
16:58:46, Room_121, NO_ITEMS, , , , 3.919113  4.325409
16:58:46, Room_121, NO_ITEMS, , , , 3.873398  4.437042
16:58:46, Room_121, NO_ITEMS, , , , 3.972534  4.52739
16:58:46, Room_121, NO_ITEMS, , , , 4.112045  4.529984
16:58:46, Room_121, NO_ITEMS, , , , 4.161316  4.611481
16:58:46, Room_121, NO_ITEMS, , , , 4.100815  4.600616
16:58:46, Room_121, NO_ITEMS, , , , 4.054276  4.556839
16:58:46, Room_121, NO_ITEMS, , , , 4.096497  4.640289
16:58:46, Room_121, NO_ITEMS, , , , 3.889954  4.644485
16:58:46, Room_121, NO_ITEMS, , , , 4.132629  4.66449
16:58:46, Room_121, NO_ITEMS, , , , 4.207108  4.645096
16:58:46, Room_121, NO_ITEMS, , , , 4.208771  4.532532
16:58:46, Room_121, NO_ITEMS, , , , 4.32637  4.559723
16:58:46, Room_121, NO_ITEMS, , , , 4.321793  4.651672
16:58:46, Room_121, NO_ITEMS, , , , 4.371307  4.794632
16:58:46, Room_121, NO_ITEMS, , , , 4.276398  4.738937
16:58:46, Room_121, NO_ITEMS, , , , 4.590759  4.801971
16:58:46, Room_121, NO_ITEMS, , , , 4.348923  4.849792
16:58:47, Room_121, NO_ITEMS, , , , 4.573975  4.79451
16:58:47, Room_121, NO_ITEMS, , , , 4.425461  4.639069
16:58:47, Room_121, NO_ITEMS, , , , 4.469498  4.723785
16:58:47, Room_121, NO_ITEMS, , , , 4.202515  4.696045
16:58:47, Room_121, NO_ITEMS, , , , 3.794418  4.443405
16:58:47, Room_121, NO_ITEMS, , , , 4.129745  4.367737
16:58:47, Room_121, NO_ITEMS, , , , 4.056747  4.654892
16:58:47, Room_121, NO_ITEMS, , , , 4.157486  4.441772
16:58:47, Room_121, NO_ITEMS, , , , 4.091446  4.618927
16:58:47, Room_121, NO_ITEMS, , , , 4.429001  4.198212
16:58:47, Room_121, NO_ITEMS, , , , 4.25824  4.410141
16:58:47, Room_121, NO_ITEMS, , , , 4.117538  4.40004
16:58:47, Room_121, NO_ITEMS, , , , 4.112778  4.380814
16:58:47, Room_121, NO_ITEMS, , , , 4.136948  4.216675
16:58:47, Room_121, NO_ITEMS, , , , 4.130478  4.434631
16:58:47, Room_121, NO_ITEMS, , , , 4.111542  4.16304
16:58:47, Room_121, NO_ITEMS, , , , 4.389648  4.362793
16:58:47, Room_121, NO_ITEMS, , , , 4.328857  4.474731
16:58:47, Room_121, NO_ITEMS, , , , 4.429733  4.421021
16:58:47, Room_121, NO_ITEMS, , , , 4.407379  4.48732
16:58:47, Room_121, NO_ITEMS, , , , 4.408279  4.45546
16:58:47, Room_121, NO_ITEMS, , , , 4.166321  4.449982
16:58:47, Room_121, NO_ITEMS, , , , 4.450928  4.427811
16:58:47, Room_121, NO_ITEMS, , , , 4.256088  4.387253
16:58:47, Room_121, NO_ITEMS, , , , 3.923935  4.26059
16:58:47, Room_121, NO_ITEMS, , , , 4.416962  4.534073
16:58:47, Room_121, NO_ITEMS, , , , 4.235779  4.380081
16:58:47, Room_121, NO_ITEMS, , , , 4.133377  4.280853
16:58:48, Room_121, NO_ITEMS, , , , -1  4.140991
16:58:48, Room_121, NO_ITEMS, , , , 4.284088  4.474396
16:58:48, Room_121, NO_ITEMS, , , , 4.796158  4.30217
16:58:48, Room_121, NO_ITEMS, , , , 4.078171  4.632034
16:58:48, Room_121, NO_ITEMS, , , , 4.512848  4.584518
16:58:48, Room_121, NO_ITEMS, , , , 4.846176  4.608414
16:58:48, Room_121, NO_ITEMS, , , , 4.437805  4.475403
16:58:48, Room_121, NO_ITEMS, , , , 4.259506  4.528595
16:58:48, Room_121, NO_ITEMS, , , , 5.275345  4.474075
16:58:48, Room_121, NO_ITEMS, , , , 4.539581  4.458694
16:58:48, Room_121, NO_ITEMS, , , , 4.182907  4.414246
16:58:48, Room_121, NO_ITEMS, , , , 4.188385  4.492538
16:58:48, Room_121, NO_ITEMS, , , , 4.254059  4.417313
16:58:48, Room_121, NO_ITEMS, , , , -1  4.388428
16:58:48, Room_121, NO_ITEMS, , , , 4.066284  4.131424
16:58:48, Room_121, NO_ITEMS, , , , 4.085663  4.43042
16:58:48, Room_121, NO_ITEMS, , , , 3.820847  4.47995
16:58:48, Room_121, NO_ITEMS, , , , 4.35817  4.330826
16:58:48, Room_121, NO_ITEMS, , , , 4.3461  4.287857
16:58:48, Room_121, NO_ITEMS, , , , 4.085434  4.117279
16:58:48, Room_121, NO_ITEMS, , , , 3.96962  3.89946
16:58:48, Room_121, NO_ITEMS, , , , 3.875641  3.525314
16:58:48, Room_121, NO_ITEMS, , , , 3.597778  3.886627
16:58:48, Room_121, NO_ITEMS, , , , 4.182877  3.859619
16:58:48, Room_121, NO_ITEMS, , , , 4.198456  3.558487
16:58:48, Room_121, NO_ITEMS, , , , 3.702103  3.963013
16:58:49, Room_121, NO_ITEMS, , , , 3.700928  3.759735
16:58:49, Room_121, NO_ITEMS, , , , 3.847733  3.638794
16:58:49, Room_121, NO_ITEMS, , , , 3.579559  3.764847
16:58:49, Room_121, NO_ITEMS, , , , 3.572922  3.801071
16:58:49, Room_121, NO_ITEMS, , , , 3.675293  3.359314
16:58:49, Room_121, NO_ITEMS, , , , 3.704559  3.605881
16:58:49, Room_121, NO_ITEMS, , , , 3.654907  3.631958
16:58:49, Room_121, NO_ITEMS, , , , -1  3.701187
16:58:49, Room_121, NO_ITEMS, , , , -1  3.771088
16:58:49, Room_121, NO_ITEMS, , , , 3.196442  3.821655
16:58:49, Room_121, NO_ITEMS, , , , 3.699463  3.702606
16:58:49, Room_121, NO_ITEMS, , , , 3.667267  3.798111
16:58:49, Room_121, NO_ITEMS, , , , 3.847794  3.996475
16:58:49, Room_121, NO_ITEMS, , , , 3.838226  3.762527
16:58:49, Room_121, NO_ITEMS, , , , -1  3.895432
16:58:49, Room_121, NO_ITEMS, , , , 3.803574  3.643326
16:58:49, Room_121, NO_ITEMS, , , , 3.756897  3.882156
16:58:49, Room_121, NO_ITEMS, , , , 3.74939  3.863083
