Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/25/2024 3:18:15 PM,Room_121, 4.008965, (100.7  1.7  -8.0), (97.2  -0.1  -7.0), Main_floor, 5.795242  6.382248
3/25/2024 3:18:15 PM,Room_121, 4.178752, (100.7  1.7  -8.0), (97.1  -0.1  -6.7), Main_floor, 5.822891  6.755981
3/25/2024 3:18:15 PM,Room_121, 4.254924, (100.7  1.7  -8.0), (97.0  -0.1  -6.9), Main_floor, 5.636307  6.458527
3/25/2024 3:18:15 PM,Room_121, 4.010298, (100.7  1.7  -8.0), (97.3  -0.1  -6.8), Main_floor, 5.857162  6.126389
3/25/2024 3:18:15 PM,Room_121, 4.145742, (100.7  1.7  -8.0), (97.1  -0.1  -6.7), Main_floor, 6.110397  6.379471
3/25/2024 3:18:15 PM,Room_121, 4.004475, (100.7  1.7  -8.0), (97.3  -0.1  -6.8), Main_floor, 6.566284  6.275574
3/25/2024 3:18:15 PM,Room_121, 3.814046, (100.7  1.7  -8.0), (97.4  -0.1  -7.0), Main_floor, 5.643753  6.320343
3/25/2024 3:18:15 PM,Room_121, 4.000285, (100.7  1.7  -8.0), (97.2  -0.1  -6.9), Main_floor, 5.877579  6.537445
3/25/2024 3:18:15 PM,Room_121, 4.0772, (100.7  1.7  -8.0), (97.2  -0.1  -6.8), Main_floor, 5.906342  5.951965
3/25/2024 3:18:15 PM,Room_121, 3.829821, (100.7  1.7  -8.0), (97.5  -0.1  -6.8), Main_floor, 6.268631  6.32048
3/25/2024 3:18:15 PM,Room_121, 4.237161, (100.6  1.7  -8.0), (96.9  -0.1  -7.1), Main_floor, 5.918808  5.89122
3/25/2024 3:18:15 PM,Room_121, 4.293845, (100.6  1.7  -8.0), (96.8  -0.1  -7.4), Main_floor, 5.537369  5.931946
3/25/2024 3:18:15 PM,Room_121, 4.319957, (100.6  1.7  -8.0), (96.8  -0.1  -7.3), Main_floor, 5.806931  5.792465
3/25/2024 3:18:15 PM,Room_121, 0.2260202, (33.0  1.7  135.1), (32.9  1.5  135.1), w2, 5.41098  5.665482
3/25/2024 3:18:16 PM,Room_121, 0.3578306, (33.0  1.7  135.0), (32.9  1.5  134.8), w2, 5.538895  5.858932
3/25/2024 3:18:16 PM,Room_121, 0.3902977, (33.1  1.7  135.0), (32.9  1.5  134.8), w2, 5.486237  5.784943
3/25/2024 3:18:16 PM,Room_121, 0.4243343, (33.1  1.7  135.0), (32.9  1.4  134.8), w2, 5.50827  5.742172
3/25/2024 3:18:16 PM,Room_121, 0.4170098, (33.1  1.7  135.0), (32.9  1.4  134.8), w2, 5.472168  5.75972
3/25/2024 3:18:16 PM,Room_121, 0.4138032, (33.1  1.7  135.0), (32.9  1.4  134.8), w2, 5.480469  5.609924
3/25/2024 3:18:16 PM,Room_121, 0.4575958, (33.1  1.7  135.0), (32.9  1.4  134.8), w2, 5.390991  5.197556
3/25/2024 3:18:16 PM,Room_121, 0.6178705, (33.1  1.7  135.0), (32.9  1.3  134.6), w2, -1  5.379211
3/25/2024 3:18:16 PM,Room_121, 0.7253712, (33.1  1.7  135.0), (32.9  1.2  134.5), w2, -1  5.90799
3/25/2024 3:18:16 PM,Room_121, 1.302023, (33.1  1.7  135.0), (32.9  1.0  133.9), w2, 5.768646  6.090179
3/25/2024 3:18:16 PM,Room_121, 1.150027, (33.2  1.7  135.0), (32.9  1.0  134.1), w2, 5.862076  5.867188
3/25/2024 3:18:16 PM,Room_121, 1.465345, (33.2  1.7  135.0), (32.9  0.9  133.8), w2, 5.660431  5.634399
3/25/2024 3:18:16 PM,Room_121, 1.498224, (33.2  1.7  135.0), (32.9  0.9  133.8), w2, 5.791016  5.741592
3/25/2024 3:18:16 PM,Room_121, 1.755353, (33.3  1.7  135.0), (32.9  0.7  133.6), w2, -1  4.885147
