Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/25/2024 2:28:51 PM,Room_121, 2.81258, (101.2  1.7  -7.7), (102.4  0.1  -5.7), Main_floor, 5.838593  6.500977
3/25/2024 2:28:51 PM,Room_121, 3.016445, (101.2  1.7  -7.7), (102.5  0.1  -5.5), Main_floor, 5.888306  6.436371
3/25/2024 2:28:51 PM,Room_121, 3.22015, (101.2  1.7  -7.7), (102.8  0.1  -5.5), Main_floor, 6.141006  6.386993
3/25/2024 2:28:51 PM,Room_121, 2.925076, (101.2  1.7  -7.7), (102.4  0.1  -5.6), Main_floor, 5.841476  6.508774
3/25/2024 2:28:51 PM,Room_121, 2.781057, (101.2  1.7  -7.7), (102.3  0.1  -5.7), Main_floor, 5.814789  6.041367
3/25/2024 2:28:51 PM,Room_121, 3.218847, (101.2  1.7  -7.7), (102.6  0.1  -5.3), Main_floor, 5.903671  6.430649
3/25/2024 2:28:51 PM,Room_121, 2.880004, (101.2  1.7  -7.7), (102.6  0.1  -5.8), Main_floor, 6.052048  6.286728
3/25/2024 2:28:51 PM,Room_121, 3.207556, (101.1  1.7  -7.7), (102.7  0.1  -5.4), Main_floor, 5.80159  6.223877
3/25/2024 2:28:51 PM,Room_121, 3.289279, (101.1  1.7  -7.7), (102.8  0.1  -5.3), Main_floor, 5.795929  6.47641
3/25/2024 2:28:51 PM,Room_121, 3.62957, (101.1  1.7  -7.6), (102.9  0.1  -5.0), Main_floor, 5.860504  6.435226
3/25/2024 2:28:51 PM,Room_121, 3.288027, (101.1  1.7  -7.6), (102.7  0.1  -5.3), Main_floor, 5.756226  6.527313
3/25/2024 2:28:51 PM,Room_121, 3.353096, (101.1  1.7  -7.7), (102.8  0.1  -5.3), Main_floor, 6.197998  6.432846
3/25/2024 2:28:51 PM,Room_121, 3.396173, (101.1  1.7  -7.7), (102.9  0.1  -5.3), Main_floor, 6.00827  6.378876
3/25/2024 2:28:52 PM,Room_121, 3.083437, (101.1  1.7  -7.7), (102.6  0.1  -5.5), Main_floor, 5.994843  6.448425
3/25/2024 2:28:52 PM,Room_121, 3.062389, (101.2  1.7  -7.7), (102.5  0.1  -5.5), Main_floor, 6.034164  6.240753
3/25/2024 2:28:52 PM,Room_121, 2.867547, (101.1  1.7  -7.7), (102.5  0.1  -5.7), Main_floor, 5.930222  6.60376
