Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 10:50:18 AM,Room_121, 3.880334, (100.2  1.7  -8.2), (98.9  -0.1  -5.0), Main_floor, 5.967026  6.424637
3/26/2024 10:50:18 AM,Room_121, 3.838339, (100.3  1.7  -8.2), (98.9  -0.1  -5.0), Main_floor, 5.878189  6.479187
3/26/2024 10:50:18 AM,Room_121, 3.758395, (100.3  1.7  -8.2), (98.9  -0.1  -5.1), Main_floor, 5.94043  6.467255
3/26/2024 10:50:18 AM,Room_121, 3.815553, (100.3  1.7  -8.2), (98.9  -0.1  -5.1), Main_floor, 5.959259  6.526657
3/26/2024 10:50:18 AM,Room_121, 3.695764, (100.3  1.7  -8.1), (98.9  -0.1  -5.2), Main_floor, 6.005341  6.605316
3/26/2024 10:50:18 AM,Room_121, 3.652408, (100.3  1.7  -8.1), (98.9  -0.1  -5.2), Main_floor, 6.044113  6.547928
3/26/2024 10:50:18 AM,Room_121, 3.745581, (100.3  1.7  -8.1), (98.8  -0.1  -5.1), Main_floor, 6.009613  6.487625
3/26/2024 10:50:18 AM,Room_121, 3.558241, (100.2  1.7  -8.1), (98.8  -0.1  -5.4), Main_floor, 5.849747  6.553223
3/26/2024 10:50:18 AM,Room_121, 4.589151, (100.3  1.7  -8.1), (98.1  -0.1  -4.5), Main_floor, 5.852707  6.482513
3/26/2024 10:50:18 AM,Room_121, 4.7728, (100.3  1.7  -8.1), (98.0  -0.1  -4.3), Main_floor, 5.848785  6.373123
3/26/2024 10:50:18 AM,Room_121, 4.704175, (100.3  1.7  -8.1), (98.0  -0.1  -4.4), Main_floor, 5.878265  6.40799
3/26/2024 10:50:18 AM,Room_121, 4.404667, (100.3  1.7  -8.1), (98.1  -0.1  -4.7), Main_floor, 5.939529  6.443741
3/26/2024 10:50:18 AM,Room_121, 4.402504, (100.3  1.7  -8.1), (98.1  -0.1  -4.7), Main_floor, 6.02536  6.376038
3/26/2024 10:50:18 AM,Room_121, 2.015702, (100.3  1.6  -8.1), (99.6  -0.1  -7.4), Main_floor, 5.695023  6.345901
3/26/2024 10:50:18 AM,Room_121, 1.98916, (100.3  1.6  -8.1), (99.6  -0.1  -7.4), Main_floor, 5.704102  6.260132
3/26/2024 10:50:18 AM,Room_121, 2.009303, (100.3  1.6  -8.1), (99.5  -0.1  -7.4), Main_floor, 5.711258  6.279144
3/26/2024 10:50:18 AM,Room_121, 2.038607, (100.3  1.6  -8.1), (99.5  -0.1  -7.3), Main_floor, 5.790466  6.249664
3/26/2024 10:50:18 AM,Room_121, 2.063684, (100.3  1.6  -8.1), (99.4  -0.1  -7.3), Main_floor, 5.773376  6.276337
3/26/2024 10:50:19 AM,Room_121, 2.08022, (100.3  1.6  -8.1), (99.4  -0.1  -7.3), Main_floor, 5.710327  6.2854
3/26/2024 10:50:19 AM,Room_121, 2.082123, (100.3  1.6  -8.1), (99.4  -0.1  -7.3), Main_floor, 5.737701  6.388077
3/26/2024 10:50:19 AM,Room_121, 2.107573, (100.3  1.7  -8.1), (99.4  -0.1  -7.2), Main_floor, 5.698166  6.262238
3/26/2024 10:50:19 AM,Room_121, 2.131532, (100.3  1.7  -8.1), (99.4  -0.1  -7.2), Main_floor, 5.702271  6.224854
3/26/2024 10:50:19 AM,Room_121, 2.155228, (100.3  1.7  -8.1), (99.4  -0.1  -7.2), Main_floor, 5.724579  6.262482
3/26/2024 10:50:19 AM,Room_121, 2.176102, (100.3  1.7  -8.1), (99.4  -0.1  -7.2), Main_floor, 5.715286  6.212006
3/26/2024 10:50:19 AM,Room_121, 2.215487, (100.3  1.7  -8.2), (99.3  -0.1  -7.1), Main_floor, 5.695557  6.284973
3/26/2024 10:50:19 AM,Room_121, 1.945913, (32.6  1.7  134.9), (31.7  0.2  135.8), w3, 5.716522  6.271927
3/26/2024 10:50:19 AM,Room_121, 1.710717, (32.6  1.7  134.9), (31.6  0.6  135.8), w3, 5.714874  6.192856
3/26/2024 10:50:19 AM,Room_121, 1.416138, (32.6  1.7  134.9), (31.7  1.1  135.8), w3, 5.794067  6.132126
3/26/2024 10:50:19 AM,Room_121, 1.377568, (32.6  1.7  134.9), (31.7  1.2  135.8), w3, 5.849747  6.135361
3/26/2024 10:50:19 AM,Room_121, 1.404713, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.855988  6.155807
3/26/2024 10:50:19 AM,Room_121, 1.426265, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.757645  6.158356
3/26/2024 10:50:19 AM,Room_121, 1.422959, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.747681  6.060913
3/26/2024 10:50:19 AM,Room_121, 1.431979, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.703003  5.994217
3/26/2024 10:50:19 AM,Room_121, 1.442929, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.795166  6.019424
3/26/2024 10:50:19 AM,Room_121, 1.472784, (32.6  1.7  134.8), (31.7  1.2  135.8), w3, 5.612762  5.970139
3/26/2024 10:50:19 AM,Room_121, 1.497449, (32.6  1.7  134.8), (31.7  1.1  135.8), w3, 5.679932  5.8974
3/26/2024 10:50:19 AM,Room_121, 1.607116, (32.6  1.7  134.7), (31.6  1.1  135.8), w3, -1  5.949493
3/26/2024 10:50:19 AM,Room_121, 1.701961, (32.7  1.7  134.7), (31.7  0.9  135.8), w3, 5.454544  5.919327
3/26/2024 10:50:19 AM,Room_121, 1.692969, (32.7  1.7  134.7), (31.6  0.9  135.8), w3, 5.567627  6.104675
3/26/2024 10:50:19 AM,Room_121, 1.663645, (32.7  1.7  134.6), (31.7  1.0  135.8), w3, 5.554855  6.065598
3/26/2024 10:50:19 AM,Room_121, 1.94287, (32.6  1.7  134.6), (31.3  0.8  135.8), w3, 5.594894  5.985641
3/26/2024 10:50:19 AM,Room_121, 1.692412, (32.7  1.7  134.6), (31.7  1.0  135.8), w3, 5.584015  6.027359
3/26/2024 10:50:19 AM,Room_121, 1.708236, (32.7  1.7  134.6), (31.7  1.0  135.8), w3, 5.622406  5.970474
