Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/26/2024 10:57:14 AM,Room_121, 3.440876, (100.3  1.6  -8.1), (98.9  -0.1  -5.5), Main_floor, 5.987747  6.884216
3/26/2024 10:57:14 AM,Room_121, 3.503901, (100.3  1.6  -8.1), (98.9  -0.1  -5.4), Main_floor, 5.958206  6.782959
3/26/2024 10:57:14 AM,Room_121, 3.565465, (100.3  1.6  -8.1), (98.9  -0.1  -5.3), Main_floor, 5.974152  6.802505
3/26/2024 10:57:15 AM,Room_121, 3.852347, (100.3  1.6  -8.1), (98.7  -0.1  -5.1), Main_floor, 6.019836  6.529861
3/26/2024 10:57:15 AM,Room_121, 3.760269, (100.3  1.6  -8.1), (98.7  -0.1  -5.2), Main_floor, 5.843231  6.666977
3/26/2024 10:57:15 AM,Room_121, 3.963434, (100.3  1.6  -8.1), (98.5  -0.1  -5.0), Main_floor, 5.857773  6.782852
3/26/2024 10:57:15 AM,Room_121, 4.009851, (100.3  1.6  -8.1), (98.5  -0.1  -5.0), Main_floor, 5.892044  6.790192
3/26/2024 10:57:15 AM,Room_121, 4.058587, (100.3  1.7  -8.2), (98.5  -0.1  -5.0), Main_floor, 5.904114  6.757828
3/26/2024 10:57:15 AM,Room_121, 4.136383, (100.3  1.7  -8.2), (98.4  -0.1  -4.9), Main_floor, 5.87381  6.712509
3/26/2024 10:57:15 AM,Room_121, 4.111479, (100.3  1.7  -8.2), (98.4  -0.1  -4.9), Main_floor, 5.883301  6.579071
3/26/2024 10:57:15 AM,Room_121, 4.011433, (100.3  1.7  -8.2), (98.4  -0.1  -5.1), Main_floor, 5.878906  6.565536
3/26/2024 10:57:15 AM,Room_121, 3.471786, (100.3  1.6  -8.2), (98.7  -0.1  -5.6), Main_floor, 5.655319  6.883881
3/26/2024 10:57:15 AM,Room_121, 2.526029, (100.3  1.6  -8.2), (99.1  -0.1  -6.8), Main_floor, -1  6.007813
3/26/2024 10:57:15 AM,Room_121, 2.358759, (100.3  1.6  -8.1), (99.0  -0.1  -7.4), Main_floor, 5.089142  -1
3/26/2024 10:57:15 AM,Room_121, 2.215191, (100.3  1.6  -8.2), (99.4  -0.1  -7.1), Main_floor, 5.310623  5.988663
3/26/2024 10:57:15 AM,Room_121, 2.841494, (100.3  1.6  -8.2), (98.7  -0.1  -6.6), Main_floor, -1  6.565552
3/26/2024 10:57:15 AM,Room_121, 2.729809, (100.3  1.6  -8.2), (98.8  -0.1  -6.7), Main_floor, -1  6.281708
3/26/2024 10:57:15 AM,Room_121, 2.838309, (100.3  1.6  -8.2), (98.8  -0.1  -6.5), Main_floor, -1  6.194275
3/26/2024 10:57:15 AM,Room_121, 3.561498, (100.3  1.6  -8.2), (98.6  -0.1  -5.6), Main_floor, -1  5.617798
3/26/2024 10:57:15 AM,Room_121, 3.176579, (100.3  1.6  -8.2), (98.5  -0.1  -6.2), Main_floor, 6.877655  6.260818
3/26/2024 10:57:15 AM,Room_121, 7.801024, (100.3  1.6  -8.2), (95.8  -0.1  -2.1), Main_floor, -1  6.089722
3/26/2024 10:57:15 AM,Room_121, 2.788589, (100.4  1.6  -8.2), (100.1  -0.1  -6.0), Main_floor, 6.37207  6.069977
3/26/2024 10:57:15 AM,Room_121, 3.040074, (100.4  1.6  -8.2), (100.2  -0.1  -5.7), Main_floor, 7.073013  6.140823
3/26/2024 10:57:15 AM,Room_121, 1.581822, (32.6  1.6  134.8), (31.7  0.8  135.8), w3, -1  6.584793
3/26/2024 10:57:15 AM,Room_121, 1.408926, (32.6  1.6  134.8), (31.8  1.1  135.8), w3, 6.069794  5.919983
3/26/2024 10:57:15 AM,Room_121, 1.487475, (32.6  1.6  134.8), (31.8  1.0  135.8), w3, -1  5.975601
3/26/2024 10:57:15 AM,Room_121, 1.504769, (32.6  1.6  134.8), (31.9  0.9  135.8), w3, 6.249985  6.547409
3/26/2024 10:57:15 AM,Room_121, 1.512399, (32.6  1.6  134.7), (31.9  0.9  135.8), w3, 6.265488  6.425873
3/26/2024 10:57:15 AM,Room_121, 1.514423, (32.6  1.6  134.7), (31.9  0.8  135.8), w3, 6.31813  6.947067
3/26/2024 10:57:15 AM,Room_121, 1.474197, (32.6  1.6  134.7), (32.0  0.8  135.8), w3, 6.171707  7.132172
3/26/2024 10:57:15 AM,Room_121, 1.497392, (32.7  1.6  134.8), (32.0  0.8  135.8), w3, 6.196793  6.891693
3/26/2024 10:57:15 AM,Room_121, 1.316967, (32.7  1.6  134.8), (32.3  0.9  135.8), w3, 7.334412  6.457245
3/26/2024 10:57:15 AM,Room_121, 1.942954, (32.7  1.6  134.7), (31.5  0.5  135.8), w3, 5.581039  6.263672
3/26/2024 10:57:15 AM,Room_121, 2.287881, (32.7  1.6  134.7), (31.2  0.3  135.8), w3, 5.801971  6.466599
3/26/2024 10:57:15 AM,Room_121, 2.477971, (32.7  1.6  134.7), (31.0  0.1  135.6), Floor 1, 5.75296  5.981735
3/26/2024 10:57:15 AM,Room_121, 2.565998, (32.7  1.6  134.7), (30.8  0.1  135.5), Floor 1, 5.701813  5.778549
3/26/2024 10:57:15 AM,Room_121, 2.531397, (32.7  1.6  134.7), (30.9  0.1  135.5), Floor 1, 5.596786  6.065399
3/26/2024 10:57:15 AM,Room_121, 2.625556, (32.7  1.6  134.7), (30.8  0.1  135.6), Floor 1, 5.712616  6.201141
3/26/2024 10:57:15 AM,Room_121, 2.823818, (32.7  1.6  134.6), (30.5  0.1  135.3), Floor 1, 5.868774  6.147293
3/26/2024 10:57:15 AM,Room_121, 2.752912, (32.7  1.6  134.6), (30.6  0.1  135.5), Floor 1, 5.728943  6.455963
3/26/2024 10:57:15 AM,Room_121, 2.381394, (32.7  1.6  134.6), (31.1  0.1  135.3), Floor 1, 5.426056  6.221558
3/26/2024 10:57:15 AM,Room_121, 2.078671, (32.7  1.6  134.6), (31.5  0.1  135.2), Floor 1, 4.857056  6.286438
3/26/2024 10:57:15 AM,Room_121, 2.599672, (32.7  1.6  134.6), (30.7  0.1  134.6), Floor 1, 5.033569  -1
3/26/2024 10:57:15 AM,Room_121, 2.372482, (32.7  1.6  134.5), (31.0  0.1  134.2), Floor 1, 5.407578  5.97934
3/26/2024 10:57:15 AM,Room_121, 2.255274, (32.7  1.6  134.5), (31.2  0.1  134.0), Floor 1, 5.480316  6.155762
3/26/2024 10:57:15 AM,Room_121, 2.520404, (32.8  1.6  134.5), (31.0  0.1  133.6), Floor 1, 5.898941  6.053024
3/26/2024 10:57:15 AM,Room_121, 2.458624, (32.8  1.6  134.5), (31.2  0.1  133.4), Floor 1, 5.797256  6.205109
3/26/2024 10:57:15 AM,Room_121, 2.397087, (32.7  1.6  134.5), (31.5  0.1  133.2), Floor 1, 5.780914  6.255478
3/26/2024 10:57:15 AM,Room_121, 2.40206, (32.7  1.6  134.5), (31.6  0.1  133.1), Floor 1, 5.831955  6.218079
3/26/2024 10:57:15 AM,Room_121, 2.402927, (32.7  1.6  134.5), (31.7  0.1  133.0), Floor 1, 5.878342  6.163803
3/26/2024 10:57:15 AM,Room_121, 2.338639, (32.8  1.6  134.5), (32.0  0.1  132.9), Floor 1, 5.867188  6.099762
3/26/2024 10:57:15 AM,Room_121, 2.36456, (32.8  1.6  134.4), (32.1  0.1  132.8), Floor 1, 5.846481  6.019714
3/26/2024 10:57:15 AM,Room_121, 2.567546, (32.8  1.6  134.4), (32.2  0.1  132.5), Floor 1, 5.637817  5.859589
