Starting experiment at 05/27/2024 12:01:50
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
12:02:01, Room_121, 1.52242, (29.2  1.5  131.0), (29.5  0.4  132.1), Table, 5.30307  5.335312
12:02:01, Room_121, 1.626608, (29.2  1.5  131.0), (29.5  0.4  132.2), Table, 5.521179  5.437729
12:02:01, Room_121, 1.614544, (29.1  1.5  131.1), (29.3  0.4  132.2), Table, 5.350693  5.550095
12:02:01, Room_121, 1.618469, (29.2  1.5  131.0), (29.4  0.4  132.2), Table, 5.301315  5.461243
12:02:01, Room_121, 1.562129, (29.1  1.5  131.0), (29.3  0.4  132.2), Table, 5.543472  5.456665
12:02:01, Room_121, 1.545149, (29.1  1.5  131.0), (29.2  0.4  132.1), Table, 5.733292  5.480499
12:02:01, Room_121, 1.555836, (29.1  1.5  131.0), (29.2  0.4  132.2), Table, 5.389725  5.620148
12:02:01, Room_121, 1.558616, (29.1  1.5  131.0), (29.3  0.4  132.1), Table, 5.371231  5.544266
12:02:01, Room_121, 1.572372, (29.1  1.5  131.0), (29.2  0.4  132.2), Table, 5.423599  5.50322
12:02:01, Room_121, 1.61312, (29.1  1.5  131.0), (29.2  0.4  132.2), Table, 5.43222  5.63063
12:02:01, Room_121, 1.565715, (29.1  1.5  131.0), (29.2  0.4  132.1), Table, 4.992279  5.502472
12:02:01, Room_121, 1.870004, (29.1  1.5  131.0), (29.6  0.4  132.4), Table, 5.753784  5.607941
12:02:01, Room_121, 1.865676, (29.1  1.5  131.0), (29.6  0.4  132.4), Table, 5.670746  5.61824
12:02:02, Room_121, 1.859603, (29.1  1.5  131.0), (29.7  0.4  132.4), Table, 5.606598  5.612473
12:02:02, Room_121, 1.884971, (29.1  1.5  131.0), (29.7  0.4  132.4), Table, 5.515945  5.553543
12:02:02, Room_121, 1.852099, (29.2  1.5  130.9), (29.7  0.4  132.3), Table, 5.784546  5.666473
12:02:02, Room_121, 1.874673, (29.2  1.5  130.9), (29.8  0.4  132.3), Table, 5.796051  5.626755
12:02:02, Room_121, 2.191967, (29.2  1.5  130.9), (29.9  0.4  132.7), Table, 5.479797  5.667557
12:02:02, Room_121, 2.290348, (29.1  1.5  130.9), (29.9  0.4  132.8), Table, 5.41539  5.56691
12:02:02, Room_121, 2.417641, (29.1  1.5  130.9), (29.9  0.4  132.9), Table, 5.482635  5.649826
12:02:02, Room_121, 2.386552, (29.1  1.5  130.9), (29.9  0.4  132.9), Table, 5.28775  5.604614
12:02:02, Room_121, 2.43007, (29.1  1.5  130.9), (29.9  0.4  132.9), Table, 5.214264  5.617508
12:02:02, Room_121, 2.42708, (29.2  1.5  130.9), (29.9  0.4  132.9), Table, 5.278275  5.617386
12:02:02, Room_121, 2.445307, (29.2  1.5  130.9), (30.0  0.4  132.9), Table, 5.27594  5.550095
12:02:02, Room_121, 2.415244, (29.2  1.5  130.9), (29.9  0.4  132.9), Table, 5.246292  5.55925
12:02:02, Room_121, 2.458938, (29.2  1.5  130.9), (29.9  0.4  132.9), Table, 5.070938  5.57753
12:02:02, Room_121, 2.478258, (29.2  1.5  130.8), (29.9  0.4  132.9), Table, 5.2742  5.500259
12:02:02, Room_121, 2.427561, (29.2  1.5  130.8), (29.9  0.4  132.9), Table, 5.343231  5.536819
12:02:02, Room_121, 2.141855, (29.2  1.5  130.8), (29.7  0.4  132.6), Table, 4.550034  5.155609
12:02:02, Room_121, 2.599152, (29.3  1.5  130.7), (30.2  0.4  132.9), Table, 5.351456  5.456909
12:02:02, Room_121, 2.572065, (29.3  1.5  130.7), (30.2  0.4  132.9), Table, 5.356201  5.409546
12:02:02, Room_121, 2.527462, (29.3  1.5  130.7), (30.1  0.4  132.8), Table, 5.366623  5.388702
12:02:02, Room_121, 2.585761, (29.3  1.5  130.7), (30.1  0.4  132.9), Table, 5.24028  5.398941
12:02:02, Room_121, 2.456835, (29.2  1.5  130.7), (30.1  0.4  132.8), Table, 5.209106  5.389328
12:02:02, Room_121, 2.426382, (29.2  1.5  130.7), (30.0  0.4  132.7), Table, 5.288239  5.426819
12:02:02, Room_121, 2.50098, (29.2  1.5  130.7), (30.1  0.4  132.8), Table, 5.127731  5.221252
12:02:02, Room_121, 2.544317, (29.2  1.5  130.7), (30.1  0.4  132.9), Table, 5.026428  5.421417
12:02:02, Room_121, 2.564321, (29.2  1.5  130.7), (30.1  0.4  132.9), Table, 5.045364  5.309891
12:02:02, Room_121, 2.545332, (29.2  1.5  130.7), (30.1  0.4  132.9), Table, 5.390137  5.367645
12:02:02, Room_121, 2.593199, (29.2  1.5  130.7), (30.1  0.4  132.9), Table, 5.158691  5.318222
12:02:02, Room_121, 2.560109, (29.2  1.5  130.7), (30.0  0.4  132.9), Table, 5.089828  5.352371
12:02:02, Room_121, 2.527445, (29.2  1.5  130.7), (30.0  0.4  132.9), Table, 5.15239  5.34285
12:02:02, Room_121, 2.575138, (29.2  1.5  130.7), (30.0  0.4  132.9), Table, 5.33165  5.198441
12:02:02, Room_121, 2.498664, (29.2  1.5  130.7), (30.0  0.4  132.8), Table, 5.306122  5.309677
12:02:02, Room_121, 2.467169, (29.2  1.5  130.7), (30.0  0.4  132.8), Table, 5.314178  5.271042
12:02:02, Room_121, 2.480215, (29.3  1.5  130.7), (29.9  0.4  132.8), Table, 5.133911  5.321533
12:02:02, Room_121, 2.411768, (29.3  1.5  130.7), (29.9  0.4  132.7), Table, 5.147659  5.432938
12:02:02, Room_121, 1.928402, (29.3  1.5  130.7), (29.7  0.4  132.2), Table, 5.161407  5.474304
12:02:02, Room_121, 1.645757, (29.3  1.5  130.7), (29.6  0.4  131.9), Table, 5.083969  5.400406
12:02:02, Room_121, 1.620205, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.19957  5.659714
12:02:02, Room_121, 1.634296, (29.3  1.5  130.7), (29.6  0.4  131.9), Table, 5.43959  5.409378
12:02:03, Room_121, 1.640405, (29.3  1.5  130.7), (29.6  0.4  131.9), Table, 5.485657  5.429047
12:02:03, Room_121, 1.628422, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.470383  5.291275
12:02:03, Room_121, 1.608627, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.47258  5.426712
12:02:03, Room_121, 1.613869, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.175308  5.46698
12:02:03, Room_121, 1.616921, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.330246  5.358383
12:02:03, Room_121, 1.614833, (29.3  1.5  130.7), (29.4  0.4  131.9), Table, 5.43071  5.299194
12:02:03, Room_121, 1.615732, (29.3  1.5  130.7), (29.4  0.4  131.9), Table, 5.40358  5.311035
12:02:03, Room_121, 1.597552, (29.3  1.5  130.7), (29.4  0.4  131.8), Table, 5.438217  5.289291
12:02:03, Room_121, 1.58528, (29.3  1.5  130.7), (29.5  0.4  131.8), Table, 5.369781  5.373596
12:02:03, Room_121, 1.604646, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.308746  5.489639
12:02:03, Room_121, 1.645583, (29.3  1.5  130.7), (29.6  0.4  131.9), Table, 5.360962  5.386597
12:02:03, Room_121, 1.627608, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.308609  5.504303
12:02:03, Room_121, 1.628219, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.404236  5.48851
12:02:03, Room_121, 1.635995, (29.3  1.5  130.7), (29.6  0.4  131.8), Table, 5.420288  5.517502
12:02:03, Room_121, 1.639093, (29.3  1.5  130.7), (29.7  0.4  131.8), Table, 5.42186  5.488586
12:02:03, Room_121, 1.554351, (29.3  1.5  130.7), (29.4  0.4  131.8), Table, 5.206299  5.437119
12:02:03, Room_121, 1.589376, (29.3  1.5  130.7), (29.4  0.4  131.8), Table, 5.282379  5.361588
12:02:03, Room_121, 1.575794, (29.3  1.5  130.7), (29.5  0.4  131.8), Table, 5.231674  5.333038
12:02:03, Room_121, 1.584771, (29.3  1.5  130.7), (29.5  0.4  131.8), Table, 5.072052  5.191071
12:02:03, Room_121, 1.510298, (29.3  1.5  130.7), (29.4  0.4  131.7), Table, 4.574219  5.492126
12:02:03, Room_121, 2.85481, (29.2  1.5  130.7), (30.1  0.4  133.2), Table, 5.146973  5.144089
12:02:03, Room_121, 2.731009, (29.3  1.5  130.7), (30.1  0.4  133.0), Table, 5.08284  5.342529
12:02:03, Room_121, 2.726157, (29.3  1.5  130.7), (30.1  0.4  133.0), Table, 5.135544  5.255295
12:02:03, Room_121, 2.711414, (29.3  1.5  130.7), (30.1  0.4  133.0), Table, 5.116135  5.26825
12:02:03, Room_121, 2.672198, (29.3  1.5  130.7), (30.1  0.4  133.0), Table, 5.045914  5.286575
12:02:03, Room_121, 2.693292, (29.3  1.5  130.7), (30.1  0.4  133.0), Table, 5.060257  5.258179
12:02:03, Room_121, 2.340352, (29.3  1.5  130.7), (30.0  0.5  132.6), Chess_01, 4.864899  5.194153
12:02:03, Room_121, 2.23427, (29.3  1.5  130.7), (30.0  0.4  132.5), Table, 4.918381  5.185913
12:02:03, Room_121, 2.233555, (29.3  1.5  130.7), (29.9  0.4  132.5), Table, 4.931473  5.147659
12:02:03, Room_121, 2.175487, (29.3  1.5  130.7), (29.9  0.4  132.4), Table, 4.850372  5.230591
12:02:03, Room_121, 2.154982, (29.3  1.5  130.7), (29.9  0.4  132.4), Table, 4.994431  5.281845
12:02:04, Room_121, 2.116224, (29.3  1.5  130.7), (29.9  0.4  132.4), Table, 5.038208  5.332764
12:02:04, Room_121, 2.075386, (29.3  1.5  130.7), (29.9  0.4  132.3), Table, 5.060104  5.417007
12:02:04, Room_121, 2.084592, (29.3  1.5  130.7), (29.9  0.4  132.3), Table, 5.15918  5.376038
12:02:04, Room_121, 2.130105, (29.3  1.5  130.7), (30.2  0.4  132.3), Table, 5.291733  5.47316
12:02:04, Room_121, 2.134034, (29.3  1.5  130.7), (30.2  0.4  132.2), Table, 5.293259  5.464111
12:02:04, Room_121, 2.197062, (29.3  1.5  130.7), (30.3  0.4  132.3), Table, 5.42067  5.435028
12:02:04, Room_121, 2.15873, (29.3  1.5  130.7), (30.3  0.4  132.3), Table, 5.334167  5.368576
12:02:04, Room_121, 2.203316, (29.3  1.5  130.7), (30.3  0.4  132.3), Table, 5.24646  5.530121
12:02:04, Room_121, 2.237309, (29.3  1.5  130.7), (30.3  0.4  132.4), Table, 5.279129  5.425552
12:02:04, Room_121, 2.210736, (29.2  1.5  130.7), (30.2  0.4  132.4), Table, 5.204834  5.513153
