Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/25/2024 3:00:17 PM,Room_121, 7.808632, (99.9  1.7  -8.4), (98.9  0.1  -0.8), Main_floor, 5.52858  5.826981
3/25/2024 3:00:17 PM,Room_121, 7.774919, (99.9  1.7  -8.4), (98.9  0.1  -0.8), Main_floor, 5.396729  5.568756
3/25/2024 3:00:17 PM,Room_121, 7.497345, (99.9  1.7  -8.4), (98.8  0.1  -1.1), Main_floor, 5.534225  5.726196
3/25/2024 3:00:17 PM,Room_121, 7.581938, (99.9  1.7  -8.4), (98.9  0.1  -1.0), Main_floor, 5.538879  5.429382
3/25/2024 3:00:17 PM,Room_121, 7.90447, (99.9  1.7  -8.3), (98.8  0.1  -0.7), Main_floor, 5.477737  5.685501
3/25/2024 3:00:17 PM,Room_121, 7.542947, (100.0  1.7  -8.3), (99.0  0.1  -1.0), Main_floor, 5.565887  5.68071
3/25/2024 3:00:17 PM,Room_121, 7.855847, (100.0  1.7  -8.3), (98.9  0.1  -0.7), Main_floor, 5.581818  5.808197
3/25/2024 3:00:17 PM,Room_121, 7.621795, (100.0  1.7  -8.3), (99.0  0.1  -0.9), Main_floor, 5.609299  5.939972
3/25/2024 3:00:17 PM,Room_121, 7.601951, (100.0  1.7  -8.3), (98.9  0.1  -1.0), Main_floor, 5.684464  5.972458
3/25/2024 3:00:17 PM,Room_121, 7.335113, (100.0  1.7  -8.3), (99.0  0.1  -1.2), Main_floor, 5.622208  5.990677
3/25/2024 3:00:17 PM,Room_121, 7.48976, (99.9  1.7  -8.3), (98.9  0.1  -1.1), Main_floor, 5.672318  5.861206
3/25/2024 3:00:17 PM,Room_121, 7.022614, (100.0  1.7  -8.3), (99.1  0.1  -1.5), Main_floor, 5.679565  5.843979
3/25/2024 3:00:17 PM,Room_121, 6.999671, (100.0  1.7  -8.3), (99.1  0.1  -1.6), Main_floor, 5.665253  5.81218
3/25/2024 3:00:17 PM,Room_121, 6.494825, (100.0  1.7  -8.3), (99.2  0.1  -2.1), Main_floor, 5.492981  5.678574
3/25/2024 3:00:17 PM,Room_121, 5.505615, (100.0  1.7  -8.3), (99.4  0.1  -3.1), Main_floor, 5.292145  5.774246
3/25/2024 3:00:17 PM,Room_121, 1.963785, (99.9  1.7  -8.3), (99.9  0.1  -7.3), Main_floor, 5.181244  5.518585
3/25/2024 3:00:17 PM,Room_121, 1.984579, (99.9  1.7  -8.3), (99.8  0.1  -7.2), Main_floor, 5.245499  5.717499
3/25/2024 3:00:17 PM,Room_121, 1.973267, (99.9  1.7  -8.3), (99.8  0.1  -7.2), Main_floor, 5.144989  5.669174
3/25/2024 3:00:17 PM,Room_121, 2.030577, (99.9  1.7  -8.3), (99.8  0.1  -7.1), Main_floor, 5.281799  5.702225
