subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
josh,0,Room_55,stay,yes,A,1,left,B,B,58.8791,58.95954,0,0,58.87087,58.97365,0.03301195,-0.2392004,True,58.9213,58.92755,0.001420793,-0.03797998,Right,2.745049,
josh,1,Room_56,stay,no,B,1,left,A,A,71.94855,58.125,0,0,71.96424,58.05028,0.114728,0.1711804,True,71.98156,58.08609,-0.02284773,-0.01704646,Right,4.639468,
josh,2,Room_95,stay,no,A,1,left,B,B,59.2364,99.12441,0,0,59.24339,99.07625,0.003420308,-0.219065,True,59.25845,99.04538,0.01105666,-0.1329417,Right,3.182313,
josh,3,Room_113,stay,yes,A,1,left,A,A,38.875,118.9486,0,0,38.9384,118.9344,0.06006664,-0.217024,True,38.91354,118.9335,0.005876149,-0.09965607,Right,3.760443,
josh,4,Room_48,stay,yes,A,1,left,A,A,89.23045,49.11431,0,0,89.23363,49.08686,0.0002514325,-0.2418236,True,89.24234,49.19376,-0.003646181,-0.01613222,Right,2.033416,
josh,5,Room_59,stay,no,A,1,left,A,A,100.3907,54.78418,0,0,100.3599,54.77307,0.2434422,0.01609117,True,100.3375,54.79522,0.1101546,-0.007755056,Left,3.021561,
josh,6,Room_47,stay,yes,A,1,left,B,B,81.95954,48.1209,0,0,81.92006,48.0871,0.1964934,0.24269,True,81.9038,48.09283,-0.12756,-0.168655,Right,5.208918,
josh,7,Room_21,stay,no,B,1,left,B,B,17.77526,26.61391,0,0,17.75175,26.61371,0.1464027,-0.1793172,True,17.82185,26.62013,0.1590552,-0.1778225,Left,4.019523,
josh,8,Room_23,stay,no,B,1,left,B,A,38.26487,25.55586,0,0,38.28664,25.54006,0.1926004,-0.1863589,True,38.30962,25.59279,0.1900354,-0.123472,Left,5.597315,
josh,9,Room_94,stay,yes,A,1,left,B,A,50.40092,99.2216,0,0,50.41018,99.21072,-0.03536469,-0.2307941,True,50.40915,99.14791,-0.01511301,-0.1342828,Right,4.238538,
josh,10,Room_83,stay,yes,B,1,left,A,B,41.94855,88.125,0,0,41.96457,88.09524,-0.13109,-0.1885919,True,41.93734,88.1032,0.099939,0.1204236,Right,3.530274,
josh,11,Room_104,stay,no,A,1,left,A,B,47.78418,106.6093,0,0,47.73189,106.6357,0.188773,-0.1806192,True,47.74062,106.6415,0.1141362,-0.1072996,Left,3.380535,
josh,12,Room_28,stay,no,A,1,left,A,B,91.94855,28.125,0,0,91.97984,28.14437,-0.1392689,-0.2124741,True,91.98096,28.10862,-0.05471037,-0.07653844,Right,3.310168,
josh,13,Room_72,stay,no,A,1,left,B,A,32.25746,76.99095,0,0,32.26433,76.94357,0.1728599,0.1478451,True,32.19491,76.99673,0.1415688,0.1212016,Left,2.54074,
josh,14,Room_81,stay,yes,A,1,left,B,A,20.38309,84.77526,0,0,20.33961,84.75272,0.2486625,0.008313752,True,20.34324,84.81821,0.1849644,0.003383422,Left,4.072296,
josh,15,Room_102,stay,yes,B,1,left,A,B,27.88569,106.2305,0,0,27.83208,106.2454,0.1945088,-0.1621417,True,27.88116,106.2572,0.08405903,-0.08936865,Left,3.300149,
josh,16,Room_63,walk,no,A,2,left,B,A,37.88569,67.76955,0,0,37.95803,65.87811,0.1946767,-0.1472949,True,37.84697,67.80975,0.06055319,-0.1170337,Right,4.353382,
josh,17,Room_112,walk,no,A,2,left,A,B,31.458,118.7235,0,0,32.3006,116.9551,0.1690877,0.1538791,True,31.48255,118.7272,-0.07904405,-0.1714415,Left,3.921965,
josh,18,Room_40,walk,no,A,2,left,B,A,109.6093,34.78418,0,0,111.4569,35.21738,0.2770009,0.07451805,True,109.5702,34.78275,0.1553745,-0.02936972,Left,3.653728,
josh,19,Room_29,walk,yes,A,2,left,A,B,102.1244,27.7636,0,0,101.9312,25.85062,0.20762,0.09075201,True,102.1196,27.73885,0.101579,0.09354091,Right,4.846448,
josh,20,Room_60,walk,no,B,2,left,B,A,111.125,58.94856,0,0,109.2752,59.10791,0.0246054,-0.2205252,True,111.1355,58.949,-0.07733237,-0.1932237,Left,3.576078,
josh,21,Room_100,walk,no,B,2,left,A,B,110.4009,99.2216,0,0,111.9646,98.11978,0.1471602,0.2033671,True,110.4422,99.22997,-0.01976431,-0.03663213,Right,4.135551,
josh,22,Room_82,walk,no,B,2,left,A,B,32.11823,86.2194,0,0,30.7775,84.83485,0.2251839,0.02700483,True,32.13226,86.17157,0.1299094,0.07894334,Right,5.453744,
josh,23,Room_103,walk,yes,A,2,left,B,A,38.875,105.0514,0,0,40.77152,104.8175,0.2638329,0.02021713,True,38.82911,105.0359,0.08308025,-0.03131278,Left,3.436914,
josh,24,Room_61,walk,yes,A,2,left,B,B,21.44627,68.7236,0,0,19.64839,69.28922,-0.0007506436,-0.2031743,True,21.49927,68.72917,-0.02782723,-0.02989457,Left,6.196475,
josh,25,Room_8,walk,no,B,2,left,B,B,88.05145,5.875,0,0,89.57967,4.710664,0.1884432,-0.03747516,True,87.99396,5.884574,0.08849519,-0.06566212,Left,4.076252,
josh,26,Room_55,walk,yes,B,2,left,B,B,60.76955,59.11431,0,0,58.85449,58.95637,0.01870571,-0.2577862,True,60.79807,59.14854,-0.0375655,-0.05076449,Right,6.799024,
josh,27,Room_60,walk,yes,A,2,left,A,A,109.2364,59.12442,0,0,111.121,58.9631,-0.08526552,-0.2164932,True,109.2602,59.14421,0.01437445,-0.1536573,Right,4.65511,
josh,28,Room_93,walk,no,A,2,left,A,A,37.7784,97.40092,0,0,38.8748,98.98092,0.01993986,-0.2596356,True,37.77541,97.43938,0.1170861,-0.1646105,Left,1.515489,
josh,29,Room_80,walk,yes,B,2,left,B,B,107.7842,76.60929,0,0,108.7978,75.01617,0.2073071,-0.08041172,True,107.7141,76.61378,0.08014017,-0.1092298,Right,3.993462,
josh,30,Room_115,walk,yes,A,2,left,A,A,62.12441,117.7636,0,0,62.03698,115.7395,0.1466382,0.06770473,True,62.16759,117.7185,0.0405758,0.02281763,Right,3.338265,
josh,31,Room_75,walk,yes,B,2,left,A,A,57.87559,76.2364,0,0,58.03334,78.16863,0.1232467,-0.2295314,True,57.79244,76.25439,0.0480729,-0.06778019,Right,3.694441,
josh,32,Room_42,stay,no,A,3,left,B,B,31.458,48.7235,0,0,31.50761,48.75449,-0.1074941,-0.1706815,True,31.43898,48.7329,-0.08041984,-0.1288543,Left,4.133142,
josh,33,Room_66,stay,yes,A,3,left,A,A,72.1143,67.76955,0,0,72.15291,67.73202,0.1532004,0.1885013,True,72.11897,67.80129,0.1110811,0.1000451,Right,2.534928,
