subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p01_part2,0,Room_72,walk,no,B,8,left,B,A,31.44627,75.2764,0,0,32.41386,76.9962,0.237647,0.1490716,31.4649,75.35236,0.3321801,0.06009699,Left,9.750434,
p01_part2,0,Room_72,walk,no,B,8,left,A,B,22.11823,46.2194,0,0,20.75228,44.96809,0.2960716,0.02257388,22.04485,46.28337,0.2688279,0.19781,Left,9.859761,
p01_part2,1,Room_41,walk,no,A,8,left,A,A,67.87559,76.2364,0,0,68.08106,78.1202,0.1285752,-0.2404283,67.99813,76.27329,0.2830213,-0.2377335,Right,11.42725,
p01_part2,2,Room_76,walk,yes,A,8,left,B,B,48.05145,88.125,0,0,47.9289,86.29547,0.2542584,-0.1944309,48.11289,88.09898,0.17765,-0.3569431,Left,12.44955,
p01_part2,3,Room_84,walk,yes,B,8,left,B,A,98.05145,5.875001,0,0,99.66791,4.858565,0.3413943,-0.07654337,98.16563,5.878966,0.2451779,-0.2137014,Left,11.35126,
p01_part2,4,Room_9,walk,no,A,8,left,A,B,41.1209,5.040457,0,0,39.29155,4.961709,0.2887399,-0.09683718,41.08742,5.198921,0.3387719,0.0729825,Right,10.48257,
p01_part2,5,Room_3,walk,yes,A,8,left,B,B,91.44627,15.2764,0,0,92.22591,17.02465,0.2797995,0.2195926,91.45323,15.37105,0.3011421,0.06629135,Left,8.819357,
p01_part2,6,Room_18,walk,no,B,8,left,B,B,68.2764,98.44627,0,0,67.81963,96.62373,0.1928519,-0.2541497,68.24908,98.41615,0.1432525,-0.3383946,Right,10.24955,
p01_part2,7,Room_96,walk,yes,B,8,left,B,B,110.7695,64.88569,0,0,112.0972,66.26878,0.2496195,0.1382841,110.7743,64.958,0.2852597,0.006011799,Left,8.606627,
p01_part2,8,Room_70,walk,no,B,8,left,B,A,39.60929,79.21582,0,0,38.04245,78.09875,0.09848244,-0.3993177,39.57452,79.16698,-0.01460152,-0.3458597,Right,9.463034,
p01_part2,9,Room_73,walk,yes,A,8,left,A,A,40.7636,104.8756,0,0,38.90187,105.0069,0.2750147,-0.07799732,40.68078,105.0579,0.3856075,0.1071179,Right,10.39542,
p01_part2,10,Room_103,walk,yes,B,8,left,A,A,110.7636,24.87559,0,0,108.8885,25.10441,0.2896304,-0.09531797,110.7253,25.00541,0.3888242,0.1031863,Left,10.36067,
p01_part2,11,Room_30,walk,no,A,8,left,A,B,69.59908,84.7784,0,0,68.06895,85.86788,0.1877547,-0.151068,69.60216,84.92762,0.4009962,-0.03101269,Right,10.54004,
p01_part2,12,Room_86,walk,yes,B,8,left,A,B,32.11823,86.2194,0,0,30.7687,84.92535,0.2566096,5.47654E-06,32.00906,86.30818,0.2643658,0.1814989,Left,10.78384,
p01_part2,13,Room_82,walk,no,A,8,left,B,A,91.125,88.94855,0,0,89.23914,89.14764,0.02876441,-0.2511289,91.06841,88.99783,-0.1215973,-0.3233027,Right,12.27203,
p01_part2,14,Room_88,walk,yes,A,8,left,A,A,67.7784,7.400915,0,0,68.87144,8.980393,0.04424295,-0.235391,67.89231,7.370114,0.293849,-0.2774386,Left,10.84686,
p01_part2,15,Room_6,walk,no,B,8,left,A,B,48.05145,45.875,0,0,48.12186,45.9458,0.2761297,-0.0969209,48.06259,45.97032,0.2838815,-0.1493021,Left,12.22913,
p01_part2,16,Room_44,stay,no,A,9,left,A,B,17.78418,36.60929,0,0,17.85113,36.58967,0.1751494,-0.2022667,17.79676,36.65166,0.2527587,-0.2230058,Left,9.604958,
p01_part2,17,Room_31,stay,no,B,9,left,B,B,69.2364,49.12442,0,0,69.26693,49.12028,0.02792981,-0.2925548,69.1716,49.05515,0.08083673,-0.3714971,Right,12.14007,
p01_part2,18,Room_46,stay,yes,A,9,left,B,A,111.7351,8.444138,0,0,111.7358,8.492386,-0.1514787,-0.2389134,111.6318,8.505778,-0.1106704,-0.2377932,Right,11.14948,
