subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p03,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.90046,133.0435,0.137888,0.108324,32.0938,133.2774,-0.05403828,-0.4897765,No response,N/A,
p03,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.75775,132.024,0.1872452,0.09290414,61.75925,132.0896,-0.2778069,-0.4267977,Left,10.84899,
p03,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.34301,131.7503,0.1687227,-0.09204578,98.41454,131.7485,0.5425879,-0.196304,Left,9.350721,
p03,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.8047,135.0955,-0.06348419,-0.1965598,110.6247,135.0809,-0.03943748,-0.07690877,Right,12.87102,
p03,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.13555,133.75,0.1307612,-0.174846,68.14659,133.8041,0.1599002,-0.1800881,Left,10.04641,
p03,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.68908,131.1323,0.2612875,0.02488459,21.78464,132.2269,0.5065241,0.0851377,Left,10.72283,
p03,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,38.0053,133.3967,0.09610152,-0.1442934,39.00576,134.8507,0.02430754,-0.1348305,Left,9.272799,
p03,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,48.07135,132.3889,0.1720087,-0.1127932,49.2912,131.1034,0.2037851,-0.03881606,Left,9.210504,
p03,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.8427,134.1428,0.1174689,0.1637548,91.98367,132.4029,0.1677685,0.0880761,Left,9.699445,
p03,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.02735,132.2751,0.1786427,-0.133333,79.25596,131.1335,0.1898274,-0.04655731,Left,12.20562,
p03,0,Room_55,stay,yes,A,1,left,A,B,60.76955,59.11431,0,0,60.79352,59.00852,-0.04447521,-0.2337014,60.68881,59.01805,-0.04015625,-0.1991847,Right,11.2158,
p03,0,Room_55,stay,yes,A,1,left,B,B,70.40092,59.2216,0,0,70.35265,59.06936,-0.0483246,-0.2456695,70.3956,58.90387,-0.03529819,-0.3319826,Left,8.751941,
p03,1,Room_56,stay,no,B,1,left,A,B,61.125,98.94855,0,0,61.01312,98.67253,-0.07827257,-0.2138046,61.03257,98.73193,-0.08238117,-0.2452246,Left,7.602034,
p03,2,Room_95,stay,no,A,1,left,B,A,37.7784,117.4009,0,0,37.9197,117.3234,0.1221417,-0.2425683,38.03181,117.3999,0.3256946,-0.3913166,Right,11.80747,
p03,3,Room_113,stay,yes,A,1,left,A,A,89.23045,49.11431,0,0,89.31646,48.86423,0.01944774,-0.2838753,89.33777,48.86562,0.1039228,-0.5397332,Left,12.46079,
p03,4,Room_48,stay,yes,A,1,left,A,A,100.3907,54.78418,0,0,100.3009,54.96461,0.2903101,0.01578037,100.2939,54.92945,0.3456638,0.06131031,Left,12.1828,
p03,5,Room_59,stay,no,A,1,left,B,A,81.95954,48.1209,0,0,81.76635,48.01299,0.1932244,0.2482191,81.70889,47.95834,-0.1624486,-0.293492,Left,10.21839,
p03,6,Room_47,stay,yes,A,1,left,A,B,18.2764,28.44327,0,0,18.38033,28.28747,0.08342987,-0.2579937,18.46233,28.37472,0.08804677,-0.1964081,Left,9.731194,
p03,7,Room_21,stay,no,B,1,left,A,A,37.78418,27.39071,0,0,38.0755,27.32074,0.1378749,-0.2438749,37.92927,27.38681,0.1071112,-0.1583396,Left,9.117849,
p03,8,Room_23,stay,no,B,1,left,A,A,51.94855,98.125,0,0,51.94855,98.125,0,0,51.94855,98.125,0,0,No response,N/A,
