subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p04,0,Room_55,stay,yes,A,1,left,B,B,58.8791,58.95954,0,0,58.85342,59.0977,0.01133605,-0.1844618,True,58.82273,59.02292,0.02013028,-0.1150863,Right,2.869737,
p04,0,Room_55,stay,yes,A,1,left,A,A,71.94855,58.125,0,0,71.99823,58.17387,0.1179186,0.1200794,True,72.01692,58.15837,0.09930155,0.04278676,Left,1.699578,
p04,1,Room_56,stay,no,B,1,left,B,B,59.2364,99.12441,0,0,59.06661,99.14465,-0.04140001,-0.1979944,True,59.10721,99.14146,-0.01133529,-0.107942,Left,1.409364,
p04,2,Room_95,stay,no,A,1,left,A,A,38.875,118.9486,0,0,38.86375,119.0144,0.03605318,-0.1608214,True,38.88647,118.9526,0.00179067,-0.01462856,Right,2.915101,
p04,3,Room_113,stay,yes,A,1,left,A,A,89.23045,49.11431,0,0,89.19507,49.19759,-0.03939376,-0.1584019,True,89.21798,49.20564,-0.05034786,-0.08869101,Right,2.55995,
p04,4,Room_48,stay,yes,A,1,left,A,A,100.3907,54.78418,0,0,100.3811,54.6376,0.1777084,0.01586065,True,100.4146,54.67085,0.09092727,-0.008000033,Left,1.629557,
p04,5,Room_59,stay,no,A,1,left,B,B,81.95954,48.1209,0,0,82.04398,48.22131,0.1641364,0.1537706,True,82.0143,48.22093,-0.06158756,-0.02279772,Right,3.84014,
p04,6,Room_47,stay,yes,A,1,left,B,B,17.77526,26.61391,0,0,17.58651,26.53055,0.08984235,-0.1797434,True,17.63887,26.60187,0.06132997,-0.03085779,Left,2.279092,
p04,7,Room_21,stay,no,B,1,left,B,A,38.26487,25.55586,0,0,38.20976,25.44895,0.1478297,-0.1879625,True,38.23381,25.49381,0.08338453,-0.08341297,Left,1.824253,
p04,8,Room_23,stay,no,B,1,left,B,A,50.40092,99.2216,0,0,50.44202,99.29167,-0.06536491,-0.1612818,True,50.35468,99.35551,-0.05297123,-0.11497,Left,2.508876,
p04,9,Room_94,stay,yes,A,1,left,A,B,41.94855,88.125,0,0,42.0218,88.15444,-0.1304691,-0.155461,True,41.95465,88.17113,-0.06770191,-0.0419586,Right,5.079869,
p04,10,Room_83,stay,yes,B,1,left,A,B,47.78418,106.6093,0,0,47.60525,106.5454,0.1038327,-0.1217574,True,47.65957,106.6536,0.05532936,-0.0786474,Left,5.944633,
p04,11,Room_104,stay,no,A,1,left,A,B,91.94855,28.125,0,0,92.11242,28.26069,0.1486548,0.08723074,True,92.04028,28.2039,0.0001596604,-0.03360548,Left,1.696965,
p04,12,Room_28,stay,no,A,1,left,B,A,32.25746,76.99095,0,0,32.32404,76.98254,0.1606776,0.09369639,True,32.31668,76.99308,0.0948814,0.04177606,Left,3.749875,
p04,13,Room_72,stay,no,A,1,left,B,A,20.38309,84.77526,0,0,20.33515,84.68272,0.2003251,-0.05060405,True,20.4153,84.70005,0.08559642,-0.02197564,Right,2.30275,
p04,14,Room_81,stay,yes,A,1,left,A,B,27.88569,106.2305,0,0,27.83755,106.2575,0.1900999,-0.2005605,True,27.82128,106.2305,0.1266671,-0.0672579,Left,2.912351,
p04,15,Room_102,stay,yes,B,1,left,B,A,37.88569,67.76955,0,0,38.0155,65.81978,0.08801509,-0.118474,True,37.78129,67.75483,-0.1408877,-0.05647626,Right,4.109662,
p04,16,Room_63,walk,no,A,2,left,A,B,31.458,118.7235,0,0,32.37688,116.9387,0.09317175,0.06191264,True,31.62375,118.8169,-0.0009553539,-0.07567177,Left,2.035602,
