Timestamp,subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TargetObject,TarPos_x,TarPos_z,Start_SubPos_x,Start_SubPos_z,Delay_time,TargetReached,End_SubPos_x,End_SubPos_z,response,RT,
05/30/2024 2:40 PM,pilot03_3a_practice,0,Room_121,stay,no,A,1,left,A,A,None,29.23046,130.9357,29.32245,130.927,21.73021,True,29.1397,131.0084,Right,2.59806,
05/30/2024 2:41 PM,pilot03_3a_practice,1,Room_122,stay,yes,A,1,left,A,A,Boat_01,59.23045,130.9357,59.2652,131.0834,9.114325,True,59.21915,130.989,Left,1.958845,
05/30/2024 2:41 PM,pilot03_3a_practice,2,Room_123,stay,yes,A,1,left,A,B,Counter_01,99.23045,130.9357,99.28297,131.1015,9.040418,True,99.18768,131.0397,Left,1.554031,
05/30/2024 2:42 PM,pilot03_3a_practice,3,Room_124,stay,no,A,1,left,B,A,None,111.1209,131.0905,111.0888,131.2414,6.429078,True,111.1444,131.1365,Right,2.54269,
05/30/2024 2:42 PM,pilot03_3a_practice,4,Room_125,stay,yes,A,1,left,A,B,Dinosaur_01,69.23045,130.9357,69.17669,131.0989,9.662176,True,69.22402,131.0282,Left,3.210415,
05/30/2024 2:43 PM,pilot03_3a_practice,5,Room_126,walk,yes,A,2,left,A,B,Seat_01,21.1209,131.0905,19.24007,131.1158,7.680593,True,21.17566,131.1013,Left,2.778291,
05/30/2024 2:43 PM,pilot03_3a_practice,6,Room_127,walk,no,A,2,left,B,A,None,39.23045,130.9357,41.03929,131.1413,5.42256,True,39.19067,131.0048,Right,1.87683,
05/30/2024 2:44 PM,pilot03_3a_practice,7,Room_128,walk,yes,A,2,left,A,A,RollerSkate_01,51.1209,131.0905,49.35888,131.0237,6.202573,True,51.10599,131.1753,Left,1.186065,
05/30/2024 2:44 PM,pilot03_3a_practice,8,Room_129,walk,no,A,2,left,B,B,None,89.23045,130.9357,91.01758,131.1877,5.548458,True,89.20748,131.136,Right,2.132387,
05/30/2024 2:45 PM,pilot03_3a_practice,9,Room_130,walk,no,A,2,left,A,A,None,81.1209,131.0905,79.37496,131.044,3.687221,True,81.1398,131.1665,Right,2.113611,
