subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
sabina3,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.12307,133.036,0.3437994,0.2718937,True,32.19745,133.7141,-0.2184828,0.121683,No response,N/A,
sabina3,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.83688,132.0561,0.2030879,0.09713995,True,61.83331,131.8334,0.2441969,0.108147,No response,N/A,
sabina3,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.44865,131.7536,0.2406863,-0.1803948,True,98.38448,131.6797,0.2231182,-0.2339286,Left,8.42089,
sabina3,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.6947,135.0167,-0.154642,-0.2095991,True,110.6127,135.1008,-0.12787,-0.3045683,Right,13.60324,
sabina3,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.00155,133.7492,0.03403801,-0.229546,True,67.87206,133.8929,0.006432116,-0.03388828,No response,N/A,
sabina3,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.62732,131.1416,0.3519036,-0.01198782,True,21.95084,132.3766,0.2198308,0.1039172,Left,8.911379,
sabina3,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.86357,133.2964,0.1999743,-0.1407012,True,38.9819,134.8165,-0.04309634,-0.3235987,Left,8.424472,
sabina3,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.69864,132.3735,0.2287584,-0.1389352,True,49.31473,131.1162,0.2925962,-0.07786498,Right,11.01698,
sabina3,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.9418,134.036,0.1906199,0.1282197,True,91.88809,132.3872,0.2537621,0.1177271,Right,11.92014,
sabina3,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.02353,132.3365,0.1246087,-0.1547367,True,79.38883,131.132,0.240371,-0.06275687,Left,10.29557,
