subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TargetObject,TarPos_x,TarPos_z,Start_SubPos_x,Start_SubPos_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,19.86448,4.455309,False,19.86448,4.455309,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,19.08815,3.986978,False,20.20325,3.785322,0,0,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,18.87638,8.930561,True,18.76217,9.020872,0.0869239,-0.2765285,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,18.875,8.948557,True,18.84847,9.330719,0.0632076,-0.2326431,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,18.875,8.948557,False,18.14566,7.56409,0.1792884,-0.2414121,No response,N/A,
sabtest,1,Room_2,stay,yes,A,1,left,A,B,pineapple,29.60929,4.784183,29.61119,4.753859,True,29.53765,4.759901,0.2420506,-0.02757815,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,B,SMGP_pre_Soda_bottle_01_1024,18.875,8.948557,18.875,8.948557,True,18.83278,9.160647,0.05081519,-0.2068827,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23046,4.885692,False,19.23184,4.867696,0.2554806,-0.02910835,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23184,4.867696,False,19.2283,4.844955,0.3146378,-0.04702294,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23184,4.867696,True,19.39711,4.938705,0.3143322,-0.04333765,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,A,B,None,29.23046,4.885692,29.23046,4.885692,True,29.41163,4.835769,0.2913224,-0.03319202,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23184,4.867696,False,19.17212,4.689779,0.2878593,-0.03407044,No response,N/A,
sabtest,1,Room_2,stay,no,A,1,left,A,B,None,29.23046,4.885692,29.23184,4.867696,True,29.16483,4.923244,0.386833,-0.08257689,No response,N/A,
sabtest,0,Room_1,stay,yes,A,1,left,A,A,SMGP_pre_Soda_bottle_01_1024,19.23046,4.885692,19.23184,4.867696,True,19.11516,4.834186,0.2734587,-0.05937374,No response,N/A,
