subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
working,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.23777,133.0207,-0.09855089,-0.1468209,32.19247,133.1185,0.2743292,0.1106765,No response,N/A,
working,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.82061,131.9874,0.176716,0.1141311,61.86674,132.0334,0.1637604,0.04265531,No response,N/A,
working,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.34863,131.7177,0.1202001,-0.08258373,98.34295,131.6625,0.1188341,-0.1149344,No response,N/A,
working,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.8047,135.1353,-0.03467818,-0.1747427,110.8063,135.0914,-0.007475332,-0.06106446,No response,N/A,
working,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.02428,133.796,0.1030644,-0.1120205,68.01119,133.714,0.1032374,-0.24763,No response,N/A,
working,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.72468,131.0451,0.1065936,0.01120229,22.00388,132.3593,0.08178984,0.02200638,No response,N/A,
working,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.86338,133.5004,0.1156255,-0.1055874,38.91732,134.9216,0.009449295,-0.1161716,No response,N/A,
working,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.92393,132.3361,0.1082012,-0.06246153,49.32912,131.075,0.08436317,-0.04837404,No response,N/A,
working,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.91565,134.1105,-0.07604983,-0.1189557,92.06522,132.2785,0.04266599,0.02212955,No response,N/A,
working,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,77.97753,132.3715,0.1053466,-0.07779225,79.20096,131.0593,0.1017641,-0.003524649,No response,N/A,
