Timestamp,subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TargetObject,TarPos_x,TarPos_z,Start_SubPos_x,Start_SubPos_z,Delay_time,TargetReached,End_SubPos_x,End_SubPos_z,response,RT,
05/31/2024 11:39 AM,y01_practice,0,Room_121,stay,no,A,1,left,A,A,None,29.23046,130.9357,29.18561,130.913,9.266713,True,29.29648,131.0228,Right,5.023832,
05/31/2024 11:40 AM,y01_practice,1,Room_122,stay,yes,A,1,left,A,A,Boat_01,59.23045,130.9357,59.29984,131.0497,10.20262,True,59.21296,131.097,Right,3.936861,
05/31/2024 11:40 AM,y01_practice,2,Room_123,stay,yes,A,1,left,A,B,Counter_01,99.23045,130.9357,99.25019,131.095,10.851,True,99.17139,131.0733,Left,4.082482,
05/31/2024 11:41 AM,y01_practice,3,Room_124,stay,no,A,1,left,B,A,None,111.1209,131.0905,111.0462,131.2221,9.964539,True,111.0816,131.2075,Right,3.377338,
05/31/2024 11:41 AM,y01_practice,4,Room_125,stay,yes,A,1,left,A,B,Dinosaur_01,69.23045,130.9357,69.21793,131.0717,7.970503,True,69.21651,131.0655,Left,4.553882,
05/31/2024 11:42 AM,y01_practice,5,Room_126,walk,yes,A,2,left,A,B,Seat_01,21.1209,131.0905,19.25386,131.1008,8.804592,True,21.10783,131.202,Right,3.337153,
05/31/2024 11:43 AM,y01_practice,6,Room_127,walk,no,A,2,left,B,A,None,39.23045,130.9357,41.08341,131.1697,6.053935,True,39.30322,131.1627,Right,1.481722,
05/31/2024 11:43 AM,y01_practice,7,Room_128,walk,yes,A,2,left,A,A,RollerSkate_01,51.1209,131.0905,49.27766,131.0531,4.908288,True,51.05248,131.1701,Right,1.925704,
05/31/2024 11:44 AM,y01_practice,8,Room_129,walk,no,A,2,left,B,B,None,89.23045,130.9357,91.06042,131.1477,7.098401,True,89.26379,131.1355,Right,2.179578,
05/31/2024 11:44 AM,y01_practice,9,Room_130,walk,no,A,2,left,A,A,None,81.1209,131.0905,79.2357,130.9998,5.320155,True,81.06408,131.1564,Right,3.147935,
