subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
y05_practice,0,Room_121,stay,no,A,1,left,A,A,32.25,133.05,0,0,31.99614,133.0886,0.2299829,0.1861196,True,32.09515,133.0211,0.2051943,0.1507031,Left,3.717938,
y05_practice,1,Room_122,stay,yes,A,1,left,A,A,61.94855,131.925,0,0,61.74151,132.0594,0.2205878,0.09677457,True,61.79073,131.9702,0.2032755,0.08899794,Right,2.219325,
y05_practice,2,Room_123,stay,yes,A,1,left,A,B,97.78418,133.4407,0,0,97.88933,133.5055,0.222344,-0.1707159,True,97.89227,133.482,0.1573226,-0.1938446,Left,4.361076,
y05_practice,3,Room_124,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.7678,134.9895,-0.1055801,-0.2357771,True,110.7416,135.087,-0.09323294,-0.1471568,Left,2.511514,
y05_practice,4,Room_125,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.04998,133.803,0.1510011,-0.1985802,True,67.99612,133.8279,0.09132344,-0.147324,Left,4.021095,
y05_practice,5,Room_126,walk,yes,A,2,left,A,B,22.11823,132.2694,0,0,20.72442,131.0818,0.2706398,0.0308086,True,21.97102,132.3818,0.1754781,0.05251851,Left,2.456188,
y05_practice,6,Room_127,walk,no,A,2,left,B,A,38.875,134.9986,0,0,37.9002,133.3738,0.1041194,-0.170722,True,38.97743,134.9837,-0.0007394772,-0.1351487,Left,2.145741,
y05_practice,7,Room_128,walk,yes,A,2,left,A,A,49.2194,130.9318,0,0,47.95757,132.3282,0.1727824,-0.1161204,True,49.2892,131.1125,0.1463781,-0.06665091,Left,2.492863,
y05_practice,8,Room_129,walk,no,A,2,left,B,B,92.11431,132.2805,0,0,91.83379,134.0704,-0.1508909,-0.164124,True,92.02689,132.3107,0.1438953,0.0726468,Right,4.52559,
y05_practice,9,Room_130,walk,no,A,2,left,A,A,79.2194,130.9318,0,0,77.95886,132.3746,0.2034406,-0.1561538,True,79.18923,131.0489,0.1961392,-0.05208467,Left,2.636787,
