subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
y05,0,Room_55,stay,yes,A,1,left,B,B,58.8791,58.95954,0,0,58.91933,58.90253,0.0324274,-0.2608906,True,58.93566,58.9107,0.003162277,-0.2007938,Right,3.20779,
y05,1,Room_56,stay,no,B,1,left,A,A,71.94855,58.125,0,0,71.87487,58.02446,-0.1409322,-0.1862276,True,71.87527,58.05902,-0.1412157,-0.1084096,Left,1.758741,
y05,2,Room_95,stay,no,A,1,left,B,B,59.2364,99.12441,0,0,59.25214,98.97733,-0.01856799,-0.2445455,True,59.28437,99.0278,0.02100893,-0.1045047,Left,2.320932,
y05,3,Room_113,stay,yes,A,1,left,A,A,38.875,118.9486,0,0,38.9903,118.8495,0.08058259,-0.243089,True,38.93575,118.8658,0.02890081,-0.1534023,Right,3.947933,
y05,4,Room_48,stay,yes,A,1,left,A,A,89.23045,49.11431,0,0,89.32829,48.97212,0.01524786,-0.2562183,True,89.24164,49.03239,-0.02245169,-0.168628,Left,4.448157,
y05,5,Room_59,stay,no,A,1,left,A,A,100.3907,54.78418,0,0,100.3807,54.79903,0.260182,0.02653995,True,100.3753,54.83294,0.2123688,0.01691848,Right,4.698364,
y05,6,Room_47,stay,yes,A,1,left,B,B,81.95954,48.1209,0,0,81.86663,48.11362,0.1717536,0.1970971,True,81.91098,48.06411,0.1802711,0.08410154,Right,1.581991,
y05,7,Room_21,stay,no,B,1,left,B,B,17.77526,26.61391,0,0,17.89301,26.61558,0.1238531,-0.1910454,True,17.84826,26.65934,0.09911391,-0.1496544,Left,2.664282,
y05,8,Room_23,stay,no,B,1,left,B,A,38.26487,25.55586,0,0,38.35039,25.61467,0.1237939,-0.1663963,True,38.3232,25.72801,0.1351529,-0.1353926,Left,3.442715,
y05,9,Room_94,stay,yes,A,1,left,B,A,50.40092,99.2216,0,0,50.4508,99.19923,-0.07466711,-0.2143419,True,50.43073,99.19164,-0.06674431,-0.1522299,Right,2.720714,
y05,10,Room_83,stay,yes,B,1,left,A,B,41.94855,88.125,0,0,41.89957,88.05694,-0.128406,-0.1841162,True,41.91403,88.11433,-0.1267527,-0.09745876,Right,3.808743,
y05,11,Room_104,stay,no,A,1,left,A,B,47.78418,106.6093,0,0,47.80658,106.6102,0.1726648,-0.1384265,True,47.8522,106.702,0.1231088,-0.1200461,Left,5.092371,
y05,12,Room_28,stay,no,A,1,left,A,B,91.94855,28.125,0,0,91.96435,28.11357,-0.1246226,-0.1483711,True,91.88988,28.09123,-0.1212844,-0.1367915,Left,4.282871,
y05,13,Room_72,stay,no,A,1,left,B,A,32.25746,76.99095,0,0,32.16207,76.94531,0.1546453,0.1291875,True,32.09682,77.01797,0.1895173,0.1010153,Right,4.593735,
y05,14,Room_81,stay,yes,A,1,left,B,A,20.38309,84.77526,0,0,20.29243,84.93442,0.256015,-0.003515237,True,20.34983,84.86377,0.1762896,-0.008441651,Left,2.291649,
y05,15,Room_102,stay,yes,B,1,left,A,B,27.88569,106.2305,0,0,27.98127,106.3244,0.1951331,-0.190092,True,27.95522,106.252,0.134537,-0.1469534,Left,2.797496,
y05,16,Room_63,walk,no,A,2,left,B,A,37.88569,67.76955,0,0,38.09375,65.9349,0.1489589,-0.144604,True,37.97024,67.81588,0.04817664,-0.1502928,Right,2.787923,
y05,17,Room_112,walk,no,A,2,left,A,B,31.458,118.7235,0,0,32.20534,116.986,0.1746024,0.1691348,True,31.45416,118.6711,-0.1021763,-0.1754879,Left,2.116517,
y05,18,Room_40,walk,no,A,2,left,B,A,109.6093,34.78418,0,0,111.3864,35.27238,0.2795698,0.02354395,True,109.6729,34.8302,0.1757073,-0.06607804,Left,2.442383,
y05,19,Room_29,walk,yes,A,2,left,A,B,102.1244,27.7636,0,0,101.87,25.91756,0.1916858,0.05766759,True,102.0796,27.71033,0.1568899,0.07859001,Right,3.255092,
y05,20,Room_60,walk,no,B,2,left,B,A,111.125,58.94856,0,0,109.322,59.11981,-0.002617749,-0.2306797,True,111.1349,58.94814,-0.123069,-0.1371488,Left,2.504192,
y05,21,Room_100,walk,no,B,2,left,A,B,110.4009,99.2216,0,0,111.9369,98.08169,-0.1033129,-0.2107539,True,110.4102,99.1769,-0.06689602,-0.1663147,Left,2.686889,
y05,22,Room_82,walk,no,B,2,left,A,B,32.11823,86.2194,0,0,30.75672,84.96883,0.2404741,-0.01005847,True,32.10512,86.22681,0.1808593,0.01848457,Left,3.32575,
y05,23,Room_103,walk,yes,A,2,left,B,A,38.875,105.0514,0,0,40.69275,104.959,0.2213162,-0.002508086,True,38.86822,105.1409,0.161511,-0.09299926,Left,3.085973,
y05,24,Room_61,walk,yes,A,2,left,B,B,21.44627,68.7236,0,0,19.69256,69.15213,0.001521627,-0.1658725,True,21.4319,68.64899,-0.07967146,-0.1119232,Right,3.476948,
y05,25,Room_8,walk,no,B,2,left,B,B,88.05145,5.875,0,0,89.51733,4.887883,0.2055591,-0.0497401,True,88.05734,5.95336,0.1150718,-0.09546708,Left,1.876471,
y05,26,Room_55,walk,yes,B,2,left,B,B,60.76955,59.11431,0,0,58.87656,58.9733,0.02463628,-0.2338163,True,60.77861,59.07485,-0.05442305,-0.1572418,Right,2.743398,
y05,27,Room_60,walk,yes,A,2,left,A,A,109.2364,59.12442,0,0,111.1557,58.95449,-0.07461976,-0.1859812,True,109.2813,59.12449,-0.04563367,-0.1605717,Right,2.65461,
y05,28,Room_93,walk,no,A,2,left,A,A,37.7784,97.40092,0,0,38.87869,98.99934,-0.0002548702,-0.218948,True,37.80966,97.4132,0.04645977,-0.1762454,Left,1.764404,
y05,29,Room_80,walk,yes,B,2,left,B,B,107.7842,76.60929,0,0,108.7877,75.13548,0.2296563,-0.07818673,True,107.7901,76.65547,0.1024018,-0.1697366,Right,2.288837,
y05,30,Room_115,walk,yes,A,2,left,A,A,62.12441,117.7636,0,0,61.86901,115.9372,0.198741,0.08844864,True,62.11165,117.7539,0.1523308,0.1079744,Right,2.485621,
y05,31,Room_75,walk,yes,B,2,left,A,A,57.87559,76.2364,0,0,58.07805,78.1516,0.07673606,-0.2579664,True,57.93082,76.29682,0.1203248,-0.1601212,Right,3.443153,
