Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/22/2024 10:48:46 AM,Room_121, 2.757189, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.966187  3.687866
3/22/2024 10:48:46 AM,Room_121, 2.773881, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.96611  3.733795
3/22/2024 10:48:47 AM,Room_121, 2.792166, (99.4  1.7  -8.0), (100.4  0.1  -5.9), Main_floor, 3.953445  3.745056
3/22/2024 10:48:47 AM,Room_121, 2.783682, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.992386  3.736343
3/22/2024 10:48:47 AM,Room_121, 2.79324, (99.4  1.7  -8.0), (100.4  0.1  -5.9), Main_floor, 3.926178  3.811523
3/22/2024 10:48:47 AM,Room_121, 2.778604, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.842072  3.710083
3/22/2024 10:48:47 AM,Room_121, 2.787476, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.796753  3.713882
3/22/2024 10:48:47 AM,Room_121, 2.785835, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.879852  3.647629
3/22/2024 10:48:47 AM,Room_121, 2.819983, (99.4  1.7  -8.0), (100.4  0.1  -5.9), Main_floor, 3.879227  3.611298
3/22/2024 10:48:47 AM,Room_121, 2.819059, (99.4  1.7  -8.0), (100.5  0.1  -5.9), Main_floor, 3.875473  3.654968
3/22/2024 10:48:47 AM,Room_121, 2.804888, (99.4  1.7  -8.0), (100.5  0.1  -6.0), Main_floor, 3.790939  3.603729
3/22/2024 10:48:47 AM,Room_121, 2.808532, (99.4  1.7  -8.0), (100.4  0.1  -6.0), Main_floor, 3.86145  3.780716
3/22/2024 10:48:47 AM,Room_121, 2.579899, (99.4  1.7  -8.0), (100.3  0.1  -6.2), Main_floor, 3.859207  3.759766
3/22/2024 10:48:47 AM,Room_121, 2.296039, (99.4  1.7  -8.0), (100.2  0.1  -6.6), Main_floor, 3.886932  3.78566
3/22/2024 10:48:47 AM,Room_121, 2.148803, (99.4  1.7  -8.0), (100.0  0.1  -6.8), Main_floor, 3.893982  3.767532
3/22/2024 10:48:47 AM,Room_121, 2.096771, (99.4  1.7  -8.0), (100.0  0.1  -6.8), Main_floor, 3.788864  3.75235
3/22/2024 10:48:47 AM,Room_121, 2.136529, (99.4  1.7  -8.0), (100.0  0.1  -6.8), Main_floor, 3.771423  3.589584
3/22/2024 10:48:47 AM,Room_121, 2.182326, (99.4  1.7  -8.0), (100.0  0.1  -6.7), Main_floor, 3.781845  3.621506
3/22/2024 10:48:47 AM,Room_121, 2.231805, (99.4  1.7  -8.0), (100.1  0.1  -6.7), Main_floor, 3.739166  3.610489
3/22/2024 10:48:47 AM,Room_121, 2.2832, (99.4  1.7  -8.0), (100.2  0.1  -6.7), Main_floor, 3.74028  3.567917
3/22/2024 10:48:47 AM,Room_121, 2.300132, (99.4  1.7  -8.1), (100.2  0.1  -6.7), Main_floor, 3.675613  3.456329
3/22/2024 10:48:47 AM,Room_121, 2.321256, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.665268  3.468964
3/22/2024 10:48:47 AM,Room_121, 2.348216, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.653641  3.505615
3/22/2024 10:48:47 AM,Room_121, 2.364383, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.643295  3.423233
3/22/2024 10:48:47 AM,Room_121, 2.382866, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.621994  3.457382
3/22/2024 10:48:47 AM,Room_121, 2.387857, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.600296  3.434433
3/22/2024 10:48:47 AM,Room_121, 2.392345, (99.4  1.7  -8.1), (100.2  0.1  -6.6), Main_floor, 3.526703  3.438095
3/22/2024 10:48:47 AM,Room_121, 2.433534, (99.3  1.7  -8.1), (100.3  0.1  -6.5), Main_floor, 3.514832  3.265427
3/22/2024 10:48:47 AM,Room_121, 2.459351, (99.3  1.7  -8.1), (100.3  0.1  -6.5), Main_floor, 3.439667  3.295532
