Starting experiment at 05/31/2024 11:38:47
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size left, Pupil Size right
11:39:16, Room_121, NO_ITEMS, , , , 4.513  4.36644
11:39:16, Room_121, NO_ITEMS, , , , 4.524246  4.377411
11:39:16, Room_121, NO_ITEMS, , , , 4.526413  4.376404
11:39:16, Room_121, NO_ITEMS, , , , 4.538406  4.378738
11:39:16, Room_121, NO_ITEMS, , , , 4.541138  4.405594
11:39:17, Room_121, NO_ITEMS, , , , 4.55896  4.415665
11:39:17, Room_121, NO_ITEMS, , , , 4.587051  4.415985
11:39:17, Room_121, NO_ITEMS, , , , 4.608505  4.424301
11:39:17, Room_121, NO_ITEMS, , , , 4.608734  4.451736
11:39:17, Room_121, NO_ITEMS, , , , 4.622986  4.439224
11:39:17, Room_121, NO_ITEMS, , , , 4.621506  4.465057
11:39:17, Room_121, NO_ITEMS, , , , 4.628647  4.425232
11:39:17, Room_121, NO_ITEMS, , , , 4.753479  4.47348
11:39:17, Room_121, NO_ITEMS, , , , 4.7108  4.466644
11:39:17, Room_121, NO_ITEMS, , , , 4.709686  4.532547
11:39:17, Room_121, NO_ITEMS, , , , 4.709076  4.516586
11:39:17, Room_121, NO_ITEMS, , , , 4.721008  4.515182
11:39:17, Room_121, NO_ITEMS, , , , 4.720886  4.537018
11:39:17, Room_121, NO_ITEMS, , , , 4.72496  4.560486
11:39:17, Room_121, NO_ITEMS, , , , 4.733856  4.544464
11:39:17, Room_121, NO_ITEMS, , , , 4.743073  4.566071
11:39:17, Room_121, NO_ITEMS, , , , 4.773438  4.623642
11:39:17, Room_121, NO_ITEMS, , , , 4.734818  4.580933
11:39:17, Room_121, NO_ITEMS, , , , 4.686859  4.552597
11:39:17, Room_121, NO_ITEMS, , , , 4.656189  4.526764
11:39:17, Room_121, NO_ITEMS, , , , 4.649628  4.504868
11:39:17, Room_121, NO_ITEMS, , , , 4.64241  4.480835
11:39:17, Room_121, NO_ITEMS, , , , 4.591812  4.442368
11:39:17, Room_121, NO_ITEMS, , , , 4.508148  4.345963
11:39:17, Room_121, NO_ITEMS, , , , 4.376984  4.31543
11:39:17, Room_121, NO_ITEMS, , , , 4.374603  4.340698
11:39:17, Room_121, NO_ITEMS, , , , 4.371841  4.314529
11:39:17, Room_121, NO_ITEMS, , , , 4.371216  4.302719
11:39:17, Room_121, NO_ITEMS, , , , 4.369614  4.287109
11:39:17, Room_121, NO_ITEMS, , , , 4.363159  4.271286
11:39:17, Room_121, NO_ITEMS, , , , 4.347031  4.257996
11:39:17, Room_121, NO_ITEMS, , , , 4.320251  4.242065
11:39:17, Room_121, NO_ITEMS, , , , 4.273026  4.221161
11:39:17, Room_121, NO_ITEMS, , , , 4.237946  4.259033
11:39:18, Room_121, NO_ITEMS, , , , 4.299133  4.049164
11:39:18, Room_121, NO_ITEMS, , , , 4.213333  4.147614
11:39:18, Room_121, NO_ITEMS, , , , 4.203888  4.069504
11:39:18, Room_121, NO_ITEMS, , , , 4.181015  4.066101
