Starting experiment at 03/28/2024 14:07:40
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
14:08:51, Room_121, 1.675434, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.519272  4.350037
14:08:51, Room_121, 1.674887, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.54425  4.378738
14:08:51, Room_121, 1.674219, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.5728  4.382095
14:08:51, Room_121, 1.673536, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.581161  4.37912
14:08:51, Room_121, 1.673036, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.628403  4.379623
14:08:51, Room_121, 1.672511, (32.0  1.7  133.1), (32.0  0.1  133.1), Floor 1, 4.623535  4.379974
14:08:51, Room_121, 1.671842, (32.0  1.7  133.1), (32.0  0.1  133.1), Floor 1, 4.586044  4.528915
14:08:51, Room_121, 1.671569, (32.0  1.7  133.1), (32.0  0.1  133.1), Floor 1, 4.587067  4.521317
14:08:51, Room_121, 1.672007, (32.0  1.7  133.1), (32.0  0.1  133.1), Floor 1, 4.644638  4.581482
14:08:51, Room_121, 1.672556, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.631271  4.581955
14:08:51, Room_121, 1.672747, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.64534  4.552826
14:08:51, Room_121, 1.673411, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.679764  4.561081
14:08:51, Room_121, 1.67425, (32.0  1.7  133.1), (32.0  0.1  133.0), Floor 1, 4.736984  4.578461
14:08:51, Room_121, 1.681667, (32.0  1.7  133.1), (31.9  0.1  133.0), Floor 1, 4.787857  4.671631
14:08:51, Room_121, 1.827487, (32.0  1.7  133.1), (31.3  0.1  133.1), Floor 1, 4.700027  4.608398
14:08:51, Room_121, 1.954256, (32.0  1.7  133.1), (31.0  0.1  133.1), Floor 1, 4.674011  4.568878
14:08:51, Room_121, 2.005185, (32.0  1.7  133.1), (30.9  0.1  133.1), Floor 1, 4.76918  4.595718
14:08:51, Room_121, 1.968717, (32.0  1.7  133.1), (31.0  0.1  133.1), Floor 1, 4.773804  4.581177
14:08:51, Room_121, 1.973312, (32.0  1.7  133.1), (31.0  0.1  133.1), Floor 1, 4.780655  4.506241
14:08:52, Room_121, 1.979864, (32.0  1.7  133.1), (31.0  0.1  133.1), Floor 1, 4.817398  4.447754
14:08:52, Room_121, 1.97048, (32.0  1.7  133.2), (31.0  0.1  133.2), Floor 1, 4.774445  4.50856
14:08:52, Room_121, 1.96552, (32.0  1.7  133.1), (31.0  0.1  133.2), Floor 1, 4.800354  4.5112
14:08:52, Room_121, 2.256046, (32.0  1.7  133.1), (30.5  0.1  133.1), Floor 1, 4.731949  4.611511
14:08:52, Room_121, 2.663337, (32.0  1.7  133.1), (29.9  0.1  133.1), Floor 1, 4.831406  4.613403
14:08:52, Room_121, 3.136797, (32.0  1.7  133.1), (29.3  0.1  133.1), Floor 1, 4.859512  4.717865
14:08:52, Room_121, 3.362609, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.856934  4.62413
14:08:52, Room_121, 3.370732, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.739532  4.72229
14:08:52, Room_121, 3.361783, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.692642  4.595932
14:08:52, Room_121, 3.289961, (32.0  1.8  133.1), (29.2  0.1  133.1), Floor 1, 4.76416  4.554947
14:08:52, Room_121, 3.373008, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.732559  4.459808
14:08:52, Room_121, 3.413917, (32.0  1.8  133.1), (29.0  0.1  133.1), Floor 1, 4.624481  4.425903
14:08:52, Room_121, 3.630005, (32.0  1.8  133.1), (28.8  0.1  133.1), Floor 1, 4.609512  4.453537
14:08:52, Room_121, 3.407244, (32.0  1.8  133.1), (29.0  0.1  133.1), Floor 1, 4.614487  4.386337
14:08:52, Room_121, 3.378212, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.618393  4.361038
14:08:52, Room_121, 3.34519, (32.0  1.8  133.1), (29.1  0.1  133.1), Floor 1, 4.516495  4.38031
14:08:52, Room_121, 3.277187, (32.0  1.8  133.1), (29.2  0.1  133.1), Floor 1, 4.589462  4.310608
14:08:52, Room_121, 3.252138, (32.0  1.8  133.1), (29.2  0.1  133.1), Floor 1, 4.54361  4.399979
14:08:52, Room_121, 3.233316, (32.0  1.8  133.1), (29.3  0.1  133.1), Floor 1, 4.549973  4.310013
14:08:52, Room_121, 3.272264, (32.0  1.8  133.1), (29.2  0.1  133.1), Floor 1, 4.507904  4.349579
14:08:52, Room_121, 4.156068, (32.0  1.8  133.1), (28.2  0.1  133.2), Floor 1, 4.407532  4.275116
14:08:52, Room_121, 4.46752, (32.0  1.8  133.1), (27.9  0.1  133.2), Floor 1, 4.318573  4.365662
14:08:52, Room_121, 4.362823, (32.0  1.8  133.1), (28.0  0.1  133.2), Floor 1, 4.345642  4.20137
14:08:52, Room_121, 4.802059, (32.0  1.8  133.1), (27.5  0.1  133.2), Floor 1, 4.227219  4.019852
14:08:52, Room_121, 4.640177, (32.0  1.8  133.1), (27.7  0.1  133.2), Floor 1, 4.270294  4.176865
14:08:52, Room_121, 4.609542, (32.0  1.8  133.1), (27.7  0.1  133.2), Floor 1, 4.326492  4.134857
14:08:52, Room_121, 4.663448, (32.0  1.8  133.1), (27.7  0.1  133.2), Floor 1, 4.209946  4.071045
14:08:52, Room_121, 4.83284, (32.0  1.8  133.1), (27.5  0.1  133.2), Floor 1, 4.195419  4.013046
14:08:52, Room_121, 4.699996, (32.0  1.8  133.1), (27.6  0.1  133.2), Floor 1, 4.060425  3.97316
14:08:52, Room_121, 4.778822, (32.0  1.8  133.1), (27.6  0.1  133.2), Floor 1, 4.02832  3.947464
14:08:52, Room_121, 4.777997, (32.0  1.8  133.2), (27.6  0.1  133.2), Floor 1, 4.007431  3.851166
14:08:52, Room_121, 4.991661, (32.0  1.8  133.2), (27.3  0.3  133.5), w1, 3.916351  3.701782
14:08:52, Room_121, 4.97027, (32.0  1.8  133.2), (27.3  0.4  133.6), w1, 3.947464  3.756409
14:08:52, Room_121, 4.976118, (32.0  1.8  133.2), (27.3  0.4  133.7), w1, 3.829376  3.733978
14:08:52, Room_121, 4.988333, (32.0  1.8  133.2), (27.3  0.4  133.7), w1, 3.800385  3.651413
14:08:52, Room_121, 5.000178, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.807007  3.599014
14:08:52, Room_121, 5.014054, (32.0  1.8  133.2), (27.3  0.3  133.8), w1, 3.798538  3.680557
14:08:52, Room_121, 4.993434, (32.0  1.8  133.1), (27.3  0.4  133.7), w1, 3.723495  3.655624
14:08:52, Room_121, 5.005568, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.694916  3.541107
14:08:52, Room_121, 5.039069, (32.0  1.8  133.2), (27.3  0.3  133.7), w1, 3.691376  3.545212
14:08:52, Room_121, 4.978555, (32.0  1.8  133.2), (27.3  0.6  133.9), w1, 3.601135  3.408386
14:08:52, Room_121, 4.986996, (32.0  1.8  133.2), (27.3  0.5  133.9), w1, 3.501801  3.520416
14:08:52, Room_121, 5.021074, (32.0  1.8  133.2), (27.3  0.5  134.0), w1, 3.472076  3.440506
14:08:52, Room_121, 5.029396, (32.0  1.8  133.1), (27.3  0.4  133.9), w1, 3.384094  3.46669
14:08:52, Room_121, 5.046451, (32.0  1.8  133.1), (27.3  0.4  133.9), w1, 3.406906  3.389893
14:08:52, Room_121, 5.042788, (32.0  1.8  133.1), (27.3  0.3  133.9), w1, 3.25563  3.360565
14:08:52, Room_121, 5.033463, (32.0  1.8  133.1), (27.3  0.4  133.9), w1, 3.391403  3.242294
14:08:52, Room_121, 5.045501, (32.0  1.8  133.1), (27.3  0.4  133.9), w1, 3.391602  3.23465
14:08:52, Room_121, 5.042835, (32.0  1.8  133.1), (27.3  0.4  133.9), w1, 3.375916  3.1082
14:08:52, Room_121, 5.027928, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.400604  3.292114
14:08:52, Room_121, 5.038504, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.388168  3.209015
14:08:52, Room_121, 5.037913, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.387589  3.235107
14:08:53, Room_121, 5.039215, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.322525  3.233307
14:08:53, Room_121, 5.037253, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.330078  3.15123
14:08:53, Room_121, 5.025302, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.248367  3.147552
14:08:53, Room_121, 5.024333, (32.0  1.8  133.1), (27.3  0.4  133.8), w1, 3.198288  3.146271
14:08:53, Room_121, 5.042819, (32.0  1.8  133.1), (27.3  0.3  133.7), w1, 3.261688  3.111786
14:08:53, Room_121, 5.053833, (32.0  1.8  133.1), (27.3  0.3  133.8), w1, 3.216217  3.074738
14:08:53, Room_121, 5.052944, (32.0  1.8  133.1), (27.3  0.2  133.7), w1, 3.257446  2.964722
14:08:53, Room_121, 5.04697, (32.0  1.8  133.1), (27.3  0.2  133.7), w1, 3.312592  3.102783
14:08:53, Room_121, 5.048206, (32.0  1.8  133.1), (27.3  0.2  133.0), w1, 3.352203  3.093979
14:08:53, Room_121, 4.764677, (32.0  1.8  133.1), (27.6  0.1  132.5), Floor 1, 3.361084  3.148911
14:08:53, Room_121, 4.246765, (32.0  1.8  133.1), (28.3  0.1  132.2), Floor 1, 3.436081  3.163803
14:08:53, Room_121, 3.997978, (32.0  1.8  133.1), (28.7  0.1  131.8), Floor 1, 3.39946  3.341537
14:08:53, Room_121, 3.802865, (32.0  1.8  133.1), (29.1  0.1  131.5), Floor 1, 3.491013  3.293976
14:08:53, Room_121, 3.750736, (32.0  1.8  133.1), (29.1  0.1  131.5), Floor 1, 3.42485  3.316452
14:08:53, Room_121, 3.72992, (32.0  1.8  133.1), (29.2  0.1  131.4), Floor 1, 3.462769  3.285004
14:08:53, Room_121, 3.70585, (32.0  1.8  133.1), (29.2  0.1  131.5), Floor 1, 3.471313  3.257904
14:08:53, Room_121, 3.839754, (32.0  1.8  133.1), (29.1  0.1  131.4), Floor 1, 3.364639  3.301956
14:08:53, Room_121, 3.723387, (32.0  1.8  133.1), (29.2  0.1  131.4), Floor 1, 3.471237  3.330536
14:08:53, Room_121, 3.576419, (32.0  1.8  133.1), (29.3  0.1  131.6), Floor 1, 3.432434  3.305099
14:08:53, Room_121, 3.592057, (32.0  1.8  133.1), (29.3  0.1  131.5), Floor 1, 3.501846  3.103043
14:08:53, Room_121, 3.449141, (32.0  1.8  133.1), (29.8  0.1  131.1), Floor 1, 3.610809  3.457184
14:08:53, Room_121, 3.13665, (32.0  1.8  133.1), (30.4  0.1  131.0), Floor 1, 3.662842  3.537659
14:08:53, Room_121, 2.842684, (32.0  1.8  133.1), (31.0  0.1  131.1), Floor 1, 3.685791  3.517975
14:08:53, Room_121, 2.583203, (32.0  1.8  133.1), (31.5  0.1  131.2), Floor 1, 3.636063  3.650818
14:08:53, Room_121, 2.585346, (32.0  1.8  133.1), (31.7  0.1  131.2), Floor 1, 3.800888  3.593887
14:08:53, Room_121, 2.58036, (32.0  1.8  133.0), (31.7  0.1  131.2), Floor 1, 3.748306  3.623657
14:08:53, Room_121, 2.613099, (32.0  1.8  133.0), (31.6  0.1  131.1), Floor 1, 3.823578  3.547958
14:08:53, Room_121, 2.60071, (32.0  1.8  133.0), (31.6  0.1  131.2), Floor 1, 3.897491  3.548859
14:08:53, Room_121, 2.669489, (32.1  1.8  133.0), (31.4  0.1  131.1), Floor 1, 3.764755  3.518204
14:08:53, Room_121, 2.665852, (32.1  1.8  133.0), (31.5  0.1  131.1), Floor 1, 3.894257  3.737961
14:08:53, Room_121, 2.581676, (32.1  1.8  133.0), (31.7  0.1  131.1), Floor 1, 4.099854  3.835159
14:08:53, Room_121, 2.594187, (32.1  1.8  133.0), (31.6  0.1  131.2), Floor 1, 3.825394  3.688538
14:08:53, Room_121, 2.546783, (32.0  1.8  133.0), (31.5  0.1  131.2), Floor 1, 3.834137  3.676254
14:08:53, Room_121, 2.551899, (32.0  1.8  133.0), (31.3  0.1  131.3), Floor 1, 3.920258  3.659897
14:08:53, Room_121, 2.535486, (32.0  1.8  133.0), (31.2  0.1  131.4), Floor 1, 3.990753  3.745865
14:08:53, Room_121, 2.451921, (32.0  1.8  133.1), (30.3  0.1  132.7), Floor 1, 4.124802  4.022812
14:08:53, Room_121, 2.809887, (32.0  1.8  133.1), (29.8  0.1  132.9), Floor 1, 4.271423  4.169144
14:08:54, Room_121, 3.058035, (32.0  1.8  133.1), (29.5  0.1  132.7), Floor 1, 4.3741  4.139038
