Starting experiment at 05/27/2024 11:47:02
Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
11:47:13, Room_1, 1.775208, (21.1  1.5  5.0), (20.5  0.4  6.3), Table, 5.455658  5.704971
11:47:13, Room_1, 1.769954, (21.1  1.5  5.0), (20.5  0.4  6.3), Table, 5.469696  5.662552
11:47:13, Room_1, 1.642403, (21.1  1.5  5.0), (20.5  0.4  6.1), Table, 5.434235  5.645309
11:47:13, Room_1, 1.601932, (21.1  1.5  5.1), (20.5  0.4  6.1), Table, 5.542419  5.542831
11:47:14, Room_1, 1.57197, (21.1  1.5  5.1), (20.5  0.4  6.1), Table, 5.47554  5.641693
11:47:14, Room_1, 1.62072, (21.1  1.5  5.1), (20.5  0.4  6.2), Table, 5.319229  5.599823
11:47:14, Room_1, 1.624446, (21.1  1.5  5.1), (20.5  0.4  6.2), Table, 5.335205  5.5522
11:47:14, Room_1, 1.615944, (21.1  1.5  5.1), (20.5  0.4  6.2), Table, 5.430954  5.639191
11:47:14, Room_1, 1.606808, (21.1  1.5  5.1), (20.5  0.4  6.2), Table, 5.121201  5.543915
11:47:14, Room_1, 1.397115, (21.1  1.5  5.2), (20.5  0.4  5.9), Table, 5.32608  5.634186
11:47:14, Room_1, 1.425376, (21.1  1.5  5.2), (20.5  0.4  5.9), Table, 5.241852  5.658752
11:47:14, Room_1, 1.459181, (21.1  1.5  5.2), (20.5  0.4  5.9), Table, 4.830338  5.695175
11:47:14, Room_1, 1.464718, (21.1  1.5  5.2), (20.4  0.4  5.9), Table, 5.444168  5.829102
11:47:14, Room_1, 1.481207, (21.1  1.5  5.2), (20.4  0.4  5.9), Table, 5.496902  5.884628
11:47:14, Room_1, 1.483678, (21.1  1.5  5.2), (20.4  0.4  5.9), Table, 5.460175  5.552383
11:47:14, Room_1, 1.725828, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.248169  5.446426
11:47:14, Room_1, 1.749134, (21.1  1.5  5.2), (20.4  0.4  6.4), Table, 5.348938  5.594238
11:47:14, Room_1, 1.703689, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.206345  5.577316
11:47:14, Room_1, 1.706362, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.283829  5.552429
11:47:14, Room_1, 1.745601, (21.1  1.5  5.2), (20.4  0.4  6.4), Table, 5.344925  5.527115
11:47:14, Room_1, 1.675143, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.149719  5.533493
11:47:14, Room_1, 1.708217, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.148499  5.417114
11:47:14, Room_1, 1.678204, (21.1  1.5  5.2), (20.4  0.4  6.3), Table, 5.112762  5.600739
