Timestamp,subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TargetObject,TarPos_x,TarPos_z,Start_SubPos_x,Start_SubPos_z,Delay_time,TargetReached,End_SubPos_x,End_SubPos_z,response,RT,
06/18/2024 5:18 PM,y06a_part2,0,Room_21,stay,no,A,5,right,A,A,None,19.23046,24.88269,19.19617,24.90095,7.012141,True,19.21509,24.83521,Left,2.032938,
06/18/2024 5:18 PM,y06a_part2,1,Room_60,stay,no,A,5,right,B,B,None,111.1209,55.04045,111.09,55.09773,7.008972,True,111.2167,55.10812,Left,0.965372,
06/18/2024 5:19 PM,y06a_part2,2,Room_15,stay,no,A,5,right,B,B,None,61.1209,15.04046,61.22342,14.98716,7.021443,True,61.26186,15.05563,Left,0.8306389,
06/18/2024 5:19 PM,y06a_part2,3,Room_84,stay,yes,A,5,right,A,A,Noodles_1,49.23045,84.8857,49.36506,84.89213,7.013788,True,49.21597,84.89449,Right,1.115819,
06/18/2024 5:20 PM,y06a_part2,4,Room_61,stay,yes,A,5,right,B,B,WineBottle,21.1209,65.04045,21.24559,64.86428,7.002195,True,21.18103,64.90582,Right,0.754554,
06/18/2024 5:20 PM,y06a_part2,5,Room_66,stay,no,A,5,right,A,A,None,69.23045,64.8857,69.26362,64.77519,7.018587,True,69.32562,64.81919,Left,0.9601444,
06/18/2024 5:20 PM,y06a_part2,6,Room_88,stay,yes,A,5,right,A,A,Fig,89.23045,84.8857,89.34113,84.86682,7.008394,True,89.15648,84.88378,Right,0.6684498,
06/18/2024 5:21 PM,y06a_part2,7,Room_69,stay,yes,A,5,right,B,B,Traffic cone 2,101.1209,65.04046,101.2758,64.95918,7.011086,True,101.2599,65.06895,Right,1.512513,
06/18/2024 5:21 PM,y06a_part2,8,Room_42,stay,yes,A,5,right,A,B,Flashlight-2,29.23046,44.88569,29.27779,44.82017,7.001987,True,29.23948,44.85547,Right,0.8004642,
06/18/2024 5:22 PM,y06a_part2,9,Room_17,stay,no,A,5,right,B,A,None,81.1209,15.04046,81.18047,15.052,7.021332,True,81.18285,14.97274,Left,0.9370787,
06/18/2024 5:22 PM,y06a_part2,10,Room_29,stay,no,A,5,right,A,B,None,101.9486,25.875,102.0362,25.86852,7.007854,True,102.014,25.91714,Right,2.845886,
06/18/2024 5:22 PM,y06a_part2,11,Room_23,stay,yes,A,5,right,A,B,Books,39.23045,24.88569,39.35535,24.7919,7.009614,True,39.33011,24.83259,Left,1.150471,
06/18/2024 5:23 PM,y06a_part2,12,Room_119,stay,no,A,5,right,B,A,None,101.1209,115.0405,101.1212,115.1036,7.00184,True,101.132,114.9842,Left,2.155619,
06/18/2024 5:23 PM,y06a_part2,13,Room_116,stay,yes,A,5,right,B,A,Zucchini,71.1209,115.0405,71.11843,114.9583,7.00526,True,71.11709,114.951,Left,1.22314,
06/18/2024 5:24 PM,y06a_part2,14,Room_107,stay,yes,A,5,right,A,B,PiggyBank_01,79.23045,104.8857,79.29187,104.7847,7.021867,True,79.31085,104.8532,Right,1.401193,
06/18/2024 5:24 PM,y06a_part2,15,Room_71,stay,no,A,5,right,B,A,None,21.1209,75.04046,21.33112,74.95699,7.005325,True,21.22114,74.92999,Left,1.171791,
06/18/2024 5:24 PM,y06a_part2,16,Room_10,walk,no,A,6,right,A,A,None,111.1209,5.040458,109.1289,4.897482,7.026618,True,111.1631,5.023518,Left,0.7609363,
06/18/2024 5:25 PM,y06a_part2,17,Room_41,walk,yes,A,6,right,A,A,Skittle,21.1209,45.04046,19.21952,44.80888,7.00529,True,21.1465,44.99352,Right,0.9908322,
06/18/2024 5:25 PM,y06a_part2,18,Room_54,walk,yes,A,6,right,A,A,SMGP_PRE_Chicken_1024,51.1209,55.04046,49.14449,54.88719,7.010117,True,51.32211,55.11211,Right,0.635756,
06/18/2024 5:26 PM,y06a_part2,19,Room_108,walk,no,A,6,right,B,B,None,89.23045,104.8857,91.13297,104.9457,7.006098,True,89.369,104.8501,Left,1.086501,
