subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
BLABLABLA,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.25,133.05,0.2263826,0.1889498,False,32.25138,133.032,0.2263826,0.1889498,Left,3.689907,
BLABLABLA,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.94855,131.925,0.2337543,0.1460659,False,61.94994,131.907,0.2337543,0.1460659,Right,3.7791,
BLABLABLA,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.26487,131.6059,0.1963266,-0.09703062,False,98.26625,131.5879,0.1963266,-0.09703062,No response,N/A,
BLABLABLA,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,111.539,134.667,-0.07378595,-0.1989358,False,111.9312,133.7457,0.003069802,-0.319773,Right,5.00895,
BLABLABLA,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.88569,133.8195,0.2010917,-0.2654091,False,67.88707,133.8016,0.2010917,-0.2654091,Left,4.673081,
BLABLABLA,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.77093,130.9177,0.2533981,0.05270696,False,20.77093,130.9177,0.2533981,0.05270696,No response,N/A,
BLABLABLA,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.77901,133.4409,0.1839778,-0.1972919,False,37.77901,133.4409,0.1839778,-0.1972919,No response,N/A,
BLABLABLA,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.88707,132.2625,0.1839778,-0.1972919,False,47.88707,132.2625,0.1839778,-0.1972919,Left,5.416225,
BLABLABLA,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.96143,134.1406,-0.1474042,-0.2003,False,91.96143,134.1406,-0.1474042,-0.2003,Right,5.201067,
BLABLABLA,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,77.8857,132.2805,0.2891476,-0.1961357,False,77.8857,132.2805,0.2891476,-0.1961357,Right,5.60199,
