subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
TestB,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.01227,133.144,0.2363442,0.168547,32.03721,133.0626,0.2595131,0.2238542,No response,7.511804,
TestB,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.93248,131.8409,0.1983675,0.04185094,61.76092,132.0757,0.4790428,0.2944587,No response,7.509514,
TestB,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.3586,131.7842,0.2074053,-0.02342728,98.43491,131.7228,0.3818745,-0.2016426,No response,7.520148,
TestB,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.724,135.0241,-0.04398821,-0.1879463,110.728,135.0366,-0.02110159,-0.1201991,No response,7.500929,
TestB,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.02684,133.7817,0.1417015,-0.1875641,67.94582,133.8899,0.1985348,-0.3057235,No response,7.500144,
TestB,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.76863,131.0763,0.3011394,0.03199464,21.97229,132.3792,0.2823332,0.1610236,No response,7.511447,
TestB,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.87803,133.4354,0.1263983,-0.1694216,38.96254,134.8641,0.05378557,-0.3348883,No response,7.51095,
TestB,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.97196,132.363,0.2307827,-0.1098708,49.29036,131.0879,0.2528484,-0.0216533,No response,7.508384,
TestB,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.80415,134.143,0.1244587,0.1740587,91.97693,132.3105,0.30217,0.1737736,No response,7.517679,
TestB,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.0508,132.4,0.1328674,-0.0895431,79.31596,131.0551,0.2358179,-0.03181364,No response,7.500239,
TestB,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.09835,133.05,0.1714569,0.1740709,32.13016,132.9575,0.1874394,0.1096513,Right,8.885768,
TestB,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.84501,131.9527,0.1337182,0.02673295,61.99289,131.8565,0.07216382,0.0007412477,No response,N/A,
TestB,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.3961,131.7268,0.1740685,-0.106347,98.43215,131.6559,0.2813092,-0.1732637,Left,10.19755,
TestB,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.7536,135.0037,-0.1072834,-0.2683581,110.7057,135.0229,-0.04158392,-0.1447045,Right,9.430867,
TestB,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.05015,133.6608,0.07733712,-0.2107615,68.07253,133.8048,0.1295549,-0.3005355,Left,9.378492,
TestB,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.83928,130.9949,0.2778827,-0.01758491,21.91069,132.3541,0.2322251,0.1366845,Right,12.35854,
TestB,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.93676,133.3676,0.05838993,-0.1168199,38.96287,134.8188,-0.0120231,-0.2521568,Left,9.274757,
TestB,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,48.06253,132.2398,0.1721027,-0.1819666,49.28741,131.0393,0.4819243,-0.07734624,Right,12.83575,
TestB,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.76119,134.1294,0.1960537,0.1261481,91.9219,132.3272,0.1123827,-0.0004447799,Left,10.72814,
TestB,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.129,132.3576,0.2169025,-0.1655562,79.23736,131.0825,0.2432608,-0.07430119,Left,9.478173,
