subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
eye-stuff,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.16473,133.0749,0.2345641,0.1535446,32.11896,132.9823,-0.1111393,-0.2014323,Left,10.65714,
eye-stuff,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.77475,131.9684,0.1452558,0.108062,61.82118,131.9333,0.1372949,0.09390376,No response,N/A,
eye-stuff,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.25199,131.6953,0.2117858,-0.07047379,98.33652,131.7126,0.1586488,-0.06735001,No response,N/A,
eye-stuff,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.8131,135.1857,-0.01882678,-0.148356,110.8076,135.0375,-0.03880968,-0.2493369,No response,N/A,
eye-stuff,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.98884,133.7895,0.08058058,-0.1312454,68.06525,133.7648,0.08687986,-0.135367,No response,N/A,
eye-stuff,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.74116,130.9845,0.1907963,0.0424708,21.8863,132.2554,0.07066736,0.03323303,No response,N/A,
eye-stuff,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.91142,133.4498,0.1000381,-0.08407503,38.93821,134.9112,0.01335418,-0.04210421,No response,N/A,
eye-stuff,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,48.01003,132.3423,0.178671,-0.07977592,49.30667,131.1239,0.1096633,-0.04457938,No response,N/A,
eye-stuff,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.92825,134.069,0.08539392,0.1523787,92.06835,132.302,0.1128042,0.07973269,No response,N/A,
eye-stuff,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,77.95628,132.2915,0.1538835,-0.09694538,79.25716,131.019,0.08509159,-0.04119087,No response,N/A,
