subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
eyetest,0,Room_121,stay,no,A,1,left,A,A,32.25,133.05,0,0,32.27938,133.107,0.2108445,0.168944,True,32.26675,133.0421,0.2068011,0.2187749,Left,0.9772885,
eyetest,1,Room_122,stay,yes,A,1,left,A,A,61.94855,131.925,0,0,61.82958,131.9596,0.2549007,0.1676354,True,61.82528,131.954,0.396363,0.1686029,Left,2.015841,
eyetest,2,Room_123,stay,yes,A,1,left,A,B,97.78418,133.4407,0,0,97.70046,133.298,0.1590248,-0.1697279,True,97.84276,133.4959,0.1901294,-0.2477275,Right,2.354446,
eyetest,3,Room_124,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.6994,135.1315,-0.07206131,-0.259534,True,110.643,135.0747,-0.05086699,-0.2496238,Left,2.19958,
eyetest,4,Room_125,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.60221,133.893,0.1316814,-0.1991299,True,67.97607,133.8932,0.1647028,-0.2147607,Right,1.049578,
eyetest,5,Room_126,walk,yes,A,2,left,A,B,22.11823,132.2694,0,0,20.77743,130.7216,0.2549068,0.03061872,True,22.01772,132.4318,0.2347212,0.1479461,Right,1.121353,
eyetest,6,Room_127,walk,no,A,2,left,B,A,38.875,134.9986,0,0,37.74843,133.4006,0.1126048,-0.1117312,True,38.92967,134.8737,0.002329995,-0.1358117,Left,1.443609,
eyetest,7,Room_128,walk,yes,A,2,left,A,A,49.2194,130.9318,0,0,47.92149,132.0997,0.1936072,-0.1244875,True,49.32256,131.1217,0.2483337,-0.08669615,Right,2.533743,
eyetest,8,Room_129,walk,no,A,2,left,B,B,92.11431,132.2805,0,0,91.92401,134.1803,0.1381664,0.1228361,True,92.03159,132.2966,0.2109476,0.1210718,Left,2.154357,
eyetest,9,Room_130,walk,no,A,2,left,A,A,79.2194,130.9318,0,0,78.05127,132.3719,0.2219621,-0.1743667,True,79.16616,131.2129,0.4563931,-0.0736385,Left,2.123307,
