subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.18795,133.1071,0.1987531,0.1458067,True,32.11455,133.0266,0.1169068,0.1964989,No response,N/A,
mela,1,Room_122,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.79894,131.8886,0.148694,0.1672648,True,61.85378,131.9564,0.1391597,0.106268,No response,N/A,
mela,2,Room_123,stay,yes,A,1,left,B,B,98.26487,131.6059,0,0,98.26977,131.8001,0.1675765,-0.02199666,True,98.271,131.7262,0.2407802,-0.06071584,No response,N/A,
mela,3,Room_124,stay,yes,A,1,left,B,A,110.7806,135.1682,0,0,110.794,135.0032,0.008870595,-0.1432773,False,111.0881,134.6069,-0.08440927,-0.3965348,No response,N/A,
mela,4,Room_125,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.97515,133.8037,0.1068766,-0.1056679,False,67.98306,132.9592,0.3534807,-0.2198908,No response,N/A,
mela,5,Room_126,walk,yes,A,2,left,A,B,22.11823,132.2694,0,0,20.67558,131.0383,0.1387571,0.08476366,True,21.9893,132.2514,0.08354482,0.1092149,No response,N/A,
mela,6,Room_127,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.84394,133.4307,0.08386339,-0.1104944,True,38.92225,134.9288,0.002222559,-0.08403398,No response,N/A,
mela,7,Room_128,walk,yes,A,2,left,A,A,49.2194,130.9318,0,0,47.93911,132.3489,0.09608333,-0.03721242,True,49.19667,131.1135,0.1233491,0.00974783,No response,N/A,
mela,8,Room_129,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.82998,134.1314,0.05640401,0.07184935,True,92.03654,132.3723,0.08270948,0.04249176,No response,N/A,
mela,9,Room_130,walk,yes,A,2,left,A,B,79.2194,130.9318,0,0,78.0072,132.3121,0.1024289,-0.06875971,False,78.71236,131.2657,0.339,-0.2252203,No response,N/A,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
mela,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.11096,132.98,-0.1325033,-0.1748248,True,32.14442,133.0744,-0.07656799,-0.1298574,Right,1.852311,
