subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p04_practice,0,Room_121,stay,no,A,1,left,A,A,32.25,133.05,0,0,32.42464,133.0577,0.1294521,0.11004,False,32.14711,133.4364,-0.01385098,-0.3392765,Right,6.642767,
p04_practice,0,Room_121,stay,no,A,1,left,A,A,61.94855,131.925,0,0,61.86829,131.9664,0.1266599,0.09795139,True,61.89911,131.9382,0.1314721,0.06214922,Right,2.579948,
p04_practice,1,Room_122,stay,yes,A,1,left,A,B,97.78418,133.4407,0,0,97.68571,133.404,0.05706826,-0.05239112,True,97.77775,133.4334,0.07896377,-0.08100443,Right,5.205819,
p04_practice,2,Room_123,stay,yes,A,1,left,B,A,110.7806,135.1682,0,0,110.8192,135.1528,-0.05686036,-0.1256477,True,110.7779,135.1781,-0.01511621,-0.07541368,Left,2.245415,
p04_practice,3,Room_124,stay,no,A,1,left,A,B,67.88569,133.8195,0,0,67.78116,133.8347,0.06925818,-0.07159421,True,67.82773,133.8391,0.02730774,-0.0679225,Right,2.644984,
p04_practice,4,Room_125,stay,yes,A,1,left,A,B,22.11823,132.2694,0,0,20.83303,130.8564,0.1619558,0.03060813,True,22.2545,132.2108,0.04630623,0.02644081,Left,6.893528,
p04_practice,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.66443,133.4678,0.07233007,-0.08530802,True,38.81986,135.0926,-0.008901514,-0.06506168,Left,1.839794,
p04_practice,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.68954,132.2418,0.1077018,-0.0651854,True,49.25021,130.8243,0.5444425,0.02489035,Left,4.861418,
p04_practice,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,92.122,134.2948,0.1252423,0.1023339,True,92.20971,132.2773,0.08824192,-0.01600549,Left,3.637794,
p04_practice,8,Room_129,walk,no,A,2,left,A,A,79.2194,130.9318,0,0,77.72292,132.2351,0.09850385,-0.09371475,True,79.11409,130.6907,0.101502,0.01062644,Left,2.75358,
