subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
sabina5,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.25,133.05,0.17588,0.1967109,True,32.21167,132.7079,0.3287419,0.3264547,Left,2.715118,
sabina5,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.94855,131.925,0.2304031,0.1450925,True,62.08118,131.6863,0.1849549,0.1057105,Right,0.1991689,
sabina5,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.26625,131.5879,0.2601138,-0.1008915,True,98.03984,131.5825,0.2454378,-0.07668038,Left,3.886485,
sabina5,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.7806,135.1682,-0.06675974,-0.4466994,False,111.0115,135.0801,-0.06675974,-0.4466994,Left,0.3714394,
sabina5,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.88569,133.8195,0.2813766,-0.3562846,False,67.88707,133.8016,0.2813766,-0.3562846,No response,N/A,
sabina5,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.77093,130.9177,0.4688751,0.02375227,False,20.77093,130.9177,0.4688751,0.02375227,Right,0.2652771,
sabina5,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.77901,133.4409,0.4688751,0.02375227,False,37.77901,133.4409,0.2669803,-0.2853012,No response,N/A,
sabina5,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.88707,132.2625,0.2669803,-0.2853012,False,47.88707,132.2625,0.2669803,-0.2853012,Right,0.2502216,
sabina5,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.95954,134.1709,-0.1026259,-0.2394443,False,91.95954,134.1709,-0.1026259,-0.2394443,Left,0.6199877,
sabina5,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,77.8857,132.2805,0.4404585,-0.2025881,False,77.8857,132.2805,0.4404585,-0.2025881,Left,2.079157,
