subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
sabinaaaa,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.30473,133.1523,-0.09670736,-0.1100231,True,32.14487,133.0455,0.2037616,0.182612,Right,4.442184,
sabinaaaa,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.83422,132.0383,0.1960858,0.05477784,True,61.84205,131.9509,0.1708072,0.1108416,Right,2.523204,
sabinaaaa,1,Room_122,stay,yes,A,1,left,B,B,98.26487,131.6059,0,0,98.3068,131.4949,0.1744523,-0.1192161,True,98.1693,131.5072,0.1857382,-0.09975584,Right,2.030849,
sabinaaaa,2,Room_123,stay,yes,A,1,left,B,A,110.7806,135.1682,0,0,110.8814,135.0114,-0.03522063,-0.1309653,True,110.6709,135.0571,-0.1182882,-0.1866664,Right,2.302008,
sabinaaaa,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.95615,133.7609,0.1292522,-0.2561163,True,67.96719,133.7979,0.230709,-0.4195762,No response,N/A,
sabinaaaa,4,Room_125,stay,yes,A,1,left,A,B,22.11823,132.2694,0,0,20.7838,130.7651,0.2554319,-0.01265974,True,22.06047,132.3145,0.2689137,0.1549893,Right,1.935422,
sabinaaaa,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.91769,133.3176,0.1047658,-0.08459086,True,38.90401,134.8973,0.05348777,-0.2111069,Right,2.093421,
sabinaaaa,6,Room_127,walk,yes,A,2,left,A,A,49.2194,130.9318,0,0,47.95129,132.3887,0.4716735,-0.1861555,True,49.30626,131.1333,0.2957856,-0.04580493,No response,N/A,
sabinaaaa,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.73687,134.1825,0.1519041,0.1435058,True,91.89608,132.3461,0.2840097,0.07538109,No response,N/A,
sabinaaaa,8,Room_129,walk,yes,A,2,left,A,B,79.2194,130.9318,0,0,77.74773,132.2288,0.155569,-0.04804971,True,79.28819,130.9149,0.1458359,0.01035357,No response,N/A,
