subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,TargetReached,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
ss,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.23601,132.6928,-0.1863425,-0.2351472,True,32.15583,133.04,0.2522352,0.1770488,No response,N/A,
ss,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.87809,131.9257,0.2434685,0.2237667,True,61.92605,131.9398,0.2834404,0.08925752,No response,N/A,
ss,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.45642,131.756,0.3036551,-0.1758189,True,98.20821,131.6008,0.2578037,-0.1834984,No response,N/A,
ss,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.45601,132.9865,0.2417181,0.1870225,True,32.18707,133.0437,0.2381547,0.1707866,Right,13.84314,
ss,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,62.12738,131.7543,0.2053312,0.09123188,True,61.84772,131.9248,0.3153631,0.1405704,Right,13.29824,
ss,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.243,131.6477,0.1685783,-0.2064286,True,98.30583,131.7376,0.2280419,-0.1473072,No response,N/A,
ss,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.6768,135.0378,-0.08257278,-0.2717543,True,110.7601,135.1809,-0.08403777,-0.3402198,No response,N/A,
ss,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,67.98621,133.7035,0.05780103,-0.2473292,True,68.03931,133.9019,0.09734397,-0.1308274,No response,N/A,
ss,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.7378,131.0805,0.3059923,0.01431662,True,21.88262,132.3257,0.1992666,0.1464343,Left,9.498726,
ss,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,37.94617,133.3261,0.09837109,-0.2429486,True,38.90526,134.8272,-0.003834379,-0.2419084,Left,8.947995,
ss,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,47.90601,132.2119,0.1502922,-0.1491648,True,49.39222,131.1121,0.2381923,-0.09065371,Right,9.85873,
ss,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.87952,134.1052,0.1708432,0.1801575,True,91.94459,132.3247,0.2674914,0.07532888,Left,8.374457,
ss,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.06286,132.3313,0.1571099,-0.1469262,True,79.22124,131.1406,0.2603655,-0.0576928,Left,16.4589,
