id,condition,sceneName,sceneNumber,task,block,trial,
default,default,use for vr,1,TASK_ViewpointTask,1,1,
default,default,use for vr,1,TASK_ViewpointTask,1,2,
default,default,use for vr,1,TASK_ViewpointTask,1,3,
default,default,use for vr,1,TASK_ViewpointTask,1,4,
default,default,use for vr,1,TASK_ViewpointTask,1,5,
default,default,use for vr,1,TASK_ViewpointTask,1,6,
default,default,use for vr,1,TASK_ViewpointTask,1,7,
default,default,use for vr,1,TASK_ViewpointTask,1,8,
default,default,use for vr,1,TASK_ViewpointTask,1,9,
default,default,use for vr,1,TASK_ViewpointTask,1,10,
default,default,use for vr,1,TASK_ViewpointTask,1,11,
default,default,use for vr,1,TASK_ViewpointTask,1,12,
default,default,use for vr,1,TASK_ViewpointTask,1,13,
default,default,use for vr,1,TASK_ViewpointTask,1,14,
default,default,use for vr,1,TASK_ViewpointTask,1,15,
default,default,use for vr,1,TASK_ViewpointTask,1,16,
default,default,use for vr,1,TASK_ViewpointTask,1,17,
default,default,use for vr,1,TASK_ViewpointTask,1,18,
default,default,use for vr,1,TASK_ViewpointTask,1,19,
default,default,use for vr,1,TASK_ViewpointTask,1,20,
default,default,use for vr,1,TASK_ViewpointTask,1,21,
default,default,use for vr,1,TASK_ViewpointTask,1,22,
default,default,use for vr,1,TASK_ViewpointTask,1,23,
default,default,use for vr,1,TASK_ViewpointTask,1,24,
default,default,use for vr,1,TASK_ViewpointTask,1,25,
default,default,use for vr,1,TASK_ViewpointTask,1,26,
default,default,use for vr,1,TASK_ViewpointTask,1,27,
default,default,use for vr,1,TASK_ViewpointTask,1,28,
default,default,use for vr,1,TASK_ViewpointTask,1,29,
default,default,use for vr,1,TASK_ViewpointTask,1,30,
default,default,use for vr,1,TASK_ViewpointTask,1,31,
default,default,use for vr,1,TASK_ViewpointTask,1,32,
default,default,use for vr,1,TASK_ViewpointTask,1,33,
default,default,use for vr,1,TASK_ViewpointTask,1,34,
default,default,use for vr,1,TASK_ViewpointTask,1,35,
default,default,use for vr,1,TASK_ViewpointTask,1,36,
default,default,use for vr,1,TASK_ViewpointTask,1,37,
default,default,use for vr,1,TASK_ViewpointTask,1,38,
