Room,Start,End,Condition,MoveItem,Repeat,Block
Room_55,A,B,stay,yes,A,1
Room_56,B,B,stay,no,B,1
Room_95,A,B,stay,no,A,1
Room_113,B,A,stay,yes,A,1
Room_48,A,A,stay,yes,A,1
Room_59,A,A,stay,no,A,1
Room_47,B,A,stay,yes,A,1
Room_21,A,B,stay,no,B,1
Room_23,A,A,stay,no,B,1
Room_94,A,A,stay,yes,A,1
Room_83,A,B,stay,yes,B,1
Room_104,B,B,stay,no,A,1
Room_28,B,B,stay,no,A,1
Room_72,B,A,stay,no,A,1
Room_81,B,B,stay,yes,A,1
Room_102,B,A,stay,yes,B,1
Room_63,B,A,walk,no,A,2
Room_112,B,B,walk,no,A,2
Room_40,B,B,walk,no,A,2
Room_29,A,A,walk,yes,A,2
Room_60,A,B,walk,no,B,2
Room_100,B,B,walk,no,B,2
Room_82,A,B,walk,no,B,2
Room_103,A,B,walk,yes,A,2
Room_61,A,A,walk,yes,A,2
Room_8,A,B,walk,no,B,2
Room_55,B,A,walk,yes,B,2
Room_60,A,A,walk,yes,A,2
Room_93,B,B,walk,no,A,2
Room_80,A,A,walk,yes,B,2
Room_115,B,A,walk,yes,A,2
Room_75,B,A,walk,yes,B,2
Room_42,A,A,stay,no,A,3
Room_66,A,B,stay,yes,A,3
Room_111,B,B,stay,no,B,3
Room_13,A,B,stay,no,B,3
Room_85,A,A,stay,yes,A,3
Room_49,A,A,stay,yes,A,3
Room_36,A,B,stay,no,B,3
Room_74,B,A,stay,yes,A,3
Room_120,B,A,stay,no,B,3
Room_71,B,B,stay,yes,B,3
Room_4,A,B,stay,no,A,3
Room_53,B,A,stay,yes,B,3
Room_33,B,B,stay,yes,A,3
Room_54,B,B,stay,no,B,3
Room_57,A,A,stay,yes,B,3
Room_50,B,A,stay,no,A,3
Room_26,A,B,walk,yes,B,4
Room_76,A,B,walk,no,B,4
Room_58,B,B,walk,yes,B,4
Room_93,B,A,walk,yes,B,4
Room_104,B,A,walk,no,B,4
Room_27,A,A,walk,no,A,4
Room_92,A,A,walk,yes,B,4
Room_107,A,B,walk,no,A,4
Room_29,B,B,walk,yes,B,4
Room_64,A,A,walk,yes,A,4
Room_67,B,A,walk,no,B,4
Room_105,A,A,walk,no,A,4
Room_8,A,B,walk,yes,A,4
Room_114,B,B,walk,yes,A,4
Room_89,B,A,walk,no,B,4
Room_17,B,B,walk,no,A,4
Room_64,A,A,stay,no,B,5
Room_111,B,B,stay,no,A,5
Room_77,B,A,stay,no,A,5
Room_77,A,B,stay,yes,B,5
Room_57,A,A,stay,yes,A,5
Room_25,A,B,stay,yes,B,5
Room_5,B,B,stay,no,A,5
Room_13,B,A,stay,yes,A,5
Room_14,B,A,stay,no,A,5
Room_7,A,A,stay,yes,A,5
Room_22,A,B,stay,no,B,5
Room_78,A,B,stay,yes,B,5
Room_65,B,B,stay,yes,A,5
Room_43,B,A,stay,yes,A,5
Room_80,B,B,stay,no,A,5
Room_11,A,A,stay,no,A,5
Room_74,B,A,walk,yes,B,6
Room_15,B,A,walk,yes,B,6
Room_96,B,B,walk,no,A,6
Room_78,B,B,walk,no,A,6
Room_62,A,A,walk,no,A,6
Room_50,A,B,walk,yes,B,6
Room_56,A,B,walk,no,A,6
Room_118,A,A,walk,yes,A,6
Room_18,B,B,walk,no,A,6
Room_4,B,A,walk,yes,B,6
Room_32,A,B,walk,yes,B,6
Room_20,B,A,walk,no,A,6
Room_79,B,B,walk,yes,A,6
Room_99,A,A,walk,no,A,6
Room_35,A,A,walk,no,B,6
Room_89,A,B,walk,yes,A,6
Room_45,A,A,stay,no,B,7
Room_37,A,A,stay,yes,B,7
Room_100,B,A,stay,yes,A,7
Room_7,A,B,stay,no,B,7
Room_92,B,A,stay,no,A,7
Room_69,B,B,stay,yes,B,7
Room_16,B,B,stay,no,B,7
Room_75,B,B,stay,no,A,7
Room_1,A,B,stay,yes,B,7
Room_45,A,A,stay,no,A,7
Room_38,A,B,stay,yes,A,7
Room_10,A,A,stay,no,B,7
Room_117,B,A,stay,no,A,7
Room_51,B,A,stay,yes,B,7
