Room,Start,End,Condition,MoveItem,Repeat,Block
Room_1,B,B,stay,yes,A,1
Room_2,B,B,stay,yes,A,1
Room_3,A,A,stay,yes,A,1
Room_4,B,B,stay,no,A,1
Room_5,A,A,stay,no,A,1
Room_6,A,A,stay,yes,A,1
Room_7,B,B,stay,yes,A,1
Room_8,A,A,stay,yes,A,1
Room_9,A,B,stay,no,A,1
Room_10,B,A,stay,yes,A,1
Room_11,A,B,stay,no,A,1
Room_12,B,A,stay,no,A,1
Room_13,A,B,stay,yes,A,1
Room_14,B,A,stay,no,A,1
Room_15,B,A,stay,no,A,1
Room_16,A,B,stay,no,A,1
Room_17,B,B,walk,no,A,2
Room_18,A,A,walk,yes,A,2
Room_19,A,A,walk,yes,A,2
Room_20,B,B,walk,yes,A,2
Room_21,B,B,walk,no,A,2
Room_22,B,B,walk,yes,A,2
Room_23,A,A,walk,yes,A,2
Room_24,A,A,walk,no,A,2
Room_25,B,A,walk,no,A,2
Room_26,B,A,walk,no,A,2
Room_27,A,B,walk,yes,A,2
Room_28,B,A,walk,no,A,2
Room_29,A,B,walk,no,A,2
Room_30,B,A,walk,no,A,2
Room_31,A,B,walk,yes,A,2
Room_32,A,B,walk,yes,A,2
Room_33,B,B,stay,yes,A,3
Room_34,A,A,stay,yes,A,3
Room_35,B,B,stay,no,A,3
Room_36,B,B,stay,yes,A,3
Room_37,A,A,stay,no,A,3
Room_38,A,A,stay,no,A,3
Room_39,B,B,stay,no,A,3
Room_40,A,A,stay,yes,A,3
Room_41,A,B,stay,no,A,3
Room_42,B,A,stay,yes,A,3
Room_43,B,A,stay,no,A,3
Room_44,A,B,stay,yes,A,3
Room_45,B,A,stay,yes,A,3
Room_46,A,B,stay,no,A,3
Room_47,A,B,stay,yes,A,3
Room_48,B,A,stay,no,A,3
Room_49,B,B,walk,no,A,4
Room_50,A,A,walk,yes,A,4
Room_51,A,A,walk,yes,A,4
Room_52,B,B,walk,no,A,4
Room_53,A,A,walk,no,A,4
Room_54,B,B,walk,yes,A,4
Room_55,B,B,walk,no,A,4
Room_56,A,A,walk,no,A,4
Room_57,B,A,walk,no,A,4
Room_58,A,B,walk,yes,A,4
Room_59,B,A,walk,no,A,4
Room_60,A,B,walk,yes,A,4
Room_61,A,B,walk,yes,A,4
Room_62,B,A,walk,no,A,4
Room_63,A,B,walk,yes,A,4
Room_64,B,A,walk,yes,A,4
Room_65,A,A,stay,no,A,5
Room_66,B,B,stay,yes,A,5
Room_67,B,B,stay,no,A,5
Room_68,A,A,stay,yes,A,5
Room_69,B,B,stay,no,A,5
Room_70,A,A,stay,yes,A,5
Room_71,A,A,stay,yes,A,5
Room_72,B,B,stay,no,A,5
Room_73,A,B,stay,yes,A,5
Room_74,B,A,stay,no,A,5
Room_75,A,B,stay,no,A,5
Room_76,A,B,stay,yes,A,5
Room_77,B,A,stay,yes,A,5
Room_78,B,A,stay,no,A,5
Room_79,A,B,stay,yes,A,5
Room_80,B,A,stay,no,A,5
Room_81,A,A,walk,yes,A,6
Room_82,A,A,walk,no,A,6
Room_83,A,A,walk,no,A,6
Room_84,B,B,walk,yes,A,6
Room_85,B,B,walk,no,A,6
Room_86,B,B,walk,yes,A,6
Room_87,B,B,walk,yes,A,6
Room_88,A,A,walk,no,A,6
Room_89,A,B,walk,no,A,6
Room_90,A,B,walk,no,A,6
Room_91,A,B,walk,yes,A,6
Room_92,B,A,walk,yes,A,6
Room_93,B,A,walk,no,A,6
Room_94,B,A,walk,yes,A,6
Room_95,A,B,walk,yes,A,6
Room_96,B,A,walk,no,A,6
Room_97,A,A,stay,yes,A,7
Room_98,B,B,stay,no,A,7
Room_99,B,B,stay,yes,A,7
Room_100,B,B,stay,yes,A,7
Room_101,B,B,stay,no,A,7
Room_102,A,A,stay,yes,A,7
Room_103,A,A,stay,no,A,7
Room_104,A,A,stay,no,A,7
Room_105,B,A,stay,no,A,7
Room_106,A,B,stay,yes,A,7
Room_107,A,B,stay,yes,A,7
Room_108,B,A,stay,no,A,7
Room_109,B,A,stay,no,A,7
Room_110,B,A,stay,yes,A,7
Room_111,A,B,stay,no,A,7
Room_112,A,B,stay,yes,A,7
Room_113,A,A,walk,no,A,8
Room_114,B,B,walk,yes,A,8
Room_115,B,B,walk,no,A,8
Room_116,B,B,walk,yes,A,8
Room_117,A,A,walk,yes,A,8
Room_118,B,B,walk,yes,A,8
Room_119,A,A,walk,no,A,8
Room_120,A,A,walk,no,A,8
Room_1,A,B,walk,yes,B,8
Room_2,B,A,walk,yes,B,8
Room_3,A,B,walk,no,B,8
Room_4,B,A,walk,no,B,8
Room_5,B,A,walk,no,B,8
Room_6,A,B,walk,yes,B,8
Room_7,A,B,walk,no,B,8
Room_8,B,A,walk,yes,B,8
