Room,Start,End,Condition,MoveItem,Repeat,Block
Room_81,A,A,walk,yes,A,6
Room_82,A,A,walk,no,A,6
Room_83,A,A,walk,no,A,6
Room_84,B,B,walk,yes,A,6
Room_85,B,B,walk,no,A,6
Room_86,B,B,walk,yes,A,6
Room_87,B,B,walk,yes,A,6
Room_88,A,A,walk,no,A,6
Room_89,A,B,walk,no,A,6
Room_90,A,B,walk,no,A,6
Room_91,A,B,walk,yes,A,6
Room_92,B,A,walk,yes,A,6
Room_93,B,A,walk,no,A,6
Room_94,B,A,walk,yes,A,6
Room_95,A,B,walk,yes,A,6
Room_96,B,A,walk,no,A,6
Room_97,A,A,stay,yes,A,7
Room_98,B,B,stay,no,A,7
Room_99,B,B,stay,yes,A,7
Room_100,B,B,stay,yes,A,7
Room_101,B,B,stay,no,A,7
Room_102,A,A,stay,yes,A,7
Room_103,A,A,stay,no,A,7
Room_104,A,A,stay,no,A,7
Room_105,B,A,stay,no,A,7
Room_106,A,B,stay,yes,A,7
Room_107,A,B,stay,yes,A,7
Room_108,B,A,stay,no,A,7
Room_109,B,A,stay,no,A,7
Room_110,B,A,stay,yes,A,7
Room_111,A,B,stay,no,A,7
Room_112,A,B,stay,yes,A,7
Room_113,A,A,walk,no,A,8
Room_114,B,B,walk,yes,A,8
Room_115,B,B,walk,no,A,8
Room_116,B,B,walk,yes,A,8
Room_117,A,A,walk,yes,A,8
Room_118,B,B,walk,yes,A,8
Room_119,A,A,walk,no,A,8
Room_120,A,A,walk,no,A,8
Room_1,A,B,walk,yes,B,8
Room_2,B,A,walk,yes,B,8
Room_3,A,B,walk,no,B,8
Room_4,B,A,walk,no,B,8
Room_5,B,A,walk,no,B,8
Room_6,A,B,walk,yes,B,8
Room_7,A,B,walk,no,B,8
Room_8,B,A,walk,yes,B,8
