Room,Start,End,Condition,MoveItem,Repeat,Block
Room_55,A,B,stay,yes,A,1
Room_56,B,B,stay,no,B,1
Room_95,A,B,stay,no,A,1
Room_113,B,A,stay,yes,A,1
Room_48,A,A,stay,yes,A,1
Room_59,A,A,stay,no,A,1
Room_47,B,A,stay,yes,A,1
Room_21,A,B,stay,no,B,1
Room_23,A,A,stay,no,B,1
Room_94,A,A,stay,yes,A,1
Room_83,A,B,stay,yes,B,1
Room_104,B,B,stay,no,A,1
Room_28,B,B,stay,no,A,1
Room_72,B,A,stay,no,A,1
Room_81,B,B,stay,yes,A,1
Room_102,B,A,stay,yes,B,1
Room_63,B,A,walk,no,A,2
Room_112,B,B,walk,no,A,2
Room_40,B,B,walk,no,A,2
Room_29,A,A,walk,yes,A,2
Room_60,A,B,walk,no,B,2
Room_100,B,B,walk,no,B,2
Room_82,A,B,walk,no,B,2
Room_103,A,B,walk,yes,A,2
Room_61,A,A,walk,yes,A,2
Room_8,A,B,walk,no,B,2
Room_55,B,A,walk,yes,B,2
Room_60,A,A,walk,yes,A,2
Room_93,B,B,walk,no,A,2
Room_80,A,A,walk,yes,B,2
Room_115,B,A,walk,yes,A,2
Room_75,B,A,walk,yes,B,2
Room_42,A,A,stay,no,A,3
Room_66,A,B,stay,yes,A,3
Room_111,B,B,stay,no,B,3
Room_13,A,B,stay,no,B,3
Room_85,A,A,stay,yes,A,3
Room_49,A,A,stay,yes,A,3
Room_36,A,B,stay,no,B,3
Room_74,B,A,stay,yes,A,3
Room_120,B,A,stay,no,B,3
Room_71,B,B,stay,yes,B,3
Room_4,A,B,stay,no,A,3
Room_53,B,A,stay,yes,B,3
Room_33,B,B,stay,yes,A,3
Room_54,B,B,stay,no,B,3
Room_57,A,A,stay,yes,B,3
Room_50,B,A,stay,no,A,3
