Room,Start,End,Condition,MoveItem,Repeat,Block
Room_1,A,B,stay,yes,A,1
Room_1,B,A,walk,yes,A,1
Room_1,A,B,stay,yes,B,1
Room_1,B,A,walk,yes,B,1
Room_2,A,B,stay,yes,A,1
Room_2,B,A,walk,yes,A,1
Room_2,A,B,stay,yes,B,1
Room_2,B,A,walk,yes,B,1
Room_3,A,B,stay,yes,A,1
Room_3,B,A,walk,yes,A,1
Room_3,A,B,stay,yes,B,1
Room_3,B,A,walk,yes,B,1
Room_4,A,B,stay,yes,A,1
Room_4,B,A,walk,yes,A,1
Room_4,A,B,stay,yes,B,1
Room_4,B,A,walk,yes,B,1
Room_5,A,B,stay,yes,A,1
Room_5,B,A,walk,yes,A,1
Room_5,A,B,stay,yes,B,1
Room_5,B,A,walk,yes,B,1
Room_6,A,B,stay,yes,A,1
Room_6,B,A,walk,yes,A,1
Room_6,A,B,stay,yes,B,1
Room_6,B,A,walk,yes,B,1
Room_7,A,B,stay,yes,A,1
Room_7,B,A,walk,yes,A,1
Room_7,A,B,stay,yes,B,1
Room_7,B,A,walk,yes,B,1
Room_8,A,B,stay,yes,A,1
Room_8,B,A,walk,yes,A,1
Room_8,A,B,stay,yes,B,1
Room_8,B,A,walk,yes,B,1
Room_9,A,B,stay,yes,A,1
Room_9,B,A,walk,yes,A,1
Room_9,A,B,stay,yes,B,1
Room_9,B,A,walk,yes,B,1
Room_10,A,B,stay,yes,A,1
Room_10,B,A,walk,yes,A,1
Room_10,A,B,stay,yes,B,1
Room_10,B,A,walk,yes,B,1
Room_11,A,B,stay,yes,A,1
Room_11,B,A,walk,yes,A,1
Room_11,A,B,stay,yes,B,1
Room_11,B,A,walk,yes,B,1
Room_12,A,B,stay,yes,A,1
Room_12,B,A,walk,yes,A,1
Room_12,A,B,stay,yes,B,1
Room_12,B,A,walk,yes,B,1
Room_13,A,B,stay,yes,A,1
Room_13,B,A,walk,yes,A,1
Room_13,A,B,stay,yes,B,1
Room_13,B,A,walk,yes,B,1
Room_14,A,B,stay,yes,A,1
Room_14,B,A,walk,yes,A,1
Room_14,A,B,stay,yes,B,1
Room_14,B,A,walk,yes,B,1
Room_15,A,B,stay,yes,A,1
Room_15,B,A,walk,yes,A,1
Room_15,A,B,stay,yes,B,1
Room_15,B,A,walk,yes,B,1
Room_16,A,B,stay,yes,A,1
Room_16,B,A,walk,yes,A,1
Room_16,A,B,stay,yes,B,1
Room_16,B,A,walk,yes,B,1
Room_17,A,B,stay,yes,A,1
Room_17,B,A,walk,yes,A,1
Room_17,A,B,stay,yes,B,1
Room_17,B,A,walk,yes,B,1
Room_18,A,B,stay,yes,A,1
Room_18,B,A,walk,yes,A,1
Room_18,A,B,stay,yes,B,1
Room_18,B,A,walk,yes,B,1
Room_19,A,B,stay,yes,A,1
Room_19,B,A,walk,yes,A,1
Room_19,A,B,stay,yes,B,1
Room_19,B,A,walk,yes,B,1
Room_20,A,B,stay,yes,A,1
Room_20,B,A,walk,yes,A,1
Room_20,A,B,stay,yes,B,1
Room_20,B,A,walk,yes,B,1
Room_21,A,B,stay,yes,A,1
Room_21,B,A,walk,yes,A,1
Room_21,A,B,stay,yes,B,1
Room_21,B,A,walk,yes,B,1
Room_22,A,B,stay,yes,A,1
Room_22,B,A,walk,yes,A,1
Room_22,A,B,stay,yes,B,1
Room_22,B,A,walk,yes,B,1
Room_23,A,B,stay,yes,A,1
Room_23,B,A,walk,yes,A,1
Room_23,A,B,stay,yes,B,1
Room_23,B,A,walk,yes,B,1
Room_24,A,B,stay,yes,A,1
Room_24,B,A,walk,yes,A,1
Room_24,A,B,stay,yes,B,1
Room_24,B,A,walk,yes,B,1
Room_25,A,B,stay,yes,A,1
Room_25,B,A,walk,yes,A,1
Room_25,A,B,stay,yes,B,1
Room_25,B,A,walk,yes,B,1
Room_26,A,B,stay,yes,A,1
Room_26,B,A,walk,yes,A,1
Room_26,A,B,stay,yes,B,1
Room_26,B,A,walk,yes,B,1
Room_27,A,B,stay,yes,A,1
