Room,Start,End,Condition,MoveItem,Repeat,Block
Room_21,A,A,stay,no,A,5
Room_60,B,B,stay,no,A,5
Room_15,B,B,stay,no,A,5
Room_84,A,A,stay,yes,A,5
Room_61,B,B,stay,yes,A,5
Room_66,A,A,stay,no,A,5
Room_88,A,A,stay,yes,A,5
Room_69,B,B,stay,yes,A,5
Room_42,A,B,stay,yes,A,5
Room_17,B,A,stay,no,A,5
Room_29,A,B,stay,no,A,5
Room_23,A,B,stay,yes,A,5
Room_119,B,A,stay,no,A,5
Room_116,B,A,stay,yes,A,5
Room_107,A,B,stay,yes,A,5
Room_71,B,A,stay,no,A,5
Room_10,A,A,walk,no,A,6
Room_41,A,A,walk,yes,A,6
Room_54,A,A,walk,yes,A,6
Room_108,B,B,walk,no,A,6
Room_2,B,B,walk,no,A,6
Room_16,B,B,walk,yes,A,6
Room_102,B,B,walk,yes,A,6
Room_27,A,A,walk,no,A,6
Room_120,A,B,walk,yes,A,6
Room_98,A,B,walk,no,A,6
Room_58,A,B,walk,no,A,6
Room_48,B,A,walk,yes,A,6
Room_75,B,A,walk,yes,A,6
Room_82,A,B,walk,yes,A,6
Room_51,B,A,walk,no,A,6
Room_1,B,A,walk,no,A,6
Room_50,A,A,stay,yes,A,7
Room_76,B,B,stay,no,A,7
Room_46,B,B,stay,no,A,7
Room_20,B,B,stay,yes,A,7
Room_13,B,B,stay,no,A,7
Room_37,A,A,stay,no,A,7
Room_62,A,A,stay,yes,A,7
Room_8,A,A,stay,yes,A,7
Room_114,B,A,stay,no,A,7
Room_101,A,B,stay,no,A,7
Room_86,A,B,stay,yes,A,7
Room_72,B,A,stay,yes,A,7
Room_40,B,A,stay,yes,A,7
Room_30,B,A,stay,no,A,7
Room_55,A,B,stay,yes,A,7
Room_65,A,B,stay,no,A,7
Room_77,A,A,walk,yes,A,8
Room_78,B,B,walk,no,A,8
Room_39,B,B,walk,yes,A,8
Room_49,B,B,walk,no,A,8
Room_4,A,A,walk,no,A,8
Room_80,B,B,walk,yes,A,8
Room_91,A,A,walk,no,A,8
Room_94,A,A,walk,yes,A,8
Room_119,A,B,walk,yes,B,8
Room_50,B,A,walk,yes,B,8
Room_102,A,B,walk,no,B,8
Room_78,B,A,walk,no,B,8
Room_63,A,B,walk,yes,B,8
Room_113,B,A,walk,no,B,8
Room_10,A,B,walk,yes,B,8
Room_16,B,A,walk,no,B,8
