Room,Start,End,Condition,MoveItem,Repeat,Block
Room_27,A,B,stay,no,B,1
Room_116,A,B,stay,yes,B,1
Room_69,B,A,stay,no,B,1
Room_60,A,B,stay,yes,B,1
Room_112,B,A,stay,no,B,1
Room_30,B,A,stay,yes,B,1
Room_17,A,B,stay,yes,B,1
Room_39,A,B,stay,no,B,1
Room_19,B,A,stay,yes,B,1
Room_73,B,A,stay,yes,B,1
Room_14,B,A,stay,no,B,1
Room_9,B,A,stay,no,B,1
Room_58,A,B,stay,yes,B,1
Room_90,A,B,stay,no,B,1
Room_75,B,A,stay,yes,B,1
Room_68,A,B,stay,no,B,1
Room_74,A,B,walk,yes,B,2
Room_98,A,B,walk,no,B,2
Room_3,A,B,walk,no,B,2
Room_22,B,A,walk,no,B,2
Room_43,A,B,walk,yes,B,2
Room_54,B,A,walk,yes,B,2
Room_8,A,B,walk,yes,B,2
Room_118,B,A,walk,no,B,2
Room_57,A,B,walk,no,B,2
Room_91,B,A,walk,yes,B,2
Room_101,B,A,walk,yes,B,2
Room_87,B,A,walk,no,B,2
Room_18,B,A,walk,yes,B,2
Room_29,A,B,walk,yes,B,2
Room_95,B,A,walk,no,B,2
Room_1,A,B,walk,no,B,2
Room_65,A,B,stay,yes,B,3
Room_80,B,A,stay,yes,B,3
Room_104,A,B,stay,yes,B,3
Room_2,A,B,stay,no,B,3
Room_81,A,B,stay,no,B,3
Room_103,B,A,stay,no,B,3
Room_37,A,B,stay,yes,B,3
Room_107,B,A,stay,no,B,3
Room_56,A,B,stay,no,B,3
Room_47,B,A,stay,no,B,3
Room_99,B,A,stay,yes,B,3
Room_109,B,A,stay,yes,B,3
Room_83,B,A,stay,yes,B,3
Room_62,A,B,stay,no,B,3
Room_100,B,A,stay,no,B,3
Room_28,A,B,stay,yes,B,3
Room_76,A,B,walk,yes,B,4
Room_59,A,B,walk,no,B,4
Room_106,B,A,walk,yes,B,4
Room_38,B,A,walk,no,B,4
Room_15,A,B,walk,yes,B,4
Room_94,B,A,walk,no,B,4
Room_5,A,B,walk,yes,B,4
Room_23,B,A,walk,no,B,4
Room_64,B,A,walk,yes,B,4
Room_97,B,A,walk,yes,B,4
Room_110,B,A,walk,no,B,4
Room_34,B,A,walk,yes,B,4
Room_86,A,B,walk,no,B,4
Room_44,A,B,walk,yes,B,4
Room_77,A,B,walk,no,B,4
Room_117,A,B,walk,no,B,4
